activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
AerChemMIP,BCC,BCC-ESM1,histSST,r1i1p1f1,AERmon,mmrbc,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/histSST/r1i1p1f1/AERmon/mmrbc/gn/,1850-01-16,2014-12-16,1980,1.32,2020-02-23,created,
AerChemMIP,BCC,BCC-ESM1,histSST,r1i1p1f1,AERmon,mmrdust,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/histSST/r1i1p1f1/AERmon/mmrdust/gn/,1850-01-16,2014-12-16,1980,1.38,2020-02-24,created,
AerChemMIP,BCC,BCC-ESM1,histSST,r1i1p1f1,AERmon,mmroa,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/histSST/r1i1p1f1/AERmon/mmroa/gn/,1850-01-16,2014-12-16,1980,1.35,2020-02-24,created,
AerChemMIP,BCC,BCC-ESM1,histSST,r1i1p1f1,AERmon,mmrso4,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/histSST/r1i1p1f1/AERmon/mmrso4/gn/,1850-01-16,2014-12-16,1980,1.33,2020-02-24,created,
AerChemMIP,BCC,BCC-ESM1,histSST,r1i1p1f1,Amon,rsut,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/histSST/r1i1p1f1/Amon/rsut/gn/,1850-01-16,2014-12-16,1980,0.0477,2020-02-24,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,ch4,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/ch4/gn/,1850-01-16,1880-12-16,372,0.0176,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,clt,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/clt/gn/,1850-01-16,1880-12-16,372,0.00936,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,co2,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/co2/gn/,1850-01-16,1880-12-16,372,0.00237,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/evspsbl/gn/,1850-01-16,1880-12-16,372,0.0101,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,hfls,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/hfls/gn/,1850-01-16,1880-12-16,372,0.0102,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,hfss,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/hfss/gn/,1850-01-16,1880-12-16,372,0.0105,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,hus,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/hus/gn/,1850-01-16,1880-12-16,372,0.158,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,o3,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/o3/gn/,1850-01-16,1880-12-16,372,0.165,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,pr,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/pr/gn/,1850-01-16,1880-12-16,372,0.0104,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,prsn,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/prsn/gn/,1850-01-16,1880-12-16,372,0.0103,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,prw,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/prw/gn/,1850-01-16,1880-12-16,372,0.00949,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,ps,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/ps/gn/,1850-01-16,1880-12-16,372,0.0078,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,psl,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/psl/gn/,1850-01-16,1880-12-16,372,0.00707,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,rlds,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/rlds/gn/,1850-01-16,1880-12-16,372,0.00905,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,rlus,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/rlus/gn/,1850-01-16,1880-12-16,372,0.00877,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,rlut,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/rlut/gn/,1850-01-16,1880-12-16,372,0.00902,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/rlutcs/gn/,1850-01-16,1880-12-16,372,0.00849,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,rsds,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/rsds/gn/,1850-01-16,1880-12-16,372,0.00891,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/rsdt/gn/,1850-01-16,1880-12-16,372,0.00652,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,rsus,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/rsus/gn/,1850-01-16,1880-12-16,372,0.00925,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,rsut,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/rsut/gn/,1850-01-16,1880-12-16,372,0.00893,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/rsutcs/gn/,1850-01-16,1880-12-16,372,0.00889,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,ta,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/ta/gn/,1850-01-16,1880-12-16,372,0.137,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,tas,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/tas/gn/,1850-01-16,1880-12-16,372,0.00768,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,tauu,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/tauu/gn/,1850-01-16,1880-12-16,372,0.0105,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,tauv,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/tauv/gn/,1850-01-16,1880-12-16,372,0.0107,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,ts,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/ts/gn/,1850-01-16,1880-12-16,372,0.00776,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,ua,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/ua/gn/,1850-01-16,1880-12-16,372,0.184,2019-11-01,created,
AerChemMIP,BCC,BCC-ESM1,piClim-CH4,r1i1p1f1,Amon,uas,gn,gs://cmip6/AerChemMIP/BCC/BCC-ESM1/piClim-CH4/r1i1p1f1/Amon/uas/gn/,1850-01-16,1880-12-16,372,0.0103,2019-11-01,created,
