activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,histSST,r1i1p1f2,AERmon,mmrbc,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/histSST/r1i1p1f2/AERmon/mmrbc/gr/,1850-01-16,2014-12-16,1980,15.6,2020-02-23,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,histSST,r1i1p1f2,AERmon,mmrdust,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/histSST/r1i1p1f2/AERmon/mmrdust/gr/,1850-01-16,2014-12-16,1980,16.3,2020-02-24,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,histSST,r1i1p1f2,AERmon,mmroa,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/histSST/r1i1p1f2/AERmon/mmroa/gr/,1850-01-16,2014-12-16,1980,15.4,2020-02-24,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,histSST,r1i1p1f2,AERmon,mmrso4,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/histSST/r1i1p1f2/AERmon/mmrso4/gr/,1850-01-16,2014-12-16,1980,15.6,2020-02-26,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,histSST,r1i1p1f2,AERmon,od550aer,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/histSST/r1i1p1f2/AERmon/od550aer/gr/,1850-01-16,2014-12-16,1980,0.205,2020-02-23,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,histSST,r1i1p1f2,AERmon,rlutaf,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/histSST/r1i1p1f2/AERmon/rlutaf/gr/,1850-01-16,2014-12-16,1980,0.186,2020-02-23,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,histSST,r1i1p1f2,AERmon,rlutcsaf,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/histSST/r1i1p1f2/AERmon/rlutcsaf/gr/,1850-01-16,2014-12-16,1980,0.174,2020-02-23,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,histSST,r1i1p1f2,AERmon,rsutaf,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/histSST/r1i1p1f2/AERmon/rsutaf/gr/,1850-01-16,2014-12-16,1980,0.188,2020-02-23,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,histSST,r1i1p1f2,AERmon,rsutcsaf,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/histSST/r1i1p1f2/AERmon/rsutcsaf/gr/,1850-01-16,2014-12-16,1980,0.171,2020-02-23,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,airmass,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/airmass/gr/,1850-01-16,1879-12-16,360,0.0611,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,cdnc,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/cdnc/gr/,1850-01-16,1879-12-16,360,0.776,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,ch4,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/ch4/gr/,1850-01-16,1879-12-16,360,2.31,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,co,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/co/gr/,1850-01-16,1879-12-16,360,2.78,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,emidust,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/emidust/gr/,1850-01-16,1879-12-16,360,0.00258,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,emiss,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/emiss/gr/,1850-01-16,1879-12-16,360,0.0278,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,mmrbc,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/mmrbc/gr/,1850-01-16,1879-12-16,360,2.83,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,mmrdust,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/mmrdust/gr/,1850-01-16,1879-12-16,360,2.98,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,mmroa,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/mmroa/gr/,1850-01-16,1879-12-16,360,2.78,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,mmrso4,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/mmrso4/gr/,1850-01-16,1879-12-16,360,2.78,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,mmrss,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/mmrss/gr/,1850-01-16,1879-12-16,360,2.95,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,no,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/no/gr/,1850-01-16,1879-12-16,360,2.38,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,no2,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/no2/gr/,1850-01-16,1879-12-16,360,2.44,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,o3,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/o3/gr/,1850-01-16,1879-12-16,360,2.88,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,o3loss,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/o3loss/gr/,1850-01-16,1879-12-16,360,3.1,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,o3prod,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/o3prod/gr/,1850-01-16,1879-12-16,360,2.65,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,od550aer,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/od550aer/gr/,1850-01-16,1879-12-16,360,0.0374,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,oh,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/oh/gr/,1850-01-16,1879-12-16,360,2.07,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,ps,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/ps/gr/,1850-01-16,1879-12-16,360,0.0304,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,ptp,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/ptp/gr/,1850-01-16,1879-12-16,360,0.0319,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,rlutaf,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/rlutaf/gr/,1850-01-16,1879-12-16,360,0.0338,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,rlutcsaf,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/rlutcsaf/gr/,1850-01-16,1879-12-16,360,0.0316,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,rsutaf,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/rsutaf/gr/,1850-01-16,1879-12-16,360,0.0342,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,rsutcsaf,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/rsutcsaf/gr/,1850-01-16,1879-12-16,360,0.031,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,so2,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/so2/gr/,1850-01-16,1879-12-16,360,2.09,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,toz,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/toz/gr/,1850-01-16,1879-12-16,360,0.0299,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,ua,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/ua/gr/,1850-01-16,1879-12-16,360,3.32,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,va,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/va/gr/,1850-01-16,1879-12-16,360,3.58,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,wa,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/wa/gr/,1850-01-16,1879-12-16,360,3.66,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmon,zg,gr,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmon/zg/gr/,1850-01-16,1879-12-16,360,2.55,2019-11-05,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmonZ,ch4,grz,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmonZ/ch4/grz/,1850-01-16,1879-12-16,360,0.00474,2019-10-30,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmonZ,o3,grz,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmonZ/o3/grz/,1850-01-16,1879-12-16,360,0.00538,2019-10-30,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmonZ,oh,grz,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmonZ/oh/grz/,1850-01-16,1879-12-16,360,0.00489,2019-10-30,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmonZ,ta,grz,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmonZ/ta/grz/,1850-01-16,1879-12-16,360,0.00455,2019-10-30,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmonZ,ua,grz,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmonZ/ua/grz/,1850-01-16,1879-12-16,360,0.00599,2019-10-30,created,
AerChemMIP,CNRM-CERFACS,CNRM-ESM2-1,piClim-2xDMS,r1i1p1f2,AERmonZ,va,grz,gs://cmip6/AerChemMIP/CNRM-CERFACS/CNRM-ESM2-1/piClim-2xDMS/r1i1p1f2/AERmonZ/va/grz/,1850-01-16,1879-12-16,360,0.00614,2019-10-30,created,
