activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
AerChemMIP,MIROC,MIROC6,histSST,r1i1p1f1,AERmon,mmrbc,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/histSST/r1i1p1f1/AERmon/mmrbc/gn/,1850-01-16,2014-12-16,1980,12.5,2020-02-23,created,
AerChemMIP,MIROC,MIROC6,histSST,r1i1p1f1,AERmon,mmrdust,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/histSST/r1i1p1f1/AERmon/mmrdust/gn/,1850-01-16,2014-12-16,1980,12.3,2020-02-24,created,
AerChemMIP,MIROC,MIROC6,histSST,r1i1p1f1,AERmon,mmroa,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/histSST/r1i1p1f1/AERmon/mmroa/gn/,1850-01-16,2014-12-16,1980,13,2020-02-24,created,
AerChemMIP,MIROC,MIROC6,histSST,r1i1p1f1,AERmon,od550aer,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/histSST/r1i1p1f1/AERmon/od550aer/gn/,1850-01-16,2014-12-16,1980,0.201,2020-02-23,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,clt,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/clt/gn/,1850-01-16,1879-12-16,360,0.0361,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/evspsbl/gn/,1850-01-16,1879-12-16,360,0.0383,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,hfls,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/hfls/gn/,1850-01-16,1879-12-16,360,0.0386,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,hfss,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/hfss/gn/,1850-01-16,1879-12-16,360,0.0405,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,hurs,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/hurs/gn/,1850-01-16,1879-12-16,360,0.0344,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,hus,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/hus/gn/,1850-01-16,1879-12-16,360,0.598,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,huss,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/huss/gn/,1850-01-16,1879-12-16,360,0.0358,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,pr,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/pr/gn/,1850-01-16,1879-12-16,360,0.039,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,prsn,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/prsn/gn/,1850-01-16,1879-12-16,360,0.0164,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,prw,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/prw/gn/,1850-01-16,1879-12-16,360,0.036,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,ps,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/ps/gn/,1850-01-16,1879-12-16,360,0.0293,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,psl,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/psl/gn/,1850-01-16,1879-12-16,360,0.0262,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,rlds,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/rlds/gn/,1850-01-16,1879-12-16,360,0.0339,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,rlus,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/rlus/gn/,1850-01-16,1879-12-16,360,0.0327,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,rlut,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/rlut/gn/,1850-01-16,1879-12-16,360,0.0336,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/rlutcs/gn/,1850-01-16,1879-12-16,360,0.0313,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,rsds,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/rsds/gn/,1850-01-16,1879-12-16,360,0.0336,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/rsdt/gn/,1850-01-16,1879-12-16,360,0.0185,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,rsus,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/rsus/gn/,1850-01-16,1879-12-16,360,0.0347,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,rsut,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/rsut/gn/,1850-01-16,1879-12-16,360,0.0341,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/rsutcs/gn/,1850-01-16,1879-12-16,360,0.0328,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,ta,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/ta/gn/,1850-01-16,1879-12-16,360,0.493,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,tas,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/tas/gn/,1850-01-16,1879-12-16,360,0.0285,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,tasmax,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/tasmax/gn/,1850-01-16,1879-12-16,360,0.0287,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,tasmin,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/tasmin/gn/,1850-01-16,1879-12-16,360,0.0285,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,tauu,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/tauu/gn/,1850-01-16,1879-12-16,360,0.0403,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,tauv,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/tauv/gn/,1850-01-16,1879-12-16,360,0.041,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,ts,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/ts/gn/,1850-01-16,1879-12-16,360,0.0287,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,ua,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/ua/gn/,1850-01-16,1879-12-16,360,0.677,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,uas,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/uas/gn/,1850-01-16,1879-12-16,360,0.0396,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,va,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/va/gn/,1850-01-16,1879-12-16,360,0.73,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,vas,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/vas/gn/,1850-01-16,1879-12-16,360,0.0404,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xdust,r1i1p1f1,Amon,zg,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xdust/r1i1p1f1/Amon/zg/gn/,1850-01-16,1879-12-16,360,0.473,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xfire,r1i1p1f1,Amon,clt,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xfire/r1i1p1f1/Amon/clt/gn/,1850-01-16,1879-12-16,360,0.0361,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xfire,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xfire/r1i1p1f1/Amon/evspsbl/gn/,1850-01-16,1879-12-16,360,0.0383,2019-11-01,created,
AerChemMIP,MIROC,MIROC6,piClim-2xfire,r1i1p1f1,Amon,hfls,gn,gs://cmip6/AerChemMIP/MIROC/MIROC6/piClim-2xfire/r1i1p1f1/Amon/hfls/gn/,1850-01-16,1879-12-16,360,0.0386,2019-11-01,created,
