activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
AerChemMIP,MRI,MRI-ESM2-0,histSST,r1i1p1f1,AERmon,mmrbc,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/histSST/r1i1p1f1/AERmon/mmrbc/gn/,1850-01-16,2014-12-16,1980,8.83,2020-02-23,created,
AerChemMIP,MRI,MRI-ESM2-0,histSST,r1i1p1f1,AERmon,mmrdust,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/histSST/r1i1p1f1/AERmon/mmrdust/gn/,1850-01-16,2014-12-16,1980,9.14,2020-02-24,created,
AerChemMIP,MRI,MRI-ESM2-0,histSST,r1i1p1f1,AERmon,mmroa,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/histSST/r1i1p1f1/AERmon/mmroa/gn/,1850-01-16,2014-12-16,1980,9.07,2020-02-24,created,
AerChemMIP,MRI,MRI-ESM2-0,histSST,r1i1p1f1,AERmon,od550aer,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/histSST/r1i1p1f1/AERmon/od550aer/gn/,1850-01-16,2014-12-16,1980,0.311,2020-02-23,created,
AerChemMIP,MRI,MRI-ESM2-0,histSST,r1i1p1f1,Amon,rlut,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/histSST/r1i1p1f1/Amon/rlut/gn/,1850-01-16,2014-12-16,1980,0.283,2020-02-24,created,
AerChemMIP,MRI,MRI-ESM2-0,histSST,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/histSST/r1i1p1f1/Amon/rsdt/gn/,1850-01-16,2014-12-16,1980,0.0672,2020-02-24,created,
AerChemMIP,MRI,MRI-ESM2-0,histSST,r1i1p1f1,Amon,rsut,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/histSST/r1i1p1f1/Amon/rsut/gn/,1850-01-16,2014-12-16,1980,0.291,2020-02-24,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,ch4,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/ch4/gn/,1850-01-16,1879-12-16,360,0.128,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,clt,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/clt/gn/,1850-01-16,1879-12-16,360,0.0562,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,co2,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/co2/gn/,1850-01-16,1879-12-16,360,0.0787,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/evspsbl/gn/,1850-01-16,1879-12-16,360,0.0595,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,hfls,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/hfls/gn/,1850-01-16,1879-12-16,360,0.0599,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,hfss,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/hfss/gn/,1850-01-16,1879-12-16,360,0.0603,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,hurs,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/hurs/gn/,1850-01-16,1879-12-16,360,0.0521,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,hus,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/hus/gn/,1850-01-16,1879-12-16,360,0.898,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,huss,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/huss/gn/,1850-01-16,1879-12-16,360,0.0551,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,o3,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/o3/gn/,1850-01-16,1879-12-16,360,0.161,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,pr,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/pr/gn/,1850-01-16,1879-12-16,360,0.0607,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,prsn,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/prsn/gn/,1850-01-16,1879-12-16,360,0.0278,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,prw,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/prw/gn/,1850-01-16,1879-12-16,360,0.0558,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,ps,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/ps/gn/,1850-01-16,1879-12-16,360,0.0452,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,psl,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/psl/gn/,1850-01-16,1879-12-16,360,0.0403,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,rlds,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/rlds/gn/,1850-01-16,1879-12-16,360,0.0519,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,rlus,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/rlus/gn/,1850-01-16,1879-12-16,360,0.0501,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,rlut,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/rlut/gn/,1850-01-16,1879-12-16,360,0.0515,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/rlutcs/gn/,1850-01-16,1879-12-16,360,0.0483,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,rsds,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/rsds/gn/,1850-01-16,1879-12-16,360,0.0519,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/rsdt/gn/,1850-01-16,1879-12-16,360,0.0122,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,rsus,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/rsus/gn/,1850-01-16,1879-12-16,360,0.0541,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,rsut,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/rsut/gn/,1850-01-16,1879-12-16,360,0.0529,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/rsutcs/gn/,1850-01-16,1879-12-16,360,0.0493,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,ta,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/ta/gn/,1850-01-16,1879-12-16,360,0.755,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,tas,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/tas/gn/,1850-01-16,1879-12-16,360,0.0438,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,tasmax,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/tasmax/gn/,1850-01-16,1879-12-16,360,0.044,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,tasmin,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/tasmin/gn/,1850-01-16,1879-12-16,360,0.044,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,tauu,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/tauu/gn/,1850-01-16,1879-12-16,360,0.0611,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,tauv,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/tauv/gn/,1850-01-16,1879-12-16,360,0.0625,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,ts,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/ts/gn/,1850-01-16,1879-12-16,360,0.0443,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,ua,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/ua/gn/,1850-01-16,1879-12-16,360,1.04,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,uas,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/uas/gn/,1850-01-16,1879-12-16,360,0.0609,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,va,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/va/gn/,1850-01-16,1879-12-16,360,1.12,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,vas,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/vas/gn/,1850-01-16,1879-12-16,360,0.062,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-BC,r1i1p1f1,Amon,zg,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-BC/r1i1p1f1/Amon/zg/gn/,1850-01-16,1879-12-16,360,0.721,2019-11-01,created,
AerChemMIP,MRI,MRI-ESM2-0,piClim-CH4,r1i1p1f1,Amon,ch4,gn,gs://cmip6/AerChemMIP/MRI/MRI-ESM2-0/piClim-CH4/r1i1p1f1/Amon/ch4/gn/,1850-01-16,1879-12-16,360,0.128,2019-11-01,created,
