activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
AerChemMIP,NCAR,CESM2-WACCM,histSST,r1i2p1f1,AERmon,mmrbc,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/histSST/r1i2p1f1/AERmon/mmrbc/gn/,1850-01-15,2014-12-15,1980,23.3,2020-02-24,created,
AerChemMIP,NCAR,CESM2-WACCM,histSST,r1i2p1f1,AERmon,mmrdust,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/histSST/r1i2p1f1/AERmon/mmrdust/gn/,1850-01-15,2014-12-15,1980,23.1,2020-02-24,created,
AerChemMIP,NCAR,CESM2-WACCM,histSST,r1i2p1f1,AERmon,mmroa,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/histSST/r1i2p1f1/AERmon/mmroa/gn/,1850-01-15,2014-12-15,1980,23.4,2020-02-24,created,
AerChemMIP,NCAR,CESM2-WACCM,histSST,r1i2p1f1,AERmon,od550aer,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/histSST/r1i2p1f1/AERmon/od550aer/gn/,1850-01-15,2014-12-15,1980,0.338,2020-02-23,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,ch4,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/ch4/gn/,0001-01-15,0030-12-15,360,0.821,2019-11-01,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,clt,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/clt/gn/,0001-01-15,0030-12-15,360,0.0589,2019-11-01,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,co2,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/co2/gn/,0001-01-15,0030-12-15,360,0.61,2019-11-01,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,evspsbl,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/evspsbl/gn/,0001-01-15,0030-12-15,360,0.0643,2019-11-01,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,hfls,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/hfls/gn/,0001-01-15,0030-12-15,360,0.0645,2019-11-01,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,hfss,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/hfss/gn/,0001-01-15,0030-12-15,360,0.0652,2019-11-01,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,hurs,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/hurs/gn/,0001-01-15,0030-12-15,360,0.0561,2019-11-02,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,hus,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/hus/gn/,0001-01-15,0030-12-15,360,0.974,2019-11-01,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,huss,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/huss/gn/,0001-01-15,0030-12-15,360,0.0596,2019-11-01,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,o3,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/o3/gn/,0001-01-15,0030-12-15,360,0.989,2019-11-01,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,pr,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/pr/gn/,0001-01-15,0030-12-15,360,0.065,2019-11-01,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,prw,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/prw/gn/,0001-01-15,0030-12-15,360,0.0601,2019-11-01,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,ps,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/ps/gn/,0001-01-15,0030-12-15,360,0.0485,2019-11-01,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,psl,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/psl/gn/,0001-01-15,0030-12-15,360,0.0437,2019-11-01,created,
AerChemMIP,NCAR,CESM2-WACCM,piClim-NTCF,r1i2p1f1,Amon,rlds,gn,gs://cmip6/AerChemMIP/NCAR/CESM2-WACCM/piClim-NTCF/r1i2p1f1/Amon/rlds/gn/,0001-01-15,0030-12-15,360,0.0564,2019-11-01,created,
