activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
AerChemMIP,NOAA-GFDL,GFDL-ESM4,histSST,r1i1p1f1,AERmon,mmrbc,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/histSST/r1i1p1f1/AERmon/mmrbc/gr1/,1950-01-16,2014-12-16,780,5.08,2020-02-24,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,histSST,r1i1p1f1,AERmon,mmrdust,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/histSST/r1i1p1f1/AERmon/mmrdust/gr1/,1850-01-16,2014-12-16,1980,15.4,2020-02-24,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,histSST,r1i1p1f1,AERmon,mmroa,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/histSST/r1i1p1f1/AERmon/mmroa/gr1/,1950-01-16,2014-12-16,780,4.99,2020-02-24,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,histSST,r1i1p1f1,AERmon,mmrso4,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/histSST/r1i1p1f1/AERmon/mmrso4/gr1/,1850-01-16,2014-12-16,1980,12.3,2020-02-24,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,histSST,r1i1p1f1,AERmon,mmrss,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/histSST/r1i1p1f1/AERmon/mmrss/gr1/,1950-01-16,2014-12-16,780,6.03,2020-02-25,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,histSST,r1i1p1f1,AERmon,od550aer,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/histSST/r1i1p1f1/AERmon/od550aer/gr1/,1850-01-16,2014-12-16,1980,0.318,2020-02-23,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,histSST,r1i1p1f1,AERmon,rlutaf,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/histSST/r1i1p1f1/AERmon/rlutaf/gr1/,1850-01-16,2014-12-16,1980,0.288,2020-02-23,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,histSST,r1i1p1f1,AERmon,rlutcsaf,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/histSST/r1i1p1f1/AERmon/rlutcsaf/gr1/,1850-01-16,2014-12-16,1980,0.271,2020-02-23,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,histSST,r1i1p1f1,AERmon,rsutaf,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/histSST/r1i1p1f1/AERmon/rsutaf/gr1/,1850-01-16,2014-12-16,1980,0.295,2020-02-23,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,histSST,r1i1p1f1,AERmon,rsutcsaf,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/histSST/r1i1p1f1/AERmon/rsutcsaf/gr1/,1850-01-16,2014-12-16,1980,0.265,2020-02-23,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,histSST,r1i1p1f1,Amon,rlut,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/histSST/r1i1p1f1/Amon/rlut/gr1/,1850-01-16,2014-12-16,1980,0.289,2020-02-24,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,histSST,r1i1p1f1,Amon,rsdt,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/histSST/r1i1p1f1/Amon/rsdt/gr1/,1850-01-16,2014-12-16,1980,0.213,2020-02-24,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,histSST,r1i1p1f1,Amon,rsut,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/histSST/r1i1p1f1/Amon/rsut/gr1/,1850-01-16,2014-12-16,1980,0.295,2020-02-24,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,piClim-aer,r1i1p1f1,AERmon,mmrbc,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/piClim-aer/r1i1p1f1/AERmon/mmrbc/gr1/,0001-01-16,0030-12-16,360,2.35,2020-02-24,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,piClim-aer,r1i1p1f1,AERmon,mmrdust,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/piClim-aer/r1i1p1f1/AERmon/mmrdust/gr1/,0001-01-16,0030-12-16,360,2.8,2020-02-24,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,piClim-aer,r1i1p1f1,AERmon,mmroa,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/piClim-aer/r1i1p1f1/AERmon/mmroa/gr1/,0001-01-16,0030-12-16,360,2.31,2020-02-24,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,piClim-aer,r1i1p1f1,AERmon,mmrso4,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/piClim-aer/r1i1p1f1/AERmon/mmrso4/gr1/,0001-01-16,0030-12-16,360,2.22,2020-02-24,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,piClim-aer,r1i1p1f1,AERmon,mmrss,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/piClim-aer/r1i1p1f1/AERmon/mmrss/gr1/,0001-01-16,0030-12-16,360,2.79,2020-02-25,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,piClim-aer,r1i1p1f1,AERmon,od550aer,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/piClim-aer/r1i1p1f1/AERmon/od550aer/gr1/,0001-01-16,0030-12-16,360,0.0579,2020-02-23,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,piClim-aer,r1i1p1f1,AERmon,rlutaf,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/piClim-aer/r1i1p1f1/AERmon/rlutaf/gr1/,0001-01-16,0030-12-16,360,0.0525,2020-02-23,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,piClim-aer,r1i1p1f1,AERmon,rlutcsaf,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/piClim-aer/r1i1p1f1/AERmon/rlutcsaf/gr1/,0001-01-16,0030-12-16,360,0.0493,2020-02-23,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,piClim-aer,r1i1p1f1,AERmon,rsutaf,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/piClim-aer/r1i1p1f1/AERmon/rsutaf/gr1/,0001-01-16,0030-12-16,360,0.054,2020-02-23,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,piClim-aer,r1i1p1f1,AERmon,rsutcsaf,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/piClim-aer/r1i1p1f1/AERmon/rsutcsaf/gr1/,0001-01-16,0030-12-16,360,0.0481,2020-02-23,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,piClim-aer,r1i1p1f1,Amon,rlut,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/piClim-aer/r1i1p1f1/Amon/rlut/gr1/,0001-01-16,0030-12-16,360,0.0528,2020-02-24,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,piClim-aer,r1i1p1f1,Amon,rsdt,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/piClim-aer/r1i1p1f1/Amon/rsdt/gr1/,0001-01-16,0030-12-16,360,0.0388,2020-02-24,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,piClim-aer,r1i1p1f1,Amon,rsut,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/piClim-aer/r1i1p1f1/Amon/rsut/gr1/,0001-01-16,0030-12-16,360,0.0539,2020-02-24,created,
AerChemMIP,NOAA-GFDL,GFDL-ESM4,piClim-control,r1i1p1f1,AERmon,mmrbc,gr1,gs://cmip6/AerChemMIP/NOAA-GFDL/GFDL-ESM4/piClim-control/r1i1p1f1/AERmon/mmrbc/gr1/,0001-01-16,0030-12-16,360,2.33,2020-02-24,created,
