activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,clt,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/clt/gn/,1850-01-16,2000-12-16,1812,0.0459,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/evspsbl/gn/,1850-01-16,2000-12-16,1812,0.0493,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,hfls,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/hfls/gn/,1850-01-16,2000-12-16,1812,0.0501,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,hfss,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/hfss/gn/,1850-01-16,2000-12-16,1812,0.0505,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,hurs,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/hurs/gn/,1850-01-16,2000-12-16,1812,0.0424,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,hus,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/hus/gn/,1850-01-16,2000-12-16,1812,0.807,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,huss,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/huss/gn/,1850-01-16,2000-12-16,1812,0.0466,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,pr,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/pr/gn/,1850-01-16,2000-12-16,1812,0.0512,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,prsn,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/prsn/gn/,1850-01-16,2000-12-16,1812,0.0272,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,prw,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/prw/gn/,1850-01-16,2000-12-16,1812,0.0467,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,ps,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/ps/gn/,1850-01-16,2000-12-16,1812,0.0385,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,psl,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/psl/gn/,1850-01-16,2000-12-16,1812,0.0348,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,rlds,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/rlds/gn/,1850-01-16,2000-12-16,1812,0.0445,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,rlus,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/rlus/gn/,1850-01-16,2000-12-16,1812,0.0433,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,rlut,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/rlut/gn/,1850-01-16,2000-12-16,1812,0.0441,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/rlutcs/gn/,1850-01-16,2000-12-16,1812,0.0417,2019-11-02,created,
C4MIP,CCCma,CanESM5,1pctCO2-bgc,r1i1p1f1,Amon,rsds,gn,gs://cmip6/C4MIP/CCCma/CanESM5/1pctCO2-bgc/r1i1p1f1/Amon/rsds/gn/,1850-01-16,2000-12-16,1812,0.0429,2019-11-02,created,
