activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
C4MIP,CSIRO,ACCESS-ESM1-5,esm-ssp585,r1i1p1f1,Lmon,cLeaf,gn,gs://cmip6/C4MIP/CSIRO/ACCESS-ESM1-5/esm-ssp585/r1i1p1f1/Lmon/cLeaf/gn/,2015-01-16,2100-12-16,1032,0.0358,2020-02-06,created,
C4MIP,CSIRO,ACCESS-ESM1-5,esm-ssp585,r1i1p1f1,Lmon,cVeg,gn,gs://cmip6/C4MIP/CSIRO/ACCESS-ESM1-5/esm-ssp585/r1i1p1f1/Lmon/cVeg/gn/,2015-01-16,2100-12-16,1032,0.0344,2020-02-06,created,
C4MIP,CSIRO,ACCESS-ESM1-5,esm-ssp585,r1i1p1f1,Lmon,gpp,gn,gs://cmip6/C4MIP/CSIRO/ACCESS-ESM1-5/esm-ssp585/r1i1p1f1/Lmon/gpp/gn/,2015-01-16,2100-12-16,1032,0.0373,2020-02-06,created,
C4MIP,CSIRO,ACCESS-ESM1-5,esm-ssp585,r1i1p1f1,Lmon,lai,gn,gs://cmip6/C4MIP/CSIRO/ACCESS-ESM1-5/esm-ssp585/r1i1p1f1/Lmon/lai/gn/,2015-01-16,2100-12-16,1032,0.0359,2020-02-06,created,
C4MIP,CSIRO,ACCESS-ESM1-5,esm-ssp585,r1i1p1f1,Lmon,nbp,gn,gs://cmip6/C4MIP/CSIRO/ACCESS-ESM1-5/esm-ssp585/r1i1p1f1/Lmon/nbp/gn/,2015-01-16,2100-12-16,1032,0.0383,2020-02-06,created,
C4MIP,CSIRO,ACCESS-ESM1-5,esm-ssp585,r1i1p1f1,Lmon,npp,gn,gs://cmip6/C4MIP/CSIRO/ACCESS-ESM1-5/esm-ssp585/r1i1p1f1/Lmon/npp/gn/,2015-01-16,2100-12-16,1032,0.038,2020-02-06,created,
C4MIP,CSIRO,ACCESS-ESM1-5,esm-ssp585,r1i1p1f1,Lmon,ra,gn,gs://cmip6/C4MIP/CSIRO/ACCESS-ESM1-5/esm-ssp585/r1i1p1f1/Lmon/ra/gn/,2015-01-16,2100-12-16,1032,0.0372,2020-02-06,created,
C4MIP,CSIRO,ACCESS-ESM1-5,esm-ssp585,r1i1p1f1,Omon,chl,gn,gs://cmip6/C4MIP/CSIRO/ACCESS-ESM1-5/esm-ssp585/r1i1p1f1/Omon/chl/gn/,2015-01-16,2100-12-16,1032,10.7,2020-02-14,created,
C4MIP,CSIRO,ACCESS-ESM1-5,esm-ssp585,r1i1p1f1,Omon,chlos,gn,gs://cmip6/C4MIP/CSIRO/ACCESS-ESM1-5/esm-ssp585/r1i1p1f1/Omon/chlos/gn/,2015-01-16,2100-12-16,1032,0.263,2020-02-14,created,
C4MIP,CSIRO,ACCESS-ESM1-5,esm-ssp585,r1i1p1f1,Omon,dissic,gn,gs://cmip6/C4MIP/CSIRO/ACCESS-ESM1-5/esm-ssp585/r1i1p1f1/Omon/dissic/gn/,2015-01-16,2100-12-16,1032,8.05,2020-02-14,created,
