activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
C4MIP,MOHC,UKESM1-0-LL,1pctCO2-bgc,r1i1p1f2,Amon,ch4,gn,gs://cmip6/C4MIP/MOHC/UKESM1-0-LL/1pctCO2-bgc/r1i1p1f2/Amon/ch4/gn/,1850-01-16,1999-12-16,1800,2.15,2019-11-02,created,
C4MIP,MOHC,UKESM1-0-LL,1pctCO2-bgc,r1i1p1f2,Amon,clt,gn,gs://cmip6/C4MIP/MOHC/UKESM1-0-LL/1pctCO2-bgc/r1i1p1f2/Amon/clt/gn/,1850-01-16,1999-12-16,1800,0.138,2019-11-02,created,
C4MIP,MOHC,UKESM1-0-LL,1pctCO2-bgc,r1i1p1f2,Amon,evspsbl,gn,gs://cmip6/C4MIP/MOHC/UKESM1-0-LL/1pctCO2-bgc/r1i1p1f2/Amon/evspsbl/gn/,1850-01-16,1999-12-16,1800,0.164,2019-11-02,created,
C4MIP,MOHC,UKESM1-0-LL,1pctCO2-bgc,r1i1p1f2,Amon,hfls,gn,gs://cmip6/C4MIP/MOHC/UKESM1-0-LL/1pctCO2-bgc/r1i1p1f2/Amon/hfls/gn/,1850-01-16,1999-12-16,1800,0.155,2019-11-02,created,
C4MIP,MOHC,UKESM1-0-LL,1pctCO2-bgc,r1i1p1f2,Amon,hfss,gn,gs://cmip6/C4MIP/MOHC/UKESM1-0-LL/1pctCO2-bgc/r1i1p1f2/Amon/hfss/gn/,1850-01-16,1999-12-16,1800,0.155,2019-11-02,created,
C4MIP,MOHC,UKESM1-0-LL,1pctCO2-bgc,r1i1p1f2,Amon,hurs,gn,gs://cmip6/C4MIP/MOHC/UKESM1-0-LL/1pctCO2-bgc/r1i1p1f2/Amon/hurs/gn/,1850-01-16,1999-12-16,1800,0.097,2019-11-02,created,
C4MIP,MOHC,UKESM1-0-LL,1pctCO2-bgc,r1i1p1f2,Amon,hus,gn,gs://cmip6/C4MIP/MOHC/UKESM1-0-LL/1pctCO2-bgc/r1i1p1f2/Amon/hus/gn/,1850-01-16,1999-12-16,1800,2.59,2019-11-02,created,
C4MIP,MOHC,UKESM1-0-LL,1pctCO2-bgc,r1i1p1f2,Amon,huss,gn,gs://cmip6/C4MIP/MOHC/UKESM1-0-LL/1pctCO2-bgc/r1i1p1f2/Amon/huss/gn/,1850-01-16,1999-12-16,1800,0.154,2019-11-02,created,
C4MIP,MOHC,UKESM1-0-LL,1pctCO2-bgc,r1i1p1f2,Amon,o3,gn,gs://cmip6/C4MIP/MOHC/UKESM1-0-LL/1pctCO2-bgc/r1i1p1f2/Amon/o3/gn/,1850-01-16,1999-12-16,1800,2.61,2019-11-02,created,
C4MIP,MOHC,UKESM1-0-LL,1pctCO2-bgc,r1i1p1f2,Amon,pr,gn,gs://cmip6/C4MIP/MOHC/UKESM1-0-LL/1pctCO2-bgc/r1i1p1f2/Amon/pr/gn/,1850-01-16,1999-12-16,1800,0.169,2019-11-02,created,
