activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,clt,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/clt/gn/,1850-01-16,2000-12-16,1812,0.0713,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,evspsbl,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/evspsbl/gn/,1850-01-16,2000-12-16,1812,0.077,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,hfls,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/hfls/gn/,1850-01-16,2000-12-16,1812,0.0777,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,hfss,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/hfss/gn/,1850-01-16,2000-12-16,1812,0.0788,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,hurs,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/hurs/gn/,1850-01-16,2000-12-16,1812,0.0651,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,hus,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/hus/gn/,1850-01-16,2000-12-16,1812,1.2,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,huss,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/huss/gn/,1850-01-16,2000-12-16,1812,0.0716,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,pr,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/pr/gn/,1850-01-16,2000-12-16,1812,0.0791,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,prsn,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/prsn/gn/,1850-01-16,2000-12-16,1812,0.0389,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,prw,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/prw/gn/,1850-01-16,2000-12-16,1812,0.0723,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,ps,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/ps/gn/,1850-01-16,2000-12-16,1812,0.0587,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,psl,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/psl/gn/,1850-01-16,2000-12-16,1812,0.0539,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,rlds,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/rlds/gn/,1850-01-16,2000-12-16,1812,0.0687,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,rlus,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/rlus/gn/,1850-01-16,2000-12-16,1812,0.0665,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,rlut,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/rlut/gn/,1850-01-16,2000-12-16,1812,0.0689,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,rlutcs,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/rlutcs/gn/,1850-01-16,2000-12-16,1812,0.0649,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,rsds,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/rsds/gn/,1850-01-16,2000-12-16,1812,0.067,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,rsdt,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/rsdt/gn/,1850-01-16,2000-12-16,1812,0.022,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,rsus,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/rsus/gn/,1850-01-16,2000-12-16,1812,0.0698,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,rsut,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/rsut/gn/,1850-01-16,2000-12-16,1812,0.0682,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,rsutcs,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/rsutcs/gn/,1850-01-16,2000-12-16,1812,0.0665,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,ta,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/ta/gn/,1850-01-16,2000-12-16,1812,1.03,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,tas,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/tas/gn/,1850-01-16,2000-12-16,1812,0.0589,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,tasmax,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/tasmax/gn/,1850-01-16,2000-12-16,1812,0.0589,2019-11-02,created,
C4MIP,NASA-GISS,GISS-E2-1-G,1pctCO2-bgc,r101i1p1f1,Amon,tasmin,gn,gs://cmip6/C4MIP/NASA-GISS/GISS-E2-1-G/1pctCO2-bgc/r101i1p1f1/Amon/tasmin/gn/,1850-01-16,2000-12-16,1812,0.0594,2019-11-02,created,
