activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
C4MIP,NOAA-GFDL,GFDL-ESM4,1pctCO2-bgc,r1i1p1f1,Amon,hurs,gr1,gs://cmip6/C4MIP/NOAA-GFDL/GFDL-ESM4/1pctCO2-bgc/r1i1p1f1/Amon/hurs/gr1/,0001-01-16,0150-12-16,1800,0.263,2019-11-02,created,
C4MIP,NOAA-GFDL,GFDL-ESM4,1pctCO2-bgc,r1i1p1f1,Amon,huss,gr1,gs://cmip6/C4MIP/NOAA-GFDL/GFDL-ESM4/1pctCO2-bgc/r1i1p1f1/Amon/huss/gr1/,0001-01-16,0150-12-16,1800,0.281,2019-11-02,created,
C4MIP,NOAA-GFDL,GFDL-ESM4,1pctCO2-bgc,r1i1p1f1,Amon,pr,gr1,gs://cmip6/C4MIP/NOAA-GFDL/GFDL-ESM4/1pctCO2-bgc/r1i1p1f1/Amon/pr/gr1/,0001-01-16,0150-12-16,1800,0.306,2019-11-02,created,
C4MIP,NOAA-GFDL,GFDL-ESM4,1pctCO2-bgc,r1i1p1f1,Amon,prsn,gr1,gs://cmip6/C4MIP/NOAA-GFDL/GFDL-ESM4/1pctCO2-bgc/r1i1p1f1/Amon/prsn/gr1/,0001-01-16,0150-12-16,1800,0.169,2019-11-02,created,
C4MIP,NOAA-GFDL,GFDL-ESM4,1pctCO2-bgc,r1i1p1f1,Amon,prw,gr1,gs://cmip6/C4MIP/NOAA-GFDL/GFDL-ESM4/1pctCO2-bgc/r1i1p1f1/Amon/prw/gr1/,0001-01-16,0150-12-16,1800,0.285,2019-11-02,created,
C4MIP,NOAA-GFDL,GFDL-ESM4,1pctCO2-bgc,r1i1p1f1,Amon,ps,gr1,gs://cmip6/C4MIP/NOAA-GFDL/GFDL-ESM4/1pctCO2-bgc/r1i1p1f1/Amon/ps/gr1/,0001-01-16,0150-12-16,1800,0.231,2019-11-02,created,
C4MIP,NOAA-GFDL,GFDL-ESM4,1pctCO2-bgc,r1i1p1f1,Amon,psl,gr1,gs://cmip6/C4MIP/NOAA-GFDL/GFDL-ESM4/1pctCO2-bgc/r1i1p1f1/Amon/psl/gr1/,0001-01-16,0150-12-16,1800,0.205,2019-11-02,created,
C4MIP,NOAA-GFDL,GFDL-ESM4,1pctCO2-bgc,r1i1p1f1,Amon,rlds,gr1,gs://cmip6/C4MIP/NOAA-GFDL/GFDL-ESM4/1pctCO2-bgc/r1i1p1f1/Amon/rlds/gr1/,0001-01-16,0150-12-16,1800,0.264,2019-11-02,created,
C4MIP,NOAA-GFDL,GFDL-ESM4,1pctCO2-bgc,r1i1p1f1,Amon,tas,gr1,gs://cmip6/C4MIP/NOAA-GFDL/GFDL-ESM4/1pctCO2-bgc/r1i1p1f1/Amon/tas/gr1/,0001-01-16,0150-12-16,1800,0.226,2019-11-02,created,
C4MIP,NOAA-GFDL,GFDL-ESM4,1pctCO2-bgc,r1i1p1f1,Amon,tauu,gr1,gs://cmip6/C4MIP/NOAA-GFDL/GFDL-ESM4/1pctCO2-bgc/r1i1p1f1/Amon/tauu/gr1/,0001-01-16,0150-12-16,1800,0.312,2019-11-02,created,
