activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,ch4,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/ch4/gn/,1979-01-16,2014-12-16,432,0.172,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,clt,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/clt/gn/,1979-01-16,2014-12-16,432,0.0669,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,co2,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/co2/gn/,1979-01-16,2014-12-16,432,0.0186,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/evspsbl/gn/,1979-01-16,2014-12-16,432,0.0718,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,hfls,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/hfls/gn/,1979-01-16,2014-12-16,432,0.0722,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,hfss,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/hfss/gn/,1979-01-16,2014-12-16,432,0.0742,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,hus,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/hus/gn/,1979-01-16,2014-12-16,432,1.11,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,o3,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/o3/gn/,1979-01-16,2014-12-16,432,1.09,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,pr,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/pr/gn/,1979-01-16,2014-12-16,432,0.0731,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,prsn,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/prsn/gn/,1979-01-16,2014-12-16,432,0.0641,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,prw,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/prw/gn/,1979-01-16,2014-12-16,432,0.0666,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,ps,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/ps/gn/,1979-01-16,2014-12-16,432,0.0539,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,psl,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/psl/gn/,1979-01-16,2014-12-16,432,0.0485,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,rlds,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/rlds/gn/,1979-01-16,2014-12-16,432,0.0622,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,rlus,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/rlus/gn/,1979-01-16,2014-12-16,432,0.0609,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/rlut/gn/,1979-01-16,2014-12-16,432,0.0616,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/rlutcs/gn/,1979-01-16,2014-12-16,432,0.0579,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,rsds,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/rsds/gn/,1979-01-16,2014-12-16,432,0.0634,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/rsdt/gn/,1979-01-16,2014-12-16,432,0.0452,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,rsus,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/rsus/gn/,1979-01-16,2014-12-16,432,0.064,2019-11-02,created,
CFMIP,BCC,BCC-CSM2-MR,amip-4xCO2,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CFMIP/BCC/BCC-CSM2-MR/amip-4xCO2/r1i1p1f1/Amon/rsut/gn/,1979-01-16,2014-12-16,432,0.063,2019-11-02,created,
