activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CFMIP,CCCma,CanESM5,abrupt-2xCO2,r1i1p2f1,Amon,clt,gn,gs://cmip6/CFMIP/CCCma/CanESM5/abrupt-2xCO2/r1i1p2f1/Amon/clt/gn/,1850-01-16,1999-12-16,1800,0.0457,2019-11-02,created,
CFMIP,CCCma,CanESM5,abrupt-2xCO2,r1i1p2f1,Amon,evspsbl,gn,gs://cmip6/CFMIP/CCCma/CanESM5/abrupt-2xCO2/r1i1p2f1/Amon/evspsbl/gn/,1850-01-16,1999-12-16,1800,0.0489,2019-11-02,created,
CFMIP,CCCma,CanESM5,abrupt-2xCO2,r1i1p2f1,Amon,hfls,gn,gs://cmip6/CFMIP/CCCma/CanESM5/abrupt-2xCO2/r1i1p2f1/Amon/hfls/gn/,1850-01-16,1999-12-16,1800,0.0498,2019-11-02,created,
CFMIP,CCCma,CanESM5,abrupt-2xCO2,r1i1p2f1,Amon,hfss,gn,gs://cmip6/CFMIP/CCCma/CanESM5/abrupt-2xCO2/r1i1p2f1/Amon/hfss/gn/,1850-01-16,1999-12-16,1800,0.0505,2019-11-02,created,
CFMIP,CCCma,CanESM5,abrupt-2xCO2,r1i1p2f1,Amon,hurs,gn,gs://cmip6/CFMIP/CCCma/CanESM5/abrupt-2xCO2/r1i1p2f1/Amon/hurs/gn/,1850-01-16,1999-12-16,1800,0.0421,2019-11-02,created,
CFMIP,CCCma,CanESM5,abrupt-2xCO2,r1i1p2f1,Amon,hus,gn,gs://cmip6/CFMIP/CCCma/CanESM5/abrupt-2xCO2/r1i1p2f1/Amon/hus/gn/,1850-01-16,1999-12-16,1800,0.803,2019-11-02,created,
CFMIP,CCCma,CanESM5,abrupt-2xCO2,r1i1p2f1,Amon,huss,gn,gs://cmip6/CFMIP/CCCma/CanESM5/abrupt-2xCO2/r1i1p2f1/Amon/huss/gn/,1850-01-16,1999-12-16,1800,0.0461,2019-11-02,created,
CFMIP,CCCma,CanESM5,abrupt-2xCO2,r1i1p2f1,Amon,pr,gn,gs://cmip6/CFMIP/CCCma/CanESM5/abrupt-2xCO2/r1i1p2f1/Amon/pr/gn/,1850-01-16,1999-12-16,1800,0.0508,2019-11-02,created,
CFMIP,CCCma,CanESM5,abrupt-2xCO2,r1i1p2f1,Amon,prsn,gn,gs://cmip6/CFMIP/CCCma/CanESM5/abrupt-2xCO2/r1i1p2f1/Amon/prsn/gn/,1850-01-16,1999-12-16,1800,0.0245,2019-11-02,created,
CFMIP,CCCma,CanESM5,abrupt-2xCO2,r1i1p2f1,Amon,prw,gn,gs://cmip6/CFMIP/CCCma/CanESM5/abrupt-2xCO2/r1i1p2f1/Amon/prw/gn/,1850-01-16,1999-12-16,1800,0.0462,2019-11-02,created,
