activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,clt,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/clt/gr/,1850-01-16,1999-12-16,1800,0.177,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,evspsbl,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/evspsbl/gr/,1850-01-16,1999-12-16,1800,0.191,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,hfls,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/hfls/gr/,1850-01-16,1999-12-16,1800,0.193,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,hfss,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/hfss/gr/,1850-01-16,1999-12-16,1800,0.194,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,hurs,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/hurs/gr/,1850-01-16,1999-12-16,1800,0.172,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,hus,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/hus/gr/,1850-01-16,1999-12-16,1800,3.01,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,huss,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/huss/gr/,1850-01-16,1999-12-16,1800,0.181,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,o3,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/o3/gr/,1850-01-16,1999-12-16,1800,2.9,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,pr,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/pr/gr/,1850-01-16,1999-12-16,1800,0.197,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,prsn,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/prsn/gr/,1850-01-16,1999-12-16,1800,0.197,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,prw,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/prw/gr/,1850-01-16,1999-12-16,1800,0.181,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,ps,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/ps/gr/,1850-01-16,1999-12-16,1800,0.153,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,psl,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/psl/gr/,1850-01-16,1999-12-16,1800,0.131,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,rlds,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/rlds/gr/,1850-01-16,1999-12-16,1800,0.169,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,rlus,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/rlus/gr/,1850-01-16,1999-12-16,1800,0.164,2019-11-02,created,
CFMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-0p5xCO2,r1i1p1f2,Amon,rlut,gr,gs://cmip6/CFMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-0p5xCO2/r1i1p1f2/Amon/rlut/gr/,1850-01-16,1999-12-16,1800,0.169,2019-11-02,created,
