activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,clt,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/clt/gr/,1850-01-16,1999-12-16,1800,0.114,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,evspsbl,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/evspsbl/gr/,1850-01-16,1999-12-16,1800,0.122,2019-11-01,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,hfls,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/hfls/gr/,1850-01-16,1999-12-16,1800,0.124,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,hfss,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/hfss/gr/,1850-01-16,1999-12-16,1800,0.124,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,hurs,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/hurs/gr/,1850-01-16,1999-12-16,1800,0.107,2019-11-01,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,hus,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/hus/gr/,1850-01-16,1999-12-16,1800,1.75,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,huss,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/huss/gr/,1850-01-16,1999-12-16,1800,0.115,2019-11-01,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,o3,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/o3/gr/,1924-01-16,1924-12-16,12,0.0127,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,pr,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/pr/gr/,1850-01-16,1999-12-16,1800,0.126,2019-11-01,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,prsn,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/prsn/gr/,1850-01-16,1999-12-16,1800,0.0738,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,prw,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/prw/gr/,1850-01-16,1999-12-16,1800,0.115,2019-11-01,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,ps,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/ps/gr/,1850-01-16,1999-12-16,1800,0.0936,2019-11-01,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,psl,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/psl/gr/,1850-01-16,1999-12-16,1800,0.0853,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,rlds,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/rlds/gr/,1850-01-16,1999-12-16,1800,0.11,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,rlus,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/rlus/gr/,1850-01-16,1999-12-16,1800,0.106,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,rlut,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/rlut/gr/,1850-01-16,1999-12-16,1800,0.109,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,rlutcs,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/rlutcs/gr/,1850-01-16,1999-12-16,1800,0.103,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,rsds,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/rsds/gr/,1850-01-16,1999-12-16,1800,0.106,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,rsdt,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/rsdt/gr/,1850-01-16,1999-12-16,1800,0.072,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,rsus,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/rsus/gr/,1850-01-16,1999-12-16,1800,0.111,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,rsut,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/rsut/gr/,1850-01-16,1999-12-16,1800,0.108,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,rsutcs,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/rsutcs/gr/,1850-01-16,1999-12-16,1800,0.101,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,ta,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/ta/gr/,1850-01-16,1999-12-16,1800,1.62,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,tas,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/tas/gr/,1850-01-16,1999-12-16,1800,0.0945,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,tasmax,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/tasmax/gr/,1850-01-16,1999-12-16,1800,0.0941,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,tasmin,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/tasmin/gr/,1850-01-16,1999-12-16,1800,0.0956,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,tauu,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/tauu/gr/,1850-01-16,1999-12-16,1800,0.127,2019-11-02,created,
CFMIP,IPSL,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,Amon,tauv,gr,gs://cmip6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2/r1i1p1f1/Amon/tauv/gr/,1850-01-16,1999-12-16,1800,0.13,2019-11-02,created,
