activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,clt,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/clt/gn/,3200-01-16,3449-12-16,3000,0.3,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/evspsbl/gn/,3200-01-16,3449-12-16,3000,0.32,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,hfls,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/hfls/gn/,3200-01-16,3449-12-16,3000,0.322,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,hfss,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/hfss/gn/,3200-01-16,3449-12-16,3000,0.336,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,hurs,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/hurs/gn/,3200-01-16,3449-12-16,3000,0.287,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,hus,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/hus/gn/,3200-01-16,3449-12-16,3000,5.02,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,huss,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/huss/gn/,3200-01-16,3449-12-16,3000,0.299,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,pr,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/pr/gn/,3200-01-16,3449-12-16,3000,0.326,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,prsn,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/prsn/gn/,3200-01-16,3449-12-16,3000,0.145,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,prw,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/prw/gn/,3200-01-16,3449-12-16,3000,0.3,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,ps,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/ps/gn/,3200-01-16,3449-12-16,3000,0.244,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,psl,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/psl/gn/,3200-01-16,3449-12-16,3000,0.219,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,rlds,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/rlds/gn/,3200-01-16,3449-12-16,3000,0.283,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,rlus,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/rlus/gn/,3200-01-16,3449-12-16,3000,0.273,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/rlut/gn/,3200-01-16,3449-12-16,3000,0.28,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/rlutcs/gn/,3200-01-16,3449-12-16,3000,0.262,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,rsds,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/rsds/gn/,3200-01-16,3449-12-16,3000,0.279,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/rsdt/gn/,3200-01-16,3449-12-16,3000,0.155,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,rsus,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/rsus/gn/,3200-01-16,3449-12-16,3000,0.289,2019-11-02,created,
CFMIP,MIROC,MIROC6,abrupt-0p5xCO2,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CFMIP/MIROC/MIROC6/abrupt-0p5xCO2/r1i1p1f1/Amon/rsut/gn/,3200-01-16,3449-12-16,3000,0.284,2019-11-02,created,
