activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CFMIP,MRI,MRI-ESM2-0,abrupt-2xCO2,r1i1p1f1,Amon,pr,gn,gs://cmip6/CFMIP/MRI/MRI-ESM2-0/abrupt-2xCO2/r1i1p1f1/Amon/pr/gn/,1850-01-16,2000-12-16,1812,0.306,2020-02-10,created,
CFMIP,MRI,MRI-ESM2-0,abrupt-2xCO2,r1i1p1f1,Amon,psl,gn,gs://cmip6/CFMIP/MRI/MRI-ESM2-0/abrupt-2xCO2/r1i1p1f1/Amon/psl/gn/,1850-01-16,2000-12-16,1812,0.203,2020-01-26,created,
CFMIP,MRI,MRI-ESM2-0,abrupt-2xCO2,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CFMIP/MRI/MRI-ESM2-0/abrupt-2xCO2/r1i1p1f1/Amon/rlut/gn/,1850-01-16,2000-12-16,1812,0.258,2020-01-26,created,
CFMIP,MRI,MRI-ESM2-0,abrupt-2xCO2,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CFMIP/MRI/MRI-ESM2-0/abrupt-2xCO2/r1i1p1f1/Amon/rsdt/gn/,1850-01-16,2000-12-16,1812,0.0616,2020-02-10,created,
CFMIP,MRI,MRI-ESM2-0,abrupt-2xCO2,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CFMIP/MRI/MRI-ESM2-0/abrupt-2xCO2/r1i1p1f1/Amon/rsut/gn/,1850-01-16,2000-12-16,1812,0.267,2020-02-10,created,
CFMIP,MRI,MRI-ESM2-0,abrupt-2xCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CFMIP/MRI/MRI-ESM2-0/abrupt-2xCO2/r1i1p1f1/Amon/tas/gn/,1850-01-16,2000-12-16,1812,0.221,2020-01-26,created,
CFMIP,MRI,MRI-ESM2-0,abrupt-2xCO2,r1i1p1f1,Amon,uas,gn,gs://cmip6/CFMIP/MRI/MRI-ESM2-0/abrupt-2xCO2/r1i1p1f1/Amon/uas/gn/,1850-01-16,2000-12-16,1812,0.306,2020-02-10,created,
CFMIP,MRI,MRI-ESM2-0,abrupt-2xCO2,r1i1p1f1,Amon,vas,gn,gs://cmip6/CFMIP/MRI/MRI-ESM2-0/abrupt-2xCO2/r1i1p1f1/Amon/vas/gn/,1850-01-16,2000-12-16,1812,0.312,2020-02-10,created,
CFMIP,MRI,MRI-ESM2-0,amip-4xCO2,r1i1p1f1,Amon,ch4,gn,gs://cmip6/CFMIP/MRI/MRI-ESM2-0/amip-4xCO2/r1i1p1f1/Amon/ch4/gn/,1979-01-16,2014-12-16,432,0.154,2019-11-02,created,
CFMIP,MRI,MRI-ESM2-0,amip-4xCO2,r1i1p1f1,Amon,clt,gn,gs://cmip6/CFMIP/MRI/MRI-ESM2-0/amip-4xCO2/r1i1p1f1/Amon/clt/gn/,1979-01-16,2014-12-16,432,0.0674,2019-11-02,created,
