activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CFMIP,NCAR,CESM2,amip-4xCO2,r1i1p1f1,Amon,clt,gn,gs://cmip6/CFMIP/NCAR/CESM2/amip-4xCO2/r1i1p1f1/Amon/clt/gn/,1979-01-15,2014-12-15,432,0.071,2019-11-02,created,
CFMIP,NCAR,CESM2,amip-4xCO2,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/CFMIP/NCAR/CESM2/amip-4xCO2/r1i1p1f1/Amon/evspsbl/gn/,1979-01-15,2014-12-15,432,0.0781,2019-11-01,created,
CFMIP,NCAR,CESM2,amip-4xCO2,r1i1p1f1,Amon,hfls,gn,gs://cmip6/CFMIP/NCAR/CESM2/amip-4xCO2/r1i1p1f1/Amon/hfls/gn/,1979-01-15,2014-12-15,432,0.0778,2019-11-02,created,
CFMIP,NCAR,CESM2,amip-4xCO2,r1i1p1f1,Amon,hfss,gn,gs://cmip6/CFMIP/NCAR/CESM2/amip-4xCO2/r1i1p1f1/Amon/hfss/gn/,1979-01-15,2014-12-15,432,0.0789,2019-11-02,created,
CFMIP,NCAR,CESM2,amip-4xCO2,r1i1p1f1,Amon,hurs,gn,gs://cmip6/CFMIP/NCAR/CESM2/amip-4xCO2/r1i1p1f1/Amon/hurs/gn/,1979-01-15,2014-12-15,432,0.0677,2019-11-01,created,
CFMIP,NCAR,CESM2,amip-4xCO2,r1i1p1f1,Amon,hus,gn,gs://cmip6/CFMIP/NCAR/CESM2/amip-4xCO2/r1i1p1f1/Amon/hus/gn/,1979-01-15,2014-12-15,432,1.18,2019-11-02,created,
CFMIP,NCAR,CESM2,amip-4xCO2,r1i1p1f1,Amon,huss,gn,gs://cmip6/CFMIP/NCAR/CESM2/amip-4xCO2/r1i1p1f1/Amon/huss/gn/,1979-01-15,2014-12-15,432,0.0717,2019-11-01,created,
CFMIP,NCAR,CESM2,amip-4xCO2,r1i1p1f1,Amon,o3,gn,gs://cmip6/CFMIP/NCAR/CESM2/amip-4xCO2/r1i1p1f1/Amon/o3/gn/,1979-01-15,2014-12-15,432,1.11,2019-11-02,created,
CFMIP,NCAR,CESM2,amip-4xCO2,r1i1p1f1,Amon,pr,gn,gs://cmip6/CFMIP/NCAR/CESM2/amip-4xCO2/r1i1p1f1/Amon/pr/gn/,1979-01-15,2014-12-15,432,0.0784,2019-11-01,created,
CFMIP,NCAR,CESM2,amip-4xCO2,r1i1p1f1,Amon,prw,gn,gs://cmip6/CFMIP/NCAR/CESM2/amip-4xCO2/r1i1p1f1/Amon/prw/gn/,1979-01-15,2014-12-15,432,0.0722,2019-11-01,created,
CFMIP,NCAR,CESM2,amip-4xCO2,r1i1p1f1,Amon,ps,gn,gs://cmip6/CFMIP/NCAR/CESM2/amip-4xCO2/r1i1p1f1/Amon/ps/gn/,1979-01-15,2014-12-15,432,0.0585,2019-11-01,created,
CFMIP,NCAR,CESM2,amip-4xCO2,r1i1p1f1,Amon,psl,gn,gs://cmip6/CFMIP/NCAR/CESM2/amip-4xCO2/r1i1p1f1/Amon/psl/gn/,1979-01-15,2014-12-15,432,0.0525,2019-11-02,created,
