activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,clwvi,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/clwvi/gn/,1850-01-16,2000-12-16,1812,0.436,2020-03-03,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,hus,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/hus/gn/,1850-01-16,2000-12-16,1812,6.84,2019-10-25,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,huss,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/huss/gn/,1850-01-16,2000-12-16,1812,0.402,2020-02-29,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,pr,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/pr/gn/,1850-01-16,2000-12-16,1812,0.447,2020-02-28,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,psl,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/psl/gn/,1850-01-16,2000-12-16,1812,0.291,2019-10-25,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,rlds,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/rlds/gn/,1850-01-16,2000-12-16,1812,0.383,2020-02-29,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,rlus,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/rlus/gn/,1850-01-16,2000-12-16,1812,0.373,2020-02-28,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/rlut/gn/,1850-01-16,2000-12-16,1812,0.373,2020-02-29,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,ta,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/ta/gn/,1850-01-16,2000-12-16,1812,5.6,2019-10-25,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/tas/gn/,1850-01-16,2000-12-16,1812,0.32,2020-03-03,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,tasmax,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/tasmax/gn/,1850-01-16,2000-12-16,1812,0.325,2019-11-03,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,tasmin,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/tasmin/gn/,1850-01-16,2000-12-16,1812,0.334,2019-11-03,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,ts,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/ts/gn/,1850-01-16,2000-12-16,1812,0.325,2020-02-08,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,ua,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/ua/gn/,1850-01-16,2000-12-16,1812,7.73,2019-10-25,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,uas,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/uas/gn/,1850-01-16,2000-12-16,1812,0.438,2020-02-29,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,va,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/va/gn/,1850-01-16,2000-12-16,1812,8.35,2019-10-25,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,vas,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/vas/gn/,1850-01-16,2000-12-16,1812,0.448,2020-02-28,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Amon,zg,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/zg/gn/,1850-01-16,2000-12-16,1812,5.38,2019-11-03,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Omon/tos/gn/,1850-01-16,2000-12-16,1812,4.63,2019-10-27,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,Omon,zos,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Omon/zos/gn/,1850-01-16,1860-12-16,132,0.502,2019-10-25,created,
CMIP,AWI,AWI-CM-1-1-MR,1pctCO2,r1i1p1f1,SImon,siarean,gn,gs://cmip6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/SImon/siarean/gn/,1850-01-16,2000-12-16,1812,0.165,2019-10-26,created,
