activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,clt,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/clt/gr/,1979-01-16,2014-12-16,432,0.0682,2019-11-07,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,clwvi,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/clwvi/gr/,1979-01-16,2014-12-16,432,0.0727,2020-03-03,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,evspsbl,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/evspsbl/gr/,1979-01-16,2014-12-16,432,0.0723,2019-11-02,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,hfls,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/hfls/gr/,1979-01-16,2014-12-16,432,0.0727,2019-11-07,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,hfss,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/hfss/gr/,1979-01-16,2014-12-16,432,0.073,2019-11-07,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,hurs,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/hurs/gr/,1979-01-16,2014-12-16,432,0.0648,2019-11-02,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,hus,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/hus/gr/,1979-01-16,2014-12-16,432,1.09,2019-11-07,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,huss,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/huss/gr/,1979-01-16,2014-12-16,432,0.067,2019-11-02,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,pr,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/pr/gr/,1979-01-16,2014-12-16,432,0.074,2019-10-25,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,prsn,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/prsn/gr/,1979-01-16,2014-12-16,432,0.0784,2019-11-06,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,ps,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/ps/gr/,1979-01-16,2014-12-16,432,0.0549,2019-11-02,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,psl,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/psl/gr/,1979-01-16,2014-12-16,432,0.0494,2019-11-07,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,rlds,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/rlds/gr/,1979-01-16,2014-12-16,432,0.0627,2019-11-07,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,rlus,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/rlus/gr/,1979-01-16,2014-12-16,432,0.0614,2019-11-07,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,rlut,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/rlut/gr/,1979-01-16,2014-12-16,432,0.0619,2019-11-07,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,rlutcs,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/rlutcs/gr/,1979-01-16,2014-12-16,432,0.0588,2019-11-07,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,rsds,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/rsds/gr/,1979-01-16,2014-12-16,432,0.0668,2019-11-07,created,
CMIP,CAS,FGOALS-f3-L,amip,r1i1p1f1,Amon,rsdt,gr,gs://cmip6/CMIP/CAS/FGOALS-f3-L/amip/r1i1p1f1/Amon/rsdt/gr/,1979-01-16,2014-12-16,432,0.0286,2019-11-07,created,
