activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,1pctCO2,r1i1p1f2,Ofx,areacello,gn,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/1pctCO2/r1i1p1f2/Ofx/areacello/gn/,NA,NA,NA,0.0174,2019-12-12,created,
CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,1pctCO2,r1i1p1f2,Omon,bigthetao,gn,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/1pctCO2/r1i1p1f2/Omon/bigthetao/gn/,1850-01-16,1999-12-16,1800,290,2019-12-12,created,
CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,1pctCO2,r1i1p1f2,Omon,tos,gn,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/1pctCO2/r1i1p1f2/Omon/tos/gn/,1850-01-16,1999-12-16,1800,4.95,2019-12-11,created,
CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,1pctCO2,r1i1p1f2,Omon,zos,gn,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/1pctCO2/r1i1p1f2/Omon/zos/gn/,1850-01-16,1999-12-16,1800,5.18,2020-02-18,created,
CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,1pctCO2,r1i1p1f2,day,pr,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/1pctCO2/r1i1p1f2/day/pr/gr/,1850-01-01,1999-12-31,54786,48.5,2020-02-06,created,
CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,abrupt-4xCO2,r1i1p1f2,Amon,clt,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/clt/gr/,1850-01-16,1999-12-16,1800,1.33,2019-12-17,created,
CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,abrupt-4xCO2,r1i1p1f2,Amon,clwvi,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/clwvi/gr/,1850-01-16,1999-12-16,1800,1.41,2020-03-03,created,
CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,abrupt-4xCO2,r1i1p1f2,Amon,evspsbl,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/evspsbl/gr/,1850-01-16,1999-12-16,1800,1.43,2019-11-27,created,
CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,abrupt-4xCO2,r1i1p1f2,Amon,hfls,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/hfls/gr/,1850-01-16,1999-12-16,1800,1.44,2019-12-17,created,
CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,abrupt-4xCO2,r1i1p1f2,Amon,hfss,gr,gs://cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/abrupt-4xCO2/r1i1p1f2/Amon/hfss/gr/,1850-01-16,1999-12-16,1800,1.46,2019-12-17,created,
