activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,hus,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/hus/gn/,0950-01-16,1099-12-16,1800,2.57,2020-02-01,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,huss,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/huss/gn/,0950-01-16,1099-12-16,1800,0.153,2020-02-06,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,pr,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/pr/gn/,0950-01-16,1099-12-16,1800,0.169,2020-01-26,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,psl,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/psl/gn/,0950-01-16,1099-12-16,1800,0.112,2020-01-26,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,rlds,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/rlds/gn/,0950-01-16,1099-12-16,1800,0.144,2020-02-06,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,rlus,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/rlus/gn/,0950-01-16,1099-12-16,1800,0.142,2020-02-06,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/rlut/gn/,0950-01-16,1099-12-16,1800,0.143,2020-01-26,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/rsdt/gn/,0950-01-16,1099-12-16,1800,0.0038,2020-01-26,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/rsut/gn/,0950-01-16,1099-12-16,1800,0.143,2020-01-26,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,ta,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/ta/gn/,0950-01-16,1099-12-16,1800,2.12,2020-02-01,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/tas/gn/,0950-01-16,1099-12-16,1800,0.123,2020-01-26,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,ts,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/ts/gn/,0950-01-16,1099-12-16,1800,0.124,2020-02-06,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,ua,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/ua/gn/,0950-01-16,1099-12-16,1800,2.2,2020-02-01,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,uas,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/uas/gn/,0950-01-16,1099-12-16,1800,0.114,2020-01-26,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,va,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/va/gn/,0950-01-16,1099-12-16,1800,2.21,2020-02-01,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Amon,vas,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Amon/vas/gn/,0950-01-16,1099-12-16,1800,0.117,2020-01-26,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.000578,2020-02-06,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Omon/tos/gn/,0950-01-16,1099-12-16,1800,0.42,2020-02-04,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Omon,vmo,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Omon/vmo/gn/,0950-01-16,1099-12-16,1800,19.6,2020-02-22,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,Omon,zos,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/Omon/zos/gn/,0950-01-16,1099-12-16,1800,0.444,2020-02-18,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,SImon,siarean,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/SImon/siarean/gn/,0950-01-16,1099-12-16,1800,2.54e-05,2020-02-06,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,SImon,siareas,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/SImon/siareas/gn/,0950-01-16,1099-12-16,1800,2.54e-05,2020-02-06,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,SImon,siconc,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/SImon/siconc/gn/,0950-01-16,1099-12-16,1800,0.164,2020-01-26,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,SImon,siconca,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/SImon/siconca/gn/,0950-01-16,1099-12-16,1800,0.0413,2020-02-06,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,SImon,sisnconc,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/SImon/sisnconc/gn/,0950-01-16,1099-12-16,1800,0.075,2020-02-03,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,SImon,sisnthick,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/SImon/sisnthick/gn/,0950-01-16,1099-12-16,1800,0.0943,2020-02-03,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,SImon,sithick,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/SImon/sithick/gn/,0950-01-16,1099-12-16,1800,0.0939,2020-02-03,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,SImon,sivol,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/SImon/sivol/gn/,0950-01-16,1099-12-16,1800,0.168,2020-02-06,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,SImon,sivoln,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/SImon/sivoln/gn/,0950-01-16,1099-12-16,1800,2.55e-05,2020-02-06,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,1pctCO2,r1i1p1f1,SImon,sivols,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/1pctCO2/r1i1p1f1/SImon/sivols/gn/,0950-01-16,1099-12-16,1800,2.55e-05,2020-02-06,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,abrupt-4xCO2,r1i1p1f1,Amon,hfls,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/hfls/gn/,0950-01-16,1099-12-16,1800,0.157,2020-01-27,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,abrupt-4xCO2,r1i1p1f1,Amon,huss,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/huss/gn/,0950-01-16,1099-12-16,1800,0.152,2020-02-06,created,
CMIP,CSIRO-ARCCSS,ACCESS-CM2,abrupt-4xCO2,r1i1p1f1,Amon,pr,gn,gs://cmip6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/abrupt-4xCO2/r1i1p1f1/Amon/pr/gn/,0950-01-16,1099-12-16,1800,0.169,2020-01-26,created,
