activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,E3SM-Project,E3SM-1-0,1pctCO2,r1i1p1f1,Amon,clt,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/1pctCO2/r1i1p1f1/Amon/clt/gr/,0001-01-16,0150-12-16,1800,0.345,2019-11-03,created,
CMIP,E3SM-Project,E3SM-1-0,1pctCO2,r1i1p1f1,Amon,clwvi,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/1pctCO2/r1i1p1f1/Amon/clwvi/gr/,0001-01-16,0150-12-16,1800,0.368,2020-03-03,created,
CMIP,E3SM-Project,E3SM-1-0,1pctCO2,r1i1p1f1,Amon,evspsbl,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/1pctCO2/r1i1p1f1/Amon/evspsbl/gr/,0001-01-16,0150-12-16,1800,0.371,2019-11-03,created,
CMIP,E3SM-Project,E3SM-1-0,1pctCO2,r1i1p1f1,Amon,hfls,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/1pctCO2/r1i1p1f1/Amon/hfls/gr/,0001-01-16,0150-12-16,1800,0.374,2019-11-03,created,
CMIP,E3SM-Project,E3SM-1-0,1pctCO2,r1i1p1f1,Amon,hfss,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/1pctCO2/r1i1p1f1/Amon/hfss/gr/,0001-01-16,0150-12-16,1800,0.382,2019-11-03,created,
CMIP,E3SM-Project,E3SM-1-0,1pctCO2,r1i1p1f1,Amon,hus,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/1pctCO2/r1i1p1f1/Amon/hus/gr/,0001-01-16,0150-12-16,1800,5.68,2019-10-25,created,
CMIP,E3SM-Project,E3SM-1-0,1pctCO2,r1i1p1f1,Amon,huss,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/1pctCO2/r1i1p1f1/Amon/huss/gr/,0001-01-16,0150-12-16,1800,0.345,2019-10-25,created,
CMIP,E3SM-Project,E3SM-1-0,1pctCO2,r1i1p1f1,Amon,o3,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/1pctCO2/r1i1p1f1/Amon/o3/gr/,0001-01-16,0150-12-16,1800,5.69,2019-11-03,created,
CMIP,E3SM-Project,E3SM-1-0,1pctCO2,r1i1p1f1,Amon,pr,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/1pctCO2/r1i1p1f1/Amon/pr/gr/,0001-01-16,0150-12-16,1800,0.377,2019-10-25,created,
CMIP,E3SM-Project,E3SM-1-0,1pctCO2,r1i1p1f1,Amon,prsn,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/1pctCO2/r1i1p1f1/Amon/prsn/gr/,0001-01-16,0150-12-16,1800,0.389,2019-11-03,created,
CMIP,E3SM-Project,E3SM-1-0,1pctCO2,r1i1p1f1,Amon,prw,gr,gs://cmip6/CMIP/E3SM-Project/E3SM-1-0/1pctCO2/r1i1p1f1/Amon/prw/gr/,0001-01-16,0150-12-16,1800,0.35,2019-11-03,created,
