activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,FIO-QLNM,FIO-ESM-2-0,amip,r1i1p1f1,Amon,pr,gn,gs://cmip6/CMIP/FIO-QLNM/FIO-ESM-2-0/amip/r1i1p1f1/Amon/pr/gn/,1979-01-16,2014-12-16,432,0.0784,2020-03-03,created,
CMIP,FIO-QLNM,FIO-ESM-2-0,amip,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/FIO-QLNM/FIO-ESM-2-0/amip/r1i1p1f1/Amon/tas/gn/,1979-01-16,2014-12-16,432,0.0576,2020-03-03,created,
CMIP,FIO-QLNM,FIO-ESM-2-0,historical,r1i1p1f1,Amon,hfls,gn,gs://cmip6/CMIP/FIO-QLNM/FIO-ESM-2-0/historical/r1i1p1f1/Amon/hfls/gn/,1850-01-16,2014-12-16,1980,0.357,2020-01-19,created,
CMIP,FIO-QLNM,FIO-ESM-2-0,historical,r1i1p1f1,Amon,hus,gn,gs://cmip6/CMIP/FIO-QLNM/FIO-ESM-2-0/historical/r1i1p1f1/Amon/hus/gn/,1850-01-16,2014-12-16,1980,5.49,2020-02-01,created,
CMIP,FIO-QLNM,FIO-ESM-2-0,historical,r1i1p1f1,Amon,pr,gn,gs://cmip6/CMIP/FIO-QLNM/FIO-ESM-2-0/historical/r1i1p1f1/Amon/pr/gn/,1850-01-16,2014-12-16,1980,0.359,2020-01-18,created,
CMIP,FIO-QLNM,FIO-ESM-2-0,historical,r1i1p1f1,Amon,psl,gn,gs://cmip6/CMIP/FIO-QLNM/FIO-ESM-2-0/historical/r1i1p1f1/Amon/psl/gn/,1850-01-16,2014-12-16,1980,0.24,2020-01-18,created,
CMIP,FIO-QLNM,FIO-ESM-2-0,historical,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/FIO-QLNM/FIO-ESM-2-0/historical/r1i1p1f1/Amon/rlut/gn/,1850-01-16,2014-12-16,1980,0.307,2020-01-18,created,
CMIP,FIO-QLNM,FIO-ESM-2-0,historical,r1i1p1f1,Amon,ta,gn,gs://cmip6/CMIP/FIO-QLNM/FIO-ESM-2-0/historical/r1i1p1f1/Amon/ta/gn/,1850-01-16,2014-12-16,1980,4.62,2020-02-01,created,
CMIP,FIO-QLNM,FIO-ESM-2-0,historical,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/FIO-QLNM/FIO-ESM-2-0/historical/r1i1p1f1/Amon/tas/gn/,1850-01-16,2014-12-16,1980,0.264,2020-01-15,created,
CMIP,FIO-QLNM,FIO-ESM-2-0,historical,r1i1p1f1,Amon,ua,gn,gs://cmip6/CMIP/FIO-QLNM/FIO-ESM-2-0/historical/r1i1p1f1/Amon/ua/gn/,1850-01-16,2014-12-16,1980,6.31,2020-01-19,created,
