activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Amon,clwvi,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Amon/clwvi/gr1/,1850-01-16,1999-12-16,1800,0.124,2020-03-03,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Amon,hus,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Amon/hus/gr1/,1850-01-16,1999-12-16,1800,1.94,2020-02-11,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Amon,huss,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Amon/huss/gr1/,1850-01-16,1999-12-16,1800,0.12,2020-02-06,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Amon,pr,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Amon/pr/gr1/,1850-01-16,1999-12-16,1800,0.131,2020-02-11,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Amon,rlut,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Amon/rlut/gr1/,1850-01-16,1999-12-16,1800,0.113,2020-02-11,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Amon,rsdt,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Amon/rsdt/gr1/,1850-01-16,1999-12-16,1800,0.09,2020-02-11,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Amon,rsut,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Amon/rsut/gr1/,1850-01-16,1999-12-16,1800,0.113,2020-02-11,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Amon,ta,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Amon/ta/gr1/,1850-01-16,1999-12-16,1800,1.53,2020-02-06,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Amon,tas,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Amon/tas/gr1/,1850-01-16,1999-12-16,1800,0.0975,2020-03-03,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Amon,ts,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Amon/ts/gr1/,1850-01-16,1999-12-16,1800,0.0989,2020-02-06,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Amon,ua,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Amon/ua/gr1/,1850-01-16,1999-12-16,1800,2.05,2020-02-11,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Amon,uas,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Amon/uas/gr1/,1850-01-16,1999-12-16,1800,0.131,2020-02-11,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Amon,va,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Amon/va/gr1/,1850-01-16,1999-12-16,1800,2.2,2020-02-11,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Amon,vas,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Amon/vas/gr1/,1850-01-16,1999-12-16,1800,0.135,2020-02-11,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Omon,tos,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Omon/tos/gr1/,1850-01-16,1999-12-16,1800,0.262,2020-02-18,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,Omon,zos,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/Omon/zos/gr1/,1850-01-16,1999-12-16,1800,0.272,2020-02-18,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,SImon,siarean,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/SImon/siarean/gr1/,1850-01-16,1999-12-16,1800,2.33e-05,2020-02-11,created,
CMIP,INM,INM-CM4-8,1pctCO2,r1i1p1f1,SImon,siareas,gr1,gs://cmip6/CMIP/INM/INM-CM4-8/1pctCO2/r1i1p1f1/SImon/siareas/gr1/,1850-01-16,1999-12-16,1800,2.39e-05,2020-02-06,created,
