activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,MIROC,MIROC-ES2L,1pctCO2,r1i1p1f2,Amon,clt,gn,gs://cmip6/CMIP/MIROC/MIROC-ES2L/1pctCO2/r1i1p1f2/Amon/clt/gn/,1850-01-16,1999-12-16,1800,0.0456,2019-11-03,created,
CMIP,MIROC,MIROC-ES2L,1pctCO2,r1i1p1f2,Amon,clwvi,gn,gs://cmip6/CMIP/MIROC/MIROC-ES2L/1pctCO2/r1i1p1f2/Amon/clwvi/gn/,1850-01-16,1999-12-16,1800,0.0487,2020-03-03,created,
CMIP,MIROC,MIROC-ES2L,1pctCO2,r1i1p1f2,Amon,evspsbl,gn,gs://cmip6/CMIP/MIROC/MIROC-ES2L/1pctCO2/r1i1p1f2/Amon/evspsbl/gn/,1850-01-16,1999-12-16,1800,0.0487,2019-11-03,created,
CMIP,MIROC,MIROC-ES2L,1pctCO2,r1i1p1f2,Amon,hfls,gn,gs://cmip6/CMIP/MIROC/MIROC-ES2L/1pctCO2/r1i1p1f2/Amon/hfls/gn/,1850-01-16,1999-12-16,1800,0.0494,2019-11-03,created,
CMIP,MIROC,MIROC-ES2L,1pctCO2,r1i1p1f2,Amon,hfss,gn,gs://cmip6/CMIP/MIROC/MIROC-ES2L/1pctCO2/r1i1p1f2/Amon/hfss/gn/,1850-01-16,1999-12-16,1800,0.0523,2019-11-03,created,
CMIP,MIROC,MIROC-ES2L,1pctCO2,r1i1p1f2,Amon,hurs,gn,gs://cmip6/CMIP/MIROC/MIROC-ES2L/1pctCO2/r1i1p1f2/Amon/hurs/gn/,1850-01-16,1999-12-16,1800,0.044,2019-11-03,created,
CMIP,MIROC,MIROC-ES2L,1pctCO2,r1i1p1f2,Amon,hus,gn,gs://cmip6/CMIP/MIROC/MIROC-ES2L/1pctCO2/r1i1p1f2/Amon/hus/gn/,1850-01-16,1999-12-16,1800,0.779,2019-10-25,created,
CMIP,MIROC,MIROC-ES2L,1pctCO2,r1i1p1f2,Amon,huss,gn,gs://cmip6/CMIP/MIROC/MIROC-ES2L/1pctCO2/r1i1p1f2/Amon/huss/gn/,1850-01-16,1999-12-16,1800,0.0457,2019-10-25,created,
CMIP,MIROC,MIROC-ES2L,1pctCO2,r1i1p1f2,Amon,pr,gn,gs://cmip6/CMIP/MIROC/MIROC-ES2L/1pctCO2/r1i1p1f2/Amon/pr/gn/,1850-01-16,1999-12-16,1800,0.0494,2019-10-25,created,
CMIP,MIROC,MIROC-ES2L,1pctCO2,r1i1p1f2,Amon,prsn,gn,gs://cmip6/CMIP/MIROC/MIROC-ES2L/1pctCO2/r1i1p1f2/Amon/prsn/gn/,1850-01-16,1999-12-16,1800,0.0197,2019-11-03,created,
CMIP,MIROC,MIROC-ES2L,1pctCO2,r1i1p1f2,Amon,prw,gn,gs://cmip6/CMIP/MIROC/MIROC-ES2L/1pctCO2/r1i1p1f2/Amon/prw/gn/,1850-01-16,1999-12-16,1800,0.0459,2019-11-03,created,
CMIP,MIROC,MIROC-ES2L,1pctCO2,r1i1p1f2,Amon,ps,gn,gs://cmip6/CMIP/MIROC/MIROC-ES2L/1pctCO2/r1i1p1f2/Amon/ps/gn/,1850-01-16,1999-12-16,1800,0.0377,2019-11-03,created,
