activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,clt,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/clt/gn/,1850-01-16,1999-12-16,1800,0.138,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,clwvi,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/clwvi/gn/,1850-01-16,1999-12-16,1800,0.0766,2020-03-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,evspsbl,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/evspsbl/gn/,1850-01-16,1999-12-16,1800,0.163,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,hfls,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/hfls/gn/,1850-01-16,1999-12-16,1800,0.156,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,hfss,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/hfss/gn/,1850-01-16,1999-12-16,1800,0.155,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,hurs,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/hurs/gn/,1850-01-16,1999-12-16,1800,0.0961,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,hus,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/hus/gn/,1850-01-16,1999-12-16,1800,2.59,2019-10-25,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,huss,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/huss/gn/,1850-01-16,1999-12-16,1800,0.153,2019-10-25,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,pr,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/pr/gn/,1850-01-16,1999-12-16,1800,0.169,2019-10-25,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,prsn,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/prsn/gn/,1850-01-16,1999-12-16,1800,0.0835,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,prw,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/prw/gn/,1850-01-16,1999-12-16,1800,0.154,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,ps,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/ps/gn/,1850-01-16,1999-12-16,1800,0.125,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,psl,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/psl/gn/,1850-01-16,1999-12-16,1800,0.112,2019-10-25,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,rlds,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/rlds/gn/,1850-01-16,1999-12-16,1800,0.144,2019-10-25,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,rlus,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/rlus/gn/,1850-01-16,1999-12-16,1800,0.142,2019-10-25,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,rlut,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/rlut/gn/,1850-01-16,1999-12-16,1800,0.144,2019-10-25,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,rlutcs,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/rlutcs/gn/,1850-01-16,1999-12-16,1800,0.136,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,rsds,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/rsds/gn/,1850-01-16,1999-12-16,1800,0.143,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,rsdt,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/rsdt/gn/,1850-01-16,1999-12-16,1800,0.00379,2019-10-25,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,rsus,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/rsus/gn/,1850-01-16,1999-12-16,1800,0.149,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,rsut,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/rsut/gn/,1850-01-16,1999-12-16,1800,0.144,2019-10-25,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,rsutcs,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/rsutcs/gn/,1850-01-16,1999-12-16,1800,0.136,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,ta,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/ta/gn/,1850-01-16,1999-12-16,1800,2.14,2019-10-25,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,tas,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/tas/gn/,1850-01-16,1999-12-16,1800,0.123,2019-10-25,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,tasmax,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/tasmax/gn/,1850-01-16,1999-12-16,1800,0.124,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,tasmin,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/tasmin/gn/,1850-01-16,1999-12-16,1800,0.125,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,tauu,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/tauu/gn/,1850-01-16,1999-12-16,1800,0.105,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,tauv,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/tauv/gn/,1850-01-16,1999-12-16,1800,0.105,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,ts,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/ts/gn/,1850-01-16,1999-12-16,1800,0.124,2019-10-25,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,ua,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/ua/gn/,1850-01-16,1999-12-16,1800,2.21,2019-10-25,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,uas,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/uas/gn/,1850-01-16,1999-12-16,1800,0.115,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,va,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/va/gn/,1850-01-16,1999-12-16,1800,2.23,2019-10-25,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,vas,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/vas/gn/,1850-01-16,1999-12-16,1800,0.117,2019-11-03,created,
CMIP,MOHC,HadGEM3-GC31-LL,1pctCO2,r1i1p1f3,Amon,zg,gn,gs://cmip6/CMIP/MOHC/HadGEM3-GC31-LL/1pctCO2/r1i1p1f3/Amon/zg/gn/,1850-01-16,1999-12-16,1800,2.03,2019-11-03,created,
