activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Amon,clwvi,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/clwvi/gn/,1850-01-16,2014-12-16,1980,0.315,2020-03-03,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Amon,hus,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/hus/gn/,1850-01-16,2014-12-16,1980,5.42,2020-02-10,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Amon,huss,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/huss/gn/,1850-01-16,2014-12-16,1980,0.304,2020-02-10,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Amon,pr,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/pr/gn/,1850-01-16,2014-12-16,1980,0.471,2020-03-03,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Amon,rlds,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/rlds/gn/,1850-01-16,2014-12-16,1980,0.343,2020-02-10,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Amon,rlus,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/rlus/gn/,1850-01-16,2014-12-16,1980,0.263,2020-02-10,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/rsdt/gn/,1850-01-16,2014-12-16,1980,0.0739,2020-02-10,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Amon,ta,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/ta/gn/,1850-01-16,2014-12-16,1980,5.36,2020-02-06,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/tas/gn/,1850-01-16,2014-12-16,1980,0.302,2020-03-03,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Amon,ts,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/ts/gn/,1850-01-16,2014-12-16,1980,0.306,2020-02-06,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Amon,uas,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/uas/gn/,1850-01-16,2014-12-16,1980,0.384,2020-01-18,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Amon,va,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/va/gn/,1850-01-16,2014-12-16,1980,7.08,2020-02-10,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Amon,vas,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Amon/vas/gn/,1850-01-16,2014-12-16,1980,0.406,2020-02-10,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.0111,2019-12-12,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Omon,chl,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Omon/chl/gn/,1850-01-16,2014-12-16,1980,39.1,2020-02-18,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Omon,chldiazos,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Omon/chldiazos/gn/,1850-01-16,2014-12-16,1980,1.46,2020-02-18,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Omon,chlos,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Omon/chlos/gn/,1850-01-16,2014-12-16,1980,1.4,2020-02-18,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Omon,dissoc,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Omon/dissoc/gn/,1850-01-16,2014-12-16,1980,48,2020-02-18,created,
CMIP,MPI-M,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,Omon,dissocos,gn,gs://cmip6/CMIP/MPI-M/MPI-ESM1-2-HR/1pctCO2/r1i1p1f1/Omon/dissocos/gn/,1850-01-16,2014-12-16,1980,1.38,2020-02-18,created,
