activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,MRI,MRI-ESM2-0,1pctCO2,r1i1p1f1,Amon,ch4,gn,gs://cmip6/CMIP/MRI/MRI-ESM2-0/1pctCO2/r1i1p1f1/Amon/ch4/gn/,1850-01-16,2000-12-16,1812,0.641,2019-11-03,created,
CMIP,MRI,MRI-ESM2-0,1pctCO2,r1i1p1f1,Amon,clt,gn,gs://cmip6/CMIP/MRI/MRI-ESM2-0/1pctCO2/r1i1p1f1/Amon/clt/gn/,1850-01-16,2000-12-16,1812,0.283,2019-11-03,created,
CMIP,MRI,MRI-ESM2-0,1pctCO2,r1i1p1f1,Amon,clwvi,gn,gs://cmip6/CMIP/MRI/MRI-ESM2-0/1pctCO2/r1i1p1f1/Amon/clwvi/gn/,1850-01-16,2000-12-16,1812,0.298,2020-03-03,created,
CMIP,MRI,MRI-ESM2-0,1pctCO2,r1i1p1f1,Amon,co2,gn,gs://cmip6/CMIP/MRI/MRI-ESM2-0/1pctCO2/r1i1p1f1/Amon/co2/gn/,1850-01-16,2000-12-16,1812,0.375,2019-11-03,created,
CMIP,MRI,MRI-ESM2-0,1pctCO2,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/CMIP/MRI/MRI-ESM2-0/1pctCO2/r1i1p1f1/Amon/evspsbl/gn/,1850-01-16,2000-12-16,1812,0.299,2019-11-02,created,
CMIP,MRI,MRI-ESM2-0,1pctCO2,r1i1p1f1,Amon,hfls,gn,gs://cmip6/CMIP/MRI/MRI-ESM2-0/1pctCO2/r1i1p1f1/Amon/hfls/gn/,1850-01-16,2000-12-16,1812,0.302,2019-11-03,created,
CMIP,MRI,MRI-ESM2-0,1pctCO2,r1i1p1f1,Amon,hfss,gn,gs://cmip6/CMIP/MRI/MRI-ESM2-0/1pctCO2/r1i1p1f1/Amon/hfss/gn/,1850-01-16,2000-12-16,1812,0.306,2019-11-03,created,
CMIP,MRI,MRI-ESM2-0,1pctCO2,r1i1p1f1,Amon,hurs,gn,gs://cmip6/CMIP/MRI/MRI-ESM2-0/1pctCO2/r1i1p1f1/Amon/hurs/gn/,1850-01-16,2000-12-16,1812,0.262,2019-11-02,created,
CMIP,MRI,MRI-ESM2-0,1pctCO2,r1i1p1f1,Amon,hus,gn,gs://cmip6/CMIP/MRI/MRI-ESM2-0/1pctCO2/r1i1p1f1/Amon/hus/gn/,1850-01-16,2000-12-16,1812,4.53,2019-10-25,created,
CMIP,MRI,MRI-ESM2-0,1pctCO2,r1i1p1f1,Amon,huss,gn,gs://cmip6/CMIP/MRI/MRI-ESM2-0/1pctCO2/r1i1p1f1/Amon/huss/gn/,1850-01-16,2000-12-16,1812,0.277,2019-10-25,created,
