activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,AERmon,cltc,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/AERmon/cltc/gn/,1850-01-15,2014-12-15,1980,0.0745,2020-01-23,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,clivi,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/clivi/gn/,1850-01-15,2014-12-15,1980,0.0918,2020-01-22,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,clwvi,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/clwvi/gn/,1850-01-15,2014-12-15,1980,0.0906,2020-01-22,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/evspsbl/gn/,1850-01-15,2014-12-15,1980,0.0903,2019-11-27,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,hfls,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/hfls/gn/,1850-01-15,2014-12-15,1980,0.0908,2020-01-19,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,hurs,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/hurs/gn/,1850-01-15,2014-12-15,1980,0.0795,2019-11-27,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,hus,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/hus/gn/,1850-01-15,2014-12-15,1980,1.37,2019-12-14,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,huss,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/huss/gn/,1850-01-15,2014-12-15,1980,0.0844,2019-11-27,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,pr,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/pr/gn/,1850-01-15,2014-12-15,1980,0.0916,2019-11-27,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,prsn,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/prsn/gn/,1850-01-15,2014-12-15,1980,0.0409,2020-02-05,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,ps,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/ps/gn/,1850-01-15,2014-12-15,1980,0.0686,2019-11-27,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,psl,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/psl/gn/,1850-01-15,2014-12-15,1980,0.0626,2019-11-27,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,rlds,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/rlds/gn/,1850-01-15,2014-12-15,1980,0.0802,2020-01-19,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,rlus,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/rlus/gn/,1850-01-15,2014-12-15,1980,0.0781,2020-02-05,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/rlut/gn/,1850-01-15,2014-12-15,1980,0.0794,2020-01-18,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/rlutcs/gn/,1850-01-15,2014-12-15,1980,0.0756,2020-01-23,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/rsdt/gn/,1850-01-15,2014-12-15,1980,0.0551,2020-01-18,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/rsut/gn/,1850-01-15,2014-12-15,1980,0.0794,2020-01-18,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/rsutcs/gn/,1850-01-15,2014-12-15,1980,0.0771,2020-01-23,created,
CMIP,NCAR,CESM2-FV2,historical,r1i1p1f1,Amon,ta,gn,gs://cmip6/CMIP/NCAR/CESM2-FV2/historical/r1i1p1f1/Amon/ta/gn/,1850-01-15,2014-12-15,1980,1.16,2019-12-12,created,
