activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,NIMS-KMA,KACE-1-0-G,1pctCO2,r1i1p1f1,Amon,clwvi,gr,gs://cmip6/CMIP/NIMS-KMA/KACE-1-0-G/1pctCO2/r1i1p1f1/Amon/clwvi/gr/,1850-01-16,2000-12-16,1812,0.0769,2020-03-03,created,
CMIP,NIMS-KMA,KACE-1-0-G,1pctCO2,r1i1p1f1,Amon,hus,gr,gs://cmip6/CMIP/NIMS-KMA/KACE-1-0-G/1pctCO2/r1i1p1f1/Amon/hus/gr/,1850-01-16,2000-12-16,1812,2.6,2020-02-29,created,
CMIP,NIMS-KMA,KACE-1-0-G,1pctCO2,r1i1p1f1,Amon,huss,gr,gs://cmip6/CMIP/NIMS-KMA/KACE-1-0-G/1pctCO2/r1i1p1f1/Amon/huss/gr/,1850-01-16,2000-12-16,1812,0.154,2020-02-29,created,
CMIP,NIMS-KMA,KACE-1-0-G,1pctCO2,r1i1p1f1,Amon,pr,gr,gs://cmip6/CMIP/NIMS-KMA/KACE-1-0-G/1pctCO2/r1i1p1f1/Amon/pr/gr/,1850-01-16,2000-12-16,1812,0.17,2020-02-29,created,
CMIP,NIMS-KMA,KACE-1-0-G,1pctCO2,r1i1p1f1,Amon,psl,gr,gs://cmip6/CMIP/NIMS-KMA/KACE-1-0-G/1pctCO2/r1i1p1f1/Amon/psl/gr/,1850-01-16,2000-12-16,1812,0.113,2020-02-29,created,
CMIP,NIMS-KMA,KACE-1-0-G,1pctCO2,r1i1p1f1,Amon,rlds,gr,gs://cmip6/CMIP/NIMS-KMA/KACE-1-0-G/1pctCO2/r1i1p1f1/Amon/rlds/gr/,1850-01-16,2000-12-16,1812,0.145,2020-02-29,created,
CMIP,NIMS-KMA,KACE-1-0-G,1pctCO2,r1i1p1f1,Amon,rlus,gr,gs://cmip6/CMIP/NIMS-KMA/KACE-1-0-G/1pctCO2/r1i1p1f1/Amon/rlus/gr/,1850-01-16,2000-12-16,1812,0.142,2020-02-29,created,
CMIP,NIMS-KMA,KACE-1-0-G,1pctCO2,r1i1p1f1,Amon,rlut,gr,gs://cmip6/CMIP/NIMS-KMA/KACE-1-0-G/1pctCO2/r1i1p1f1/Amon/rlut/gr/,1850-01-16,2000-12-16,1812,0.144,2020-02-29,created,
CMIP,NIMS-KMA,KACE-1-0-G,1pctCO2,r1i1p1f1,Amon,rsdt,gr,gs://cmip6/CMIP/NIMS-KMA/KACE-1-0-G/1pctCO2/r1i1p1f1/Amon/rsdt/gr/,1850-01-16,2000-12-16,1812,0.00382,2020-02-29,created,
CMIP,NIMS-KMA,KACE-1-0-G,1pctCO2,r1i1p1f1,Amon,rsut,gr,gs://cmip6/CMIP/NIMS-KMA/KACE-1-0-G/1pctCO2/r1i1p1f1/Amon/rsut/gr/,1850-01-16,2000-12-16,1812,0.145,2020-02-29,created,
CMIP,NIMS-KMA,KACE-1-0-G,1pctCO2,r1i1p1f1,Amon,ta,gr,gs://cmip6/CMIP/NIMS-KMA/KACE-1-0-G/1pctCO2/r1i1p1f1/Amon/ta/gr/,1850-01-16,2000-12-16,1812,2.15,2020-02-29,created,
CMIP,NIMS-KMA,KACE-1-0-G,1pctCO2,r1i1p1f1,Amon,tas,gr,gs://cmip6/CMIP/NIMS-KMA/KACE-1-0-G/1pctCO2/r1i1p1f1/Amon/tas/gr/,1850-01-16,2000-12-16,1812,0.124,2020-02-29,created,
