activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,NOAA-GFDL,GFDL-AM4,amip,r1i1p1f1,Amon,clt,gr1,gs://cmip6/CMIP/NOAA-GFDL/GFDL-AM4/amip/r1i1p1f1/Amon/clt/gr1/,1980-01-16,2014-12-16,420,0.0666,2019-11-07,created,
CMIP,NOAA-GFDL,GFDL-AM4,amip,r1i1p1f1,Amon,clwvi,gr1,gs://cmip6/CMIP/NOAA-GFDL/GFDL-AM4/amip/r1i1p1f1/Amon/clwvi/gr1/,1980-01-16,2014-12-16,420,0.0706,2020-03-03,created,
CMIP,NOAA-GFDL,GFDL-AM4,amip,r1i1p1f1,Amon,evspsbl,gr1,gs://cmip6/CMIP/NOAA-GFDL/GFDL-AM4/amip/r1i1p1f1/Amon/evspsbl/gr1/,1980-01-16,2014-12-16,420,0.0707,2019-11-02,created,
CMIP,NOAA-GFDL,GFDL-AM4,amip,r1i1p1f1,Amon,hfls,gr1,gs://cmip6/CMIP/NOAA-GFDL/GFDL-AM4/amip/r1i1p1f1/Amon/hfls/gr1/,1980-01-16,2014-12-16,420,0.0711,2019-11-07,created,
CMIP,NOAA-GFDL,GFDL-AM4,amip,r1i1p1f1,Amon,hfss,gr1,gs://cmip6/CMIP/NOAA-GFDL/GFDL-AM4/amip/r1i1p1f1/Amon/hfss/gr1/,1980-01-16,2014-12-16,420,0.072,2019-11-07,created,
CMIP,NOAA-GFDL,GFDL-AM4,amip,r1i1p1f1,Amon,hurs,gr1,gs://cmip6/CMIP/NOAA-GFDL/GFDL-AM4/amip/r1i1p1f1/Amon/hurs/gr1/,1980-01-16,2014-12-16,420,0.0611,2019-11-02,created,
CMIP,NOAA-GFDL,GFDL-AM4,amip,r1i1p1f1,Amon,hus,gr1,gs://cmip6/CMIP/NOAA-GFDL/GFDL-AM4/amip/r1i1p1f1/Amon/hus/gr1/,1980-01-16,2014-12-16,420,1.07,2019-11-07,created,
CMIP,NOAA-GFDL,GFDL-AM4,amip,r1i1p1f1,Amon,huss,gr1,gs://cmip6/CMIP/NOAA-GFDL/GFDL-AM4/amip/r1i1p1f1/Amon/huss/gr1/,1980-01-16,2014-12-16,420,0.0655,2019-11-02,created,
CMIP,NOAA-GFDL,GFDL-AM4,amip,r1i1p1f1,Amon,o3,gr1,gs://cmip6/CMIP/NOAA-GFDL/GFDL-AM4/amip/r1i1p1f1/Amon/o3/gr1/,1980-01-16,2014-12-16,420,1.07,2019-11-07,created,
CMIP,NOAA-GFDL,GFDL-AM4,amip,r1i1p1f1,Amon,pr,gr1,gs://cmip6/CMIP/NOAA-GFDL/GFDL-AM4/amip/r1i1p1f1/Amon/pr/gr1/,1980-01-16,2014-12-16,420,0.0715,2019-09-11,created,
