activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,clt,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/clt/gn/,1850-01-16,1999-12-16,1800,0.103,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,clwvi,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/clwvi/gn/,1850-01-16,1999-12-16,1800,0.109,2020-03-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/evspsbl/gn/,1850-01-16,1999-12-16,1800,0.109,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,hfls,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/hfls/gn/,1850-01-16,1999-12-16,1800,0.111,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,hfss,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/hfss/gn/,1850-01-16,1999-12-16,1800,0.112,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,hus,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/hus/gn/,1850-01-16,1999-12-16,1800,1.71,2019-10-25,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,pr,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/pr/gn/,1850-01-16,1999-12-16,1800,0.112,2019-10-25,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,prsn,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/prsn/gn/,1850-01-16,1999-12-16,1800,0.0518,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,prw,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/prw/gn/,1850-01-16,1999-12-16,1800,0.102,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,ps,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/ps/gn/,1850-01-16,1999-12-16,1800,0.0893,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,psl,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/psl/gn/,1850-01-16,1999-12-16,1800,0.0751,2019-10-25,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,rlds,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/rlds/gn/,1850-01-16,1999-12-16,1800,0.0977,2019-10-25,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,rlus,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/rlus/gn/,1850-01-16,1999-12-16,1800,0.0949,2019-10-25,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/rlut/gn/,1850-01-16,1999-12-16,1800,0.0973,2019-10-25,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/rlutcs/gn/,1850-01-16,1999-12-16,1800,0.0902,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,rsds,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/rsds/gn/,1850-01-16,1999-12-16,1800,0.0971,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/rsdt/gn/,1850-01-16,1999-12-16,1800,0.0633,2019-10-25,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,rsus,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/rsus/gn/,1850-01-16,1999-12-16,1800,0.101,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,rsut,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/rsut/gn/,1850-01-16,1999-12-16,1800,0.0977,2019-10-25,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/rsutcs/gn/,1850-01-16,1999-12-16,1800,0.0922,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,ta,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/ta/gn/,1850-01-16,1999-12-16,1800,1.45,2019-10-25,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/tas/gn/,1850-01-16,1999-12-16,1800,0.0823,2019-10-25,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,tasmax,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/tasmax/gn/,1850-01-16,1999-12-16,1800,0.0828,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,tasmin,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/tasmin/gn/,1850-01-16,1999-12-16,1800,0.0828,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,tauu,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/tauu/gn/,1850-01-16,1999-12-16,1800,0.113,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,tauv,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/tauv/gn/,1850-01-16,1999-12-16,1800,0.116,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,ts,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/ts/gn/,1850-01-16,1999-12-16,1800,0.0827,2019-10-25,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,ua,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/ua/gn/,1850-01-16,1999-12-16,1800,1.98,2019-10-25,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,uas,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/uas/gn/,1850-01-16,1999-12-16,1800,0.112,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,va,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/va/gn/,1850-01-16,1999-12-16,1800,2.13,2019-10-25,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,vas,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/vas/gn/,1850-01-16,1999-12-16,1800,0.114,2019-11-03,created,
CMIP,NUIST,NESM3,1pctCO2,r1i1p1f1,Amon,zg,gn,gs://cmip6/CMIP/NUIST/NESM3/1pctCO2/r1i1p1f1/Amon/zg/gn/,1850-01-16,1999-12-16,1800,1.44,2019-11-03,created,
