activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,clt,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/clt/gn/,1850-01-16,1999-12-16,1800,0.3,2019-11-03,created,
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,clwvi,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/clwvi/gn/,1850-01-16,1999-12-16,1800,0.328,2020-03-03,created,
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/evspsbl/gn/,1850-01-16,1999-12-16,1800,0.322,2019-11-02,created,
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,hfls,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/hfls/gn/,1850-01-16,1999-12-16,1800,0.325,2019-11-03,created,
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,hfss,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/hfss/gn/,1850-01-16,1999-12-16,1800,0.329,2019-11-03,created,
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,hurs,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/hurs/gn/,1850-01-16,1999-12-16,1800,0.28,2019-11-02,created,
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,hus,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/hus/gn/,1850-01-16,1999-12-16,1800,4.88,2019-10-25,created,
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,huss,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/huss/gn/,1850-01-16,1999-12-16,1800,0.298,2019-10-25,created,
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,o3,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/o3/gn/,1850-01-16,1999-12-16,1800,4.67,2019-11-03,created,
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,pr,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/pr/gn/,1850-01-16,1999-12-16,1800,0.328,2019-10-25,created,
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,prsn,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/prsn/gn/,1850-01-16,1999-12-16,1800,0.18,2019-11-03,created,
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,prw,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/prw/gn/,1850-01-16,1999-12-16,1800,0.3,2019-11-02,created,
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,ps,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/ps/gn/,1850-01-16,1999-12-16,1800,0.242,2019-11-02,created,
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,psl,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/psl/gn/,1850-01-16,1999-12-16,1800,0.219,2019-10-25,created,
CMIP,SNU,SAM0-UNICON,1pctCO2,r1i1p1f1,Amon,rlds,gn,gs://cmip6/CMIP/SNU/SAM0-UNICON/1pctCO2/r1i1p1f1/Amon/rlds/gn/,1850-01-16,1999-12-16,1800,0.281,2019-10-25,created,
