activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/evspsbl/gn/,0001-01-17,0500-12-17,6000,0.155,2019-11-03,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,hfls,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/hfls/gn/,0001-01-17,0500-12-17,6000,0.157,2019-11-03,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,hfss,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/hfss/gn/,0001-01-17,0500-12-17,6000,0.16,2019-11-03,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,hurs,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/hurs/gn/,0001-01-17,0500-12-17,6000,0.14,2019-11-03,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,hus,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/hus/gn/,0001-01-17,0500-12-17,6000,2.26,2019-10-25,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,huss,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/huss/gn/,0001-01-17,0500-12-17,6000,0.145,2019-10-25,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,pr,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/pr/gn/,0001-01-17,0500-12-17,6000,0.16,2019-10-25,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,prsn,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/prsn/gn/,0001-01-17,0500-12-17,6000,0.0676,2019-11-03,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,ps,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/ps/gn/,0001-01-17,0500-12-17,6000,0.12,2019-11-03,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,psl,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/psl/gn/,0001-01-17,0500-12-17,6000,0.109,2019-10-25,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,rlut,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/rlut/gn/,0001-01-17,0500-12-17,6000,0.139,2019-10-25,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,ta,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/ta/gn/,0001-01-17,0500-12-17,6000,1.77,2019-10-25,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/tas/gn/,0001-01-17,0500-12-17,6000,0.118,2019-10-25,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,tauu,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/tauu/gn/,0001-01-17,0500-12-17,6000,0.159,2019-11-03,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,tauv,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/tauv/gn/,0001-01-17,0500-12-17,6000,0.163,2019-11-03,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,ts,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/ts/gn/,0001-01-17,0500-12-17,6000,0.12,2019-10-25,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,ua,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/ua/gn/,0001-01-17,0500-12-17,6000,2.34,2019-10-25,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,uas,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/uas/gn/,0001-01-17,0500-12-17,6000,0.156,2019-11-03,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,va,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/va/gn/,0001-01-17,0500-12-17,6000,2.51,2019-10-25,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,vas,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/vas/gn/,0001-01-17,0500-12-17,6000,0.161,2019-11-03,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Amon,zg,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Amon/zg/gn/,0001-01-17,0500-12-17,6000,1.76,2019-11-03,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Ofx/areacello/gn/,NA,NA,NA,2.36e-05,2019-10-27,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/Omon/tos/gn/,0001-01-17,0500-12-17,6000,0.212,2019-10-27,created,
CMIP,UA,MCM-UA-1-0,1pctCO2,r1i1p1f1,SImon,sithick,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/1pctCO2/r1i1p1f1/SImon/sithick/gn/,0001-01-17,0500-12-17,6000,0.0824,2019-10-26,created,
CMIP,UA,MCM-UA-1-0,abrupt-4xCO2,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/evspsbl/gn/,0001-01-17,0500-12-17,6000,0.155,2019-11-03,created,
CMIP,UA,MCM-UA-1-0,abrupt-4xCO2,r1i1p1f1,Amon,hfls,gn,gs://cmip6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/hfls/gn/,0001-01-17,0400-12-17,4800,0.126,2019-10-25,created,
