activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
DAMIP,CCCma,CanESM5,hist-CO2,r10i1p1f1,Ofx,areacello,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r10i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00125,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r10i1p1f1,Ofx,deptho,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r10i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.0014,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r10i1p1f1,Ofx,sftof,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r10i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.00121,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r10i1p1f1,fx,areacella,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r10i1p1f1/fx/areacella/gn/,NA,NA,NA,1.61e-05,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r1i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00125,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r1i1p1f1,Ofx,deptho,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r1i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.0014,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r1i1p1f1,Ofx,sftof,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r1i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.00121,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r1i1p1f1,fx,areacella,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r1i1p1f1/fx/areacella/gn/,NA,NA,NA,1.61e-05,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r2i1p1f1,Ofx,areacello,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r2i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00125,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r2i1p1f1,Ofx,deptho,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r2i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.0014,2019-11-04,created,
DAMIP,CCCma,CanESM5,hist-CO2,r2i1p1f1,Ofx,sftof,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r2i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.00121,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r2i1p1f1,fx,areacella,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r2i1p1f1/fx/areacella/gn/,NA,NA,NA,1.61e-05,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r3i1p1f1,Ofx,areacello,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r3i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00125,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r3i1p1f1,Ofx,deptho,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r3i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.0014,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r3i1p1f1,Ofx,sftof,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r3i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.00121,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r3i1p1f1,fx,areacella,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r3i1p1f1/fx/areacella/gn/,NA,NA,NA,1.61e-05,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r4i1p1f1,Ofx,areacello,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r4i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00125,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r4i1p1f1,Ofx,deptho,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r4i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.0014,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r4i1p1f1,Ofx,sftof,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r4i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.00121,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r4i1p1f1,fx,areacella,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r4i1p1f1/fx/areacella/gn/,NA,NA,NA,1.61e-05,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r5i1p1f1,Ofx,areacello,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r5i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00125,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r5i1p1f1,Ofx,deptho,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r5i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.0014,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r5i1p1f1,Ofx,sftof,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r5i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.00121,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r5i1p1f1,fx,areacella,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r5i1p1f1/fx/areacella/gn/,NA,NA,NA,1.61e-05,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r6i1p1f1,Ofx,areacello,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r6i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00125,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r6i1p1f1,Ofx,deptho,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r6i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.0014,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r6i1p1f1,Ofx,sftof,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r6i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.00121,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r6i1p1f1,fx,areacella,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r6i1p1f1/fx/areacella/gn/,NA,NA,NA,1.61e-05,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r7i1p1f1,Ofx,areacello,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r7i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00125,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r7i1p1f1,Ofx,deptho,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r7i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.0014,2019-11-04,created,
DAMIP,CCCma,CanESM5,hist-CO2,r7i1p1f1,Ofx,sftof,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r7i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.00121,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r7i1p1f1,fx,areacella,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r7i1p1f1/fx/areacella/gn/,NA,NA,NA,1.61e-05,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r8i1p1f1,Ofx,areacello,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r8i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00125,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r8i1p1f1,Ofx,deptho,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r8i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.0014,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r8i1p1f1,Ofx,sftof,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r8i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.00121,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r8i1p1f1,fx,areacella,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r8i1p1f1/fx/areacella/gn/,NA,NA,NA,1.61e-05,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r9i1p1f1,Ofx,areacello,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r9i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00125,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r9i1p1f1,Ofx,deptho,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r9i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.0014,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r9i1p1f1,Ofx,sftof,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r9i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.00121,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-CO2,r9i1p1f1,fx,areacella,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-CO2/r9i1p1f1/fx/areacella/gn/,NA,NA,NA,1.61e-05,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-GHG,r10i1p1f1,Amon,clt,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-GHG/r10i1p1f1/Amon/clt/gn/,1850-01-16,2020-12-16,2052,0.052,2019-11-11,created,
DAMIP,CCCma,CanESM5,hist-GHG,r10i1p1f1,Amon,evspsbl,gn,gs://cmip6/DAMIP/CCCma/CanESM5/hist-GHG/r10i1p1f1/Amon/evspsbl/gn/,1850-01-16,2020-12-16,2052,0.0558,2019-11-11,created,
