activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,AERmon,toz,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/AERmon/toz/gr/,1850-01-16,2020-12-16,2052,0.169,2019-11-06,created,
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,Amon,clt,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/Amon/clt/gr/,1850-01-16,2020-12-16,2052,0.202,2019-11-01,created,
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,Amon,evspsbl,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/Amon/evspsbl/gr/,1850-01-16,2020-12-16,2052,0.218,2019-11-01,created,
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,Amon,hfls,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/Amon/hfls/gr/,1850-01-16,2020-12-16,2052,0.22,2019-10-28,created,
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,Amon,hfss,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/Amon/hfss/gr/,1850-01-16,2020-12-16,2052,0.221,2019-10-28,created,
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,Amon,hurs,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/Amon/hurs/gr/,1850-01-16,2020-12-16,2052,0.195,2019-11-01,created,
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,Amon,hus,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/Amon/hus/gr/,1850-01-16,2020-12-16,2052,3.43,2019-11-01,created,
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,Amon,huss,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/Amon/huss/gr/,1850-01-16,2020-12-16,2052,0.204,2019-11-01,created,
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,Amon,pr,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/Amon/pr/gr/,1850-01-16,2020-12-16,2052,0.225,2019-10-25,created,
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,Amon,prsn,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/Amon/prsn/gr/,1850-01-16,2020-12-16,2052,0.225,2019-11-10,created,
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,Amon,prw,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/Amon/prw/gr/,1850-01-16,2020-12-16,2052,0.205,2019-11-01,created,
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,Amon,ps,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/Amon/ps/gr/,1850-01-16,2020-12-16,2052,0.174,2019-11-01,created,
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,Amon,psl,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/Amon/psl/gr/,1850-01-16,2020-12-16,2052,0.149,2019-10-27,created,
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,Amon,rlds,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/Amon/rlds/gr/,1850-01-16,2020-12-16,2052,0.192,2019-10-28,created,
DAMIP,CNRM-CERFACS,CNRM-CM6-1,hist-GHG,r10i1p1f2,Amon,rlus,gr,gs://cmip6/DAMIP/CNRM-CERFACS/CNRM-CM6-1/hist-GHG/r10i1p1f2/Amon/rlus/gr/,1850-01-16,2020-12-16,2052,0.187,2019-10-28,created,
