activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
DAMIP,IPSL,IPSL-CM6A-LR,hist-GHG,r10i1p1f1,AERmon,abs550aer,gr,gs://cmip6/DAMIP/IPSL/IPSL-CM6A-LR/hist-GHG/r10i1p1f1/AERmon/abs550aer/gr/,1850-01-16,2020-12-16,2052,0.132,2019-11-06,created,
DAMIP,IPSL,IPSL-CM6A-LR,hist-GHG,r10i1p1f1,AERmon,od550aer,gr,gs://cmip6/DAMIP/IPSL/IPSL-CM6A-LR/hist-GHG/r10i1p1f1/AERmon/od550aer/gr/,1850-01-16,2020-12-16,2052,0.133,2019-11-06,created,
DAMIP,IPSL,IPSL-CM6A-LR,hist-GHG,r10i1p1f1,Amon,clt,gr,gs://cmip6/DAMIP/IPSL/IPSL-CM6A-LR/hist-GHG/r10i1p1f1/Amon/clt/gr/,1850-01-16,2020-12-16,2052,0.131,2019-11-01,created,
DAMIP,IPSL,IPSL-CM6A-LR,hist-GHG,r10i1p1f1,Amon,evspsbl,gr,gs://cmip6/DAMIP/IPSL/IPSL-CM6A-LR/hist-GHG/r10i1p1f1/Amon/evspsbl/gr/,1850-01-16,2020-12-16,2052,0.139,2019-11-01,created,
DAMIP,IPSL,IPSL-CM6A-LR,hist-GHG,r10i1p1f1,Amon,hfls,gr,gs://cmip6/DAMIP/IPSL/IPSL-CM6A-LR/hist-GHG/r10i1p1f1/Amon/hfls/gr/,1850-01-16,2020-12-16,2052,0.141,2019-10-28,created,
DAMIP,IPSL,IPSL-CM6A-LR,hist-GHG,r10i1p1f1,Amon,hfss,gr,gs://cmip6/DAMIP/IPSL/IPSL-CM6A-LR/hist-GHG/r10i1p1f1/Amon/hfss/gr/,1850-01-16,2020-12-16,2052,0.142,2019-10-28,created,
DAMIP,IPSL,IPSL-CM6A-LR,hist-GHG,r10i1p1f1,Amon,hurs,gr,gs://cmip6/DAMIP/IPSL/IPSL-CM6A-LR/hist-GHG/r10i1p1f1/Amon/hurs/gr/,1850-01-16,2020-12-16,2052,0.123,2019-11-01,created,
DAMIP,IPSL,IPSL-CM6A-LR,hist-GHG,r10i1p1f1,Amon,hus,gr,gs://cmip6/DAMIP/IPSL/IPSL-CM6A-LR/hist-GHG/r10i1p1f1/Amon/hus/gr/,1850-01-16,2020-12-16,2052,2.04,2019-11-01,created,
DAMIP,IPSL,IPSL-CM6A-LR,hist-GHG,r10i1p1f1,Amon,huss,gr,gs://cmip6/DAMIP/IPSL/IPSL-CM6A-LR/hist-GHG/r10i1p1f1/Amon/huss/gr/,1850-01-16,2020-12-16,2052,0.131,2019-11-01,created,
DAMIP,IPSL,IPSL-CM6A-LR,hist-GHG,r10i1p1f1,Amon,pr,gr,gs://cmip6/DAMIP/IPSL/IPSL-CM6A-LR/hist-GHG/r10i1p1f1/Amon/pr/gr/,1850-01-16,2020-12-16,2052,0.144,2019-10-25,created,
DAMIP,IPSL,IPSL-CM6A-LR,hist-GHG,r10i1p1f1,Amon,prsn,gr,gs://cmip6/DAMIP/IPSL/IPSL-CM6A-LR/hist-GHG/r10i1p1f1/Amon/prsn/gr/,1850-01-16,2020-12-16,2052,0.0767,2019-11-10,created,
DAMIP,IPSL,IPSL-CM6A-LR,hist-GHG,r10i1p1f1,Amon,prw,gr,gs://cmip6/DAMIP/IPSL/IPSL-CM6A-LR/hist-GHG/r10i1p1f1/Amon/prw/gr/,1850-01-16,2020-12-16,2052,0.131,2019-11-01,created,
