activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,clt,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/clt/gn/,1850-01-15,2015-06-15,1986,0.327,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,co2,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/co2/gn/,1850-01-15,2014-12-15,1980,3.35,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/evspsbl/gn/,1850-01-15,2015-06-15,1986,0.355,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,hfls,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/hfls/gn/,1850-01-15,2015-06-15,1986,0.356,2019-10-28,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,hfss,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/hfss/gn/,1850-01-15,2015-06-15,1986,0.36,2019-10-28,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,hurs,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/hurs/gn/,1850-01-15,2015-06-15,1986,0.308,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,hus,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/hus/gn/,1850-01-15,2015-06-15,1986,5.33,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,huss,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/huss/gn/,1850-01-15,2015-06-15,1986,0.329,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,o3,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/o3/gn/,1850-01-15,2015-06-15,1986,5.15,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,pr,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/pr/gn/,1850-01-15,2015-06-15,1986,0.36,2019-10-25,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,prw,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/prw/gn/,1850-01-15,2015-06-15,1986,0.332,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,ps,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/ps/gn/,1850-01-15,2015-06-15,1986,0.268,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,psl,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/psl/gn/,1850-01-15,2015-06-15,1986,0.242,2019-10-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,rlds,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/rlds/gn/,1850-01-15,2015-06-15,1986,0.311,2019-10-28,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,rlus,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/rlus/gn/,1850-01-15,2015-06-15,1986,0.301,2019-10-28,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,rlut,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/rlut/gn/,1850-01-15,2015-06-15,1986,0.306,2019-11-05,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/rlutcs/gn/,1850-01-15,2015-06-15,1986,0.289,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,rsds,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/rsds/gn/,1850-01-15,2015-06-15,1986,0.311,2019-11-05,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/rsdt/gn/,1850-01-15,2015-06-15,1986,0.217,2019-11-05,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,rsus,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/rsus/gn/,1850-01-15,2015-06-15,1986,0.322,2019-11-05,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,rsut,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/rsut/gn/,1850-01-15,2015-06-15,1986,0.313,2019-11-05,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/rsutcs/gn/,1850-01-15,2015-06-15,1986,0.296,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,ta,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/ta/gn/,1850-01-15,2015-06-15,1986,4.45,2019-10-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,tas,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/tas/gn/,1850-01-15,2015-06-15,1986,0.263,2019-10-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,tasmax,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/tasmax/gn/,1850-01-15,2015-06-15,1986,0.267,2019-11-10,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,tasmin,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/tasmin/gn/,1850-01-15,2015-06-15,1986,0.273,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,tauu,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/tauu/gn/,1850-01-15,2015-06-15,1986,0.369,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,tauv,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/tauv/gn/,1850-01-15,2015-06-15,1986,0.377,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,ts,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/ts/gn/,1850-01-15,2015-06-15,1986,0.266,2019-10-25,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,ua,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/ua/gn/,1850-01-15,2015-06-15,1986,6.09,2019-10-28,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,va,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/va/gn/,1850-01-15,2015-06-15,1986,6.61,2019-10-28,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,wap,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/wap/gn/,1850-01-15,2015-06-15,1986,6.85,2019-10-28,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Amon,zg,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Amon/zg/gn/,1850-01-15,2015-06-15,1986,4.3,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Omon,tos,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Omon/tos/gn/,1850-01-15,2015-06-15,1986,0.553,2019-10-25,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,Omon,tos,gr,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/Omon/tos/gr/,1850-01-15,2015-06-15,1986,0.27,2019-10-25,created,
DAMIP,NCAR,CESM2,hist-GHG,r1i1p1f1,SImon,siconc,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r1i1p1f1/SImon/siconc/gn/,1850-01-15,2015-06-15,1986,0.186,2019-11-26,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,co2,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/co2/gn/,1850-01-15,1999-12-15,1800,3.01,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,evspsbl,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/evspsbl/gn/,1850-01-15,2014-12-15,1980,0.354,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,hfls,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/hfls/gn/,1850-01-15,2014-12-15,1980,0.355,2020-02-08,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,hfss,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/hfss/gn/,1850-01-15,2014-12-15,1980,0.358,2020-02-08,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,hurs,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/hurs/gn/,1850-01-15,2014-12-15,1980,0.307,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,huss,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/huss/gn/,1850-01-15,2014-12-15,1980,0.328,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,pr,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/pr/gn/,1850-01-15,2014-12-15,1980,0.359,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,ps,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/ps/gn/,1850-01-15,2014-12-15,1980,0.267,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,psl,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/psl/gn/,1850-01-15,2014-12-15,1980,0.241,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,rlds,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/rlds/gn/,1850-01-15,2014-12-15,1980,0.31,2020-02-08,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,rlus,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/rlus/gn/,1850-01-15,2014-12-15,1980,0.3,2020-02-08,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,rlut,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/rlut/gn/,1850-01-15,2014-12-15,1980,0.305,2020-01-18,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,rsds,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/rsds/gn/,1850-01-15,2014-12-15,1980,0.31,2020-02-08,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,rsdt,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/rsdt/gn/,1850-01-15,2014-12-15,1980,0.216,2020-01-18,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,rsus,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/rsus/gn/,1850-01-15,2014-12-15,1980,0.321,2020-02-08,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,rsut,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/rsut/gn/,1850-01-15,2014-12-15,1980,0.312,2020-01-18,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,ta,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/ta/gn/,1850-01-15,2014-12-15,1980,4.43,2020-02-08,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,tas,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/tas/gn/,1850-01-15,2014-12-15,1980,0.262,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,tasmax,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/tasmax/gn/,1850-01-15,2014-12-15,1980,0.266,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,tasmin,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/tasmin/gn/,1850-01-15,2014-12-15,1980,0.272,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,tauu,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/tauu/gn/,1850-01-15,2014-12-15,1980,0.368,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,tauv,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/tauv/gn/,1850-01-15,2014-12-15,1980,0.375,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,ts,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/ts/gn/,1850-01-15,2014-12-15,1980,0.265,2020-02-08,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,ua,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/ua/gn/,1850-01-15,2014-12-15,1980,6.07,2020-02-08,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,va,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/va/gn/,1850-01-15,2014-12-15,1980,6.59,2020-02-08,created,
DAMIP,NCAR,CESM2,hist-GHG,r2i1p1f1,Amon,wap,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r2i1p1f1/Amon/wap/gn/,1850-01-15,2014-12-15,1980,6.83,2020-02-08,created,
DAMIP,NCAR,CESM2,hist-GHG,r3i1p1f1,Amon,co2,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r3i1p1f1/Amon/co2/gn/,1900-01-15,1999-12-15,1200,2.1,2019-11-11,created,
DAMIP,NCAR,CESM2,hist-GHG,r3i1p1f1,Amon,evspsbl,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r3i1p1f1/Amon/evspsbl/gn/,1850-01-15,2014-12-15,1980,0.354,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r3i1p1f1,Amon,hfls,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r3i1p1f1/Amon/hfls/gn/,1850-01-15,2014-12-15,1980,0.355,2020-02-10,created,
DAMIP,NCAR,CESM2,hist-GHG,r3i1p1f1,Amon,hfss,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r3i1p1f1/Amon/hfss/gn/,1850-01-15,2014-12-15,1980,0.358,2020-02-10,created,
DAMIP,NCAR,CESM2,hist-GHG,r3i1p1f1,Amon,hurs,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r3i1p1f1/Amon/hurs/gn/,1850-01-15,2014-12-15,1980,0.307,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r3i1p1f1,Amon,huss,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r3i1p1f1/Amon/huss/gn/,1850-01-15,2014-12-15,1980,0.328,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r3i1p1f1,Amon,pr,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r3i1p1f1/Amon/pr/gn/,1850-01-15,2014-12-15,1980,0.359,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r3i1p1f1,Amon,ps,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r3i1p1f1/Amon/ps/gn/,1850-01-15,2014-12-15,1980,0.267,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r3i1p1f1,Amon,psl,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r3i1p1f1/Amon/psl/gn/,1850-01-15,2014-12-15,1980,0.241,2019-11-27,created,
DAMIP,NCAR,CESM2,hist-GHG,r3i1p1f1,Amon,rlds,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r3i1p1f1/Amon/rlds/gn/,1850-01-15,2014-12-15,1980,0.31,2020-02-10,created,
DAMIP,NCAR,CESM2,hist-GHG,r3i1p1f1,Amon,rlus,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r3i1p1f1/Amon/rlus/gn/,1850-01-15,2014-12-15,1980,0.3,2020-02-10,created,
DAMIP,NCAR,CESM2,hist-GHG,r3i1p1f1,Amon,rlut,gn,gs://cmip6/DAMIP/NCAR/CESM2/hist-GHG/r3i1p1f1/Amon/rlut/gn/,1850-01-15,2014-12-15,1980,0.305,2020-01-18,created,
