activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,hfls,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/hfls/gn/,1850-01-16,2014-12-16,1980,0.0912,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,hfss,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/hfss/gn/,1850-01-16,2014-12-16,1980,0.0925,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,pr,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/pr/gn/,1850-01-16,2014-12-16,1980,0.0919,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,psl,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/psl/gn/,1850-01-16,2014-12-16,1980,0.0626,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,rlds,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/rlds/gn/,1850-01-16,2014-12-16,1980,0.0804,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,rlus,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/rlus/gn/,1850-01-16,2014-12-16,1980,0.0788,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,rlut,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/rlut/gn/,1850-01-16,2014-12-16,1980,0.0798,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,rsds,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/rsds/gn/,1850-01-16,2014-12-16,1980,0.0785,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/rsdt/gn/,1850-01-16,2014-12-16,1980,0.0553,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,rsus,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/rsus/gn/,1850-01-16,2014-12-16,1980,0.082,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,rsut,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/rsut/gn/,1850-01-16,2014-12-16,1980,0.0797,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,ta,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/ta/gn/,1850-01-16,2020-12-16,2052,1.25,2020-02-06,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,tas,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/tas/gn/,1850-01-16,2014-12-16,1980,0.0684,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,ts,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/ts/gn/,1850-01-16,2020-12-16,2052,0.0722,2020-02-08,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,ua,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/ua/gn/,1850-01-16,2014-12-16,1980,1.63,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,va,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/va/gn/,1850-01-16,2014-12-16,1980,1.75,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,Amon,wap,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/Amon/wap/gn/,1850-01-16,2014-12-16,1980,1.77,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r1i1p1f1,SImon,siconc,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r1i1p1f1/SImon/siconc/gn/,1850-01-16,2020-12-16,2052,0.229,2020-02-08,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r2i1p1f1,Amon,psl,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r2i1p1f1/Amon/psl/gn/,1850-01-16,2020-12-16,2052,0.0649,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r2i1p1f1,Amon,ta,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r2i1p1f1/Amon/ta/gn/,1850-01-16,2020-12-16,2052,1.25,2020-02-07,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r2i1p1f1,Amon,tas,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r2i1p1f1/Amon/tas/gn/,1850-01-16,2020-12-16,2052,0.0709,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r2i1p1f1,Amon,ts,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r2i1p1f1/Amon/ts/gn/,1850-01-16,2020-12-16,2052,0.0721,2020-02-08,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r2i1p1f1,SImon,siconc,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r2i1p1f1/SImon/siconc/gn/,1850-01-16,2020-12-16,2052,0.229,2020-02-08,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r3i1p1f1,Amon,psl,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r3i1p1f1/Amon/psl/gn/,1850-01-16,2020-12-16,2052,0.0649,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r3i1p1f1,Amon,ta,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r3i1p1f1/Amon/ta/gn/,1850-01-16,2020-12-16,2052,1.25,2020-02-09,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r3i1p1f1,Amon,tas,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r3i1p1f1/Amon/tas/gn/,1850-01-16,2020-12-16,2052,0.0709,2020-02-29,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r3i1p1f1,Amon,ts,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r3i1p1f1/Amon/ts/gn/,1850-01-16,2020-12-16,2052,0.0721,2020-02-09,created,
DAMIP,NCC,NorESM2-LM,hist-GHG,r3i1p1f1,SImon,siconc,gn,gs://cmip6/DAMIP/NCC/NorESM2-LM/hist-GHG/r3i1p1f1/SImon/siconc/gn/,1850-01-16,2020-12-16,2052,0.229,2020-02-09,created,
