activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
DAMIP,NOAA-GFDL,GFDL-ESM4,hist-GHG,r1i1p1f1,Amon,hfls,gr1,gs://cmip6/DAMIP/NOAA-GFDL/GFDL-ESM4/hist-GHG/r1i1p1f1/Amon/hfls/gr1/,1850-01-16,2020-12-16,2052,0.347,2020-02-28,created,
DAMIP,NOAA-GFDL,GFDL-ESM4,hist-GHG,r1i1p1f1,Amon,pr,gr1,gs://cmip6/DAMIP/NOAA-GFDL/GFDL-ESM4/hist-GHG/r1i1p1f1/Amon/pr/gr1/,1850-01-16,2020-12-16,2052,0.349,2020-01-18,created,
DAMIP,NOAA-GFDL,GFDL-ESM4,hist-GHG,r1i1p1f1,Amon,psl,gr1,gs://cmip6/DAMIP/NOAA-GFDL/GFDL-ESM4/hist-GHG/r1i1p1f1/Amon/psl/gr1/,1850-01-16,2020-12-16,2052,0.234,2020-01-18,created,
DAMIP,NOAA-GFDL,GFDL-ESM4,hist-GHG,r1i1p1f1,Amon,rlds,gr1,gs://cmip6/DAMIP/NOAA-GFDL/GFDL-ESM4/hist-GHG/r1i1p1f1/Amon/rlds/gr1/,1850-01-16,2020-12-16,2052,0.301,2020-02-06,created,
DAMIP,NOAA-GFDL,GFDL-ESM4,hist-GHG,r1i1p1f1,Amon,rlus,gr1,gs://cmip6/DAMIP/NOAA-GFDL/GFDL-ESM4/hist-GHG/r1i1p1f1/Amon/rlus/gr1/,1850-01-16,2020-12-16,2052,0.297,2020-02-28,created,
DAMIP,NOAA-GFDL,GFDL-ESM4,hist-GHG,r1i1p1f1,Amon,rsds,gr1,gs://cmip6/DAMIP/NOAA-GFDL/GFDL-ESM4/hist-GHG/r1i1p1f1/Amon/rsds/gr1/,1850-01-16,2020-12-16,2052,0.302,2020-02-28,created,
DAMIP,NOAA-GFDL,GFDL-ESM4,hist-GHG,r1i1p1f1,Amon,rsdt,gr1,gs://cmip6/DAMIP/NOAA-GFDL/GFDL-ESM4/hist-GHG/r1i1p1f1/Amon/rsdt/gr1/,1850-01-16,2020-12-16,2052,0.221,2020-02-28,created,
DAMIP,NOAA-GFDL,GFDL-ESM4,hist-GHG,r1i1p1f1,Amon,rsut,gr1,gs://cmip6/DAMIP/NOAA-GFDL/GFDL-ESM4/hist-GHG/r1i1p1f1/Amon/rsut/gr1/,1850-01-16,2020-12-16,2052,0.306,2020-02-28,created,
DAMIP,NOAA-GFDL,GFDL-ESM4,hist-GHG,r1i1p1f1,Amon,ta,gr1,gs://cmip6/DAMIP/NOAA-GFDL/GFDL-ESM4/hist-GHG/r1i1p1f1/Amon/ta/gr1/,1850-01-16,2020-12-16,2052,4.4,2020-02-06,created,
DAMIP,NOAA-GFDL,GFDL-ESM4,hist-GHG,r1i1p1f1,Amon,tas,gr1,gs://cmip6/DAMIP/NOAA-GFDL/GFDL-ESM4/hist-GHG/r1i1p1f1/Amon/tas/gr1/,1850-01-16,2020-12-16,2052,0.257,2020-01-18,created,
