activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
DCPP,BCC,BCC-CSM2-MR,dcppA-hindcast,r1i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/BCC/BCC-CSM2-MR/dcppA-hindcast/s1961-r1i1p1f1/Amon/tas/gn/,1961-01-16,1970-12-16,120,0.0147,2020-02-08,created,1961.0
DCPP,BCC,BCC-CSM2-MR,dcppA-hindcast,r1i1p1f1,Omon,sos,gn,gs://cmip6/DCPP/BCC/BCC-CSM2-MR/dcppA-hindcast/s1961-r1i1p1f1/Omon/sos/gn/,1961-01-16,1970-12-16,120,0.0196,2020-01-09,created,1961.0
DCPP,BCC,BCC-CSM2-MR,dcppA-hindcast,r1i1p1f1,Omon,tos,gn,gs://cmip6/DCPP/BCC/BCC-CSM2-MR/dcppA-hindcast/s1961-r1i1p1f1/Omon/tos/gn/,1961-01-16,1970-12-16,120,0.0225,2020-01-08,created,1961.0
DCPP,BCC,BCC-CSM2-MR,dcppA-hindcast,r2i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/BCC/BCC-CSM2-MR/dcppA-hindcast/s1961-r2i1p1f1/Amon/tas/gn/,1961-01-16,1970-12-16,120,0.0147,2020-02-08,created,1961.0
DCPP,BCC,BCC-CSM2-MR,dcppA-hindcast,r3i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/BCC/BCC-CSM2-MR/dcppA-hindcast/s1961-r3i1p1f1/Amon/tas/gn/,1961-01-16,1970-12-16,120,0.0147,2020-02-08,created,1961.0
DCPP,BCC,BCC-CSM2-MR,dcppA-hindcast,r4i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/BCC/BCC-CSM2-MR/dcppA-hindcast/s1961-r4i1p1f1/Amon/tas/gn/,1961-01-16,1970-12-16,120,0.0147,2020-02-08,created,1961.0
DCPP,BCC,BCC-CSM2-MR,dcppA-hindcast,r5i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/BCC/BCC-CSM2-MR/dcppA-hindcast/s1961-r5i1p1f1/Amon/tas/gn/,1961-01-16,1970-12-16,120,0.0147,2020-02-08,created,1961.0
DCPP,BCC,BCC-CSM2-MR,dcppA-hindcast,r6i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/BCC/BCC-CSM2-MR/dcppA-hindcast/s1961-r6i1p1f1/Amon/tas/gn/,1961-01-16,1970-12-16,120,0.0147,2020-02-08,created,1961.0
DCPP,BCC,BCC-CSM2-MR,dcppA-hindcast,r7i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/BCC/BCC-CSM2-MR/dcppA-hindcast/s1961-r7i1p1f1/Amon/tas/gn/,1961-01-16,1970-12-16,120,0.0147,2020-02-08,created,1961.0
DCPP,BCC,BCC-CSM2-MR,dcppA-hindcast,r8i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/BCC/BCC-CSM2-MR/dcppA-hindcast/s1961-r8i1p1f1/Amon/tas/gn/,1961-01-16,1970-12-16,120,0.0147,2020-02-08,created,1961.0
