activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
DCPP,MPI-M,MPI-ESM1-2-HR,dcppA-hindcast,r1i1p1f1,Amon,clt,gn,gs://cmip6/DCPP/MPI-M/MPI-ESM1-2-HR/dcppA-hindcast/s1960-r1i1p1f1/Amon/clt/gn/,1960-11-16,1970-12-16,122,0.0197,2019-12-02,created,1960.0
DCPP,MPI-M,MPI-ESM1-2-HR,dcppA-hindcast,r1i1p1f1,Amon,hfss,gn,gs://cmip6/DCPP/MPI-M/MPI-ESM1-2-HR/dcppA-hindcast/s1960-r1i1p1f1/Amon/hfss/gn/,1960-11-16,1970-12-16,122,0.0236,2019-12-03,created,1960.0
DCPP,MPI-M,MPI-ESM1-2-HR,dcppA-hindcast,r1i1p1f1,Amon,hus,gn,gs://cmip6/DCPP/MPI-M/MPI-ESM1-2-HR/dcppA-hindcast/s1960-r1i1p1f1/Amon/hus/gn/,1960-11-16,1970-12-16,122,0.462,2019-12-04,created,1960.0
DCPP,MPI-M,MPI-ESM1-2-HR,dcppA-hindcast,r1i1p1f1,Amon,ps,gn,gs://cmip6/DCPP/MPI-M/MPI-ESM1-2-HR/dcppA-hindcast/s1960-r1i1p1f1/Amon/ps/gn/,1960-11-16,1970-12-16,122,0.0195,2019-11-29,created,1960.0
DCPP,MPI-M,MPI-ESM1-2-HR,dcppA-hindcast,r1i1p1f1,Amon,psl,gn,gs://cmip6/DCPP/MPI-M/MPI-ESM1-2-HR/dcppA-hindcast/s1960-r1i1p1f1/Amon/psl/gn/,1960-11-16,1970-12-16,122,0.0195,2019-11-29,created,1960.0
DCPP,MPI-M,MPI-ESM1-2-HR,dcppA-hindcast,r1i1p1f1,Amon,rlut,gn,gs://cmip6/DCPP/MPI-M/MPI-ESM1-2-HR/dcppA-hindcast/s1960-r1i1p1f1/Amon/rlut/gn/,1960-11-16,1970-12-16,122,0.0178,2019-12-06,created,1960.0
DCPP,MPI-M,MPI-ESM1-2-HR,dcppA-hindcast,r1i1p1f1,Amon,rsut,gn,gs://cmip6/DCPP/MPI-M/MPI-ESM1-2-HR/dcppA-hindcast/s1960-r1i1p1f1/Amon/rsut/gn/,1960-11-16,1970-12-16,122,0.0182,2019-12-07,created,1960.0
DCPP,MPI-M,MPI-ESM1-2-HR,dcppA-hindcast,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/DCPP/MPI-M/MPI-ESM1-2-HR/dcppA-hindcast/s1960-r1i1p1f1/Amon/rsutcs/gn/,1960-11-16,1970-12-16,122,0.015,2019-12-07,created,1960.0
DCPP,MPI-M,MPI-ESM1-2-HR,dcppA-hindcast,r1i1p1f1,Amon,ta,gn,gs://cmip6/DCPP/MPI-M/MPI-ESM1-2-HR/dcppA-hindcast/s1960-r1i1p1f1/Amon/ta/gn/,1960-11-16,1970-12-16,122,0.379,2019-12-08,created,1960.0
DCPP,MPI-M,MPI-ESM1-2-HR,dcppA-hindcast,r1i1p1f1,Amon,tas,gn,gs://cmip6/DCPP/MPI-M/MPI-ESM1-2-HR/dcppA-hindcast/s1960-r1i1p1f1/Amon/tas/gn/,1960-11-16,1970-12-16,122,0.0186,2020-02-08,created,1960.0
