activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
FAFMIP,CCCma,CanESM5,faf-heat,r1i1p2f1,Amon,ts,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-heat/r1i1p2f1/Amon/ts/gn/,5550-01-16,5650-12-16,1212,0.0258,2019-11-14,created,
FAFMIP,CCCma,CanESM5,faf-heat,r1i1p2f1,Ofx,areacello,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-heat/r1i1p2f1/Ofx/areacello/gn/,NA,NA,NA,0.00125,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-heat,r1i1p2f1,Ofx,deptho,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-heat/r1i1p2f1/Ofx/deptho/gn/,NA,NA,NA,0.0014,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-heat,r1i1p2f1,Ofx,sftof,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-heat/r1i1p2f1/Ofx/sftof/gn/,NA,NA,NA,0.00121,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-heat,r1i1p2f1,fx,areacella,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-heat/r1i1p2f1/fx/areacella/gn/,NA,NA,NA,1.62e-05,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-passiveheat,r1i1p2f1,Amon,ts,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-passiveheat/r1i1p2f1/Amon/ts/gn/,5550-01-16,5650-12-16,1212,0.0257,2019-11-14,created,
FAFMIP,CCCma,CanESM5,faf-passiveheat,r1i1p2f1,Ofx,areacello,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-passiveheat/r1i1p2f1/Ofx/areacello/gn/,NA,NA,NA,0.00125,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-passiveheat,r1i1p2f1,Ofx,deptho,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-passiveheat/r1i1p2f1/Ofx/deptho/gn/,NA,NA,NA,0.0014,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-passiveheat,r1i1p2f1,Ofx,sftof,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-passiveheat/r1i1p2f1/Ofx/sftof/gn/,NA,NA,NA,0.00121,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-passiveheat,r1i1p2f1,fx,areacella,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-passiveheat/r1i1p2f1/fx/areacella/gn/,NA,NA,NA,1.62e-05,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-stress,r1i1p2f1,Amon,ts,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-stress/r1i1p2f1/Amon/ts/gn/,5550-01-16,5650-12-16,1212,0.0257,2019-11-14,created,
FAFMIP,CCCma,CanESM5,faf-stress,r1i1p2f1,Ofx,areacello,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-stress/r1i1p2f1/Ofx/areacello/gn/,NA,NA,NA,0.00125,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-stress,r1i1p2f1,Ofx,deptho,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-stress/r1i1p2f1/Ofx/deptho/gn/,NA,NA,NA,0.0014,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-stress,r1i1p2f1,Ofx,sftof,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-stress/r1i1p2f1/Ofx/sftof/gn/,NA,NA,NA,0.00121,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-stress,r1i1p2f1,fx,areacella,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-stress/r1i1p2f1/fx/areacella/gn/,NA,NA,NA,1.62e-05,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-water,r1i1p2f1,Amon,ts,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-water/r1i1p2f1/Amon/ts/gn/,5550-01-16,5650-12-16,1212,0.0258,2019-11-14,created,
FAFMIP,CCCma,CanESM5,faf-water,r1i1p2f1,Ofx,areacello,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-water/r1i1p2f1/Ofx/areacello/gn/,NA,NA,NA,0.00125,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-water,r1i1p2f1,Ofx,deptho,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-water/r1i1p2f1/Ofx/deptho/gn/,NA,NA,NA,0.0014,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-water,r1i1p2f1,Ofx,sftof,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-water/r1i1p2f1/Ofx/sftof/gn/,NA,NA,NA,0.00121,2019-11-11,created,
FAFMIP,CCCma,CanESM5,faf-water,r1i1p2f1,fx,areacella,gn,gs://cmip6/FAFMIP/CCCma/CanESM5/faf-water/r1i1p2f1/fx/areacella/gn/,NA,NA,NA,1.62e-05,2019-11-11,created,
