activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
GMMIP,CAS,FGOALS-g3,amip-hist,r1i1p1f1,Amon,hur,gn,gs://cmip6/GMMIP/CAS/FGOALS-g3/amip-hist/r1i1p1f1/Amon/hur/gn/,1870-01-16,2014-12-16,1740,1.4,2019-12-15,created,
GMMIP,CAS,FGOALS-g3,amip-hist,r1i1p1f1,Amon,hurs,gn,gs://cmip6/GMMIP/CAS/FGOALS-g3/amip-hist/r1i1p1f1/Amon/hurs/gn/,1870-01-16,2014-12-16,1740,0.0723,2019-12-15,created,
GMMIP,CAS,FGOALS-g3,amip-hist,r1i1p1f1,Amon,hus,gn,gs://cmip6/GMMIP/CAS/FGOALS-g3/amip-hist/r1i1p1f1/Amon/hus/gn/,1870-01-16,2014-12-16,1740,1.34,2019-12-15,created,
GMMIP,CAS,FGOALS-g3,amip-hist,r1i1p1f1,Amon,rlut,gn,gs://cmip6/GMMIP/CAS/FGOALS-g3/amip-hist/r1i1p1f1/Amon/rlut/gn/,1870-01-16,2014-12-16,1740,0.074,2019-12-15,created,
GMMIP,CAS,FGOALS-g3,amip-hist,r1i1p1f1,Amon,rsds,gn,gs://cmip6/GMMIP/CAS/FGOALS-g3/amip-hist/r1i1p1f1/Amon/rsds/gn/,1870-01-16,2014-12-16,1740,0.0735,2019-12-15,created,
GMMIP,CAS,FGOALS-g3,amip-hist,r1i1p1f1,Amon,rsus,gn,gs://cmip6/GMMIP/CAS/FGOALS-g3/amip-hist/r1i1p1f1/Amon/rsus/gn/,1870-01-16,2014-12-16,1740,0.0773,2019-12-15,created,
GMMIP,CAS,FGOALS-g3,amip-hist,r1i1p1f1,Amon,tasmin,gn,gs://cmip6/GMMIP/CAS/FGOALS-g3/amip-hist/r1i1p1f1/Amon/tasmin/gn/,1870-01-16,2014-12-16,1740,0.0633,2019-12-15,created,
GMMIP,CAS,FGOALS-g3,amip-hist,r2i1p1f1,Amon,prc,gn,gs://cmip6/GMMIP/CAS/FGOALS-g3/amip-hist/r2i1p1f1/Amon/prc/gn/,1870-01-16,2014-12-16,1740,0.0861,2019-12-15,created,
GMMIP,CAS,FGOALS-g3,amip-hist,r2i1p1f1,Amon,ps,gn,gs://cmip6/GMMIP/CAS/FGOALS-g3/amip-hist/r2i1p1f1/Amon/ps/gn/,1870-01-16,2014-12-16,1740,0.0618,2019-12-15,created,
GMMIP,CAS,FGOALS-g3,amip-hist,r2i1p1f1,Amon,rlut,gn,gs://cmip6/GMMIP/CAS/FGOALS-g3/amip-hist/r2i1p1f1/Amon/rlut/gn/,1870-01-16,2014-12-16,1740,0.074,2019-12-15,created,
