activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,3hr,pr,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/3hr/pr/gr/,1950-01-01,2014-12-31,189928,91.6,2019-10-25,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,3hr,prc,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/3hr/prc/gr/,1950-01-01,2014-12-31,189928,29,2019-10-25,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,3hr,uas,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/3hr/uas/gr/,1950-01-01,2015-01-01,189928,118,2019-10-09,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,3hr,vas,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/3hr/vas/gr/,1950-01-01,2015-01-01,189928,119,2019-10-09,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,6hrPlevPt,psl,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/6hrPlevPt/psl/gr/,1950-01-01,2015-01-01,94964,39.7,2019-10-08,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,6hrPlevPt,uas,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/6hrPlevPt/uas/gr/,1950-01-01,2015-01-01,94964,58.8,2019-10-09,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,6hrPlevPt,vas,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/6hrPlevPt/vas/gr/,1950-01-01,2015-01-01,94964,59.5,2019-10-09,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,clt,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/clt/gr/,1950-01-16,2014-12-16,780,0.437,2019-11-16,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,evspsbl,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/evspsbl/gr/,1950-01-16,2014-12-16,780,0.464,2019-11-16,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,hfls,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/hfls/gr/,1950-01-16,2014-12-16,780,0.467,2019-11-16,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,hfss,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/hfss/gr/,1950-01-16,2014-12-16,780,0.469,2019-11-16,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,hurs,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/hurs/gr/,1950-01-16,2014-12-16,780,0.395,2019-11-18,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,hus,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/hus/gr/,1950-01-16,2014-12-16,780,6.44,2019-11-16,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,huss,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/huss/gr/,1950-01-16,2014-12-16,780,0.424,2019-11-16,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,o3,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/o3/gr/,1982-01-16,1982-12-16,12,0.0916,2019-11-16,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,pr,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/pr/gr/,1950-01-16,2014-12-16,780,0.476,2019-11-16,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,prsn,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/prsn/gr/,1950-01-16,2014-12-16,780,0.25,2019-11-16,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,prw,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/prw/gr/,1950-01-16,2014-12-16,780,0.423,2019-11-16,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,ps,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/ps/gr/,1950-01-16,2014-12-16,780,0.342,2019-11-16,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,psl,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/psl/gr/,1950-01-16,2014-12-16,780,0.307,2019-11-16,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,rlds,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/rlds/gr/,1950-01-16,2014-12-16,780,0.399,2019-11-16,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,rlus,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/rlus/gr/,1950-01-16,2014-12-16,780,0.391,2019-11-16,created,
HighResMIP,IPSL,IPSL-CM6A-ATM-HR,highresSST-present,r1i1p1f1,Amon,rlut,gr,gs://cmip6/HighResMIP/IPSL/IPSL-CM6A-ATM-HR/highresSST-present/r1i1p1f1/Amon/rlut/gr/,1950-01-16,2014-12-16,780,0.393,2019-11-16,created,
