activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
HighResMIP,MIROC,NICAM16-7S,highresSST-present,r1i1p1f1,3hr,pr,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-7S/highresSST-present/r1i1p1f1/3hr/pr/gr/,1950-01-01,2014-12-31,189928,116,2019-10-25,created,
HighResMIP,MIROC,NICAM16-7S,highresSST-present,r1i1p1f1,3hr,tas,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-7S/highresSST-present/r1i1p1f1/3hr/tas/gr/,1950-01-01,2014-12-31,189928,92.4,2019-10-25,created,
HighResMIP,MIROC,NICAM16-7S,highresSST-present,r1i1p1f1,3hr,uas,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-7S/highresSST-present/r1i1p1f1/3hr/uas/gr/,1950-01-01,2014-12-31,189928,88.6,2019-10-25,created,
HighResMIP,MIROC,NICAM16-7S,highresSST-present,r1i1p1f1,3hr,vas,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-7S/highresSST-present/r1i1p1f1/3hr/vas/gr/,1950-01-01,1968-12-31,55520,26.3,2019-10-25,created,
HighResMIP,MIROC,NICAM16-7S,highresSST-present,r1i1p1f1,Amon,pr,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-7S/highresSST-present/r1i1p1f1/Amon/pr/gr/,1950-01-16,2014-12-16,780,0.527,2019-11-16,created,
HighResMIP,MIROC,NICAM16-7S,highresSST-present,r1i1p1f1,Amon,rlut,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-7S/highresSST-present/r1i1p1f1/Amon/rlut/gr/,1950-01-16,2014-12-16,780,0.42,2019-11-16,created,
HighResMIP,MIROC,NICAM16-7S,highresSST-present,r1i1p1f1,Amon,rlutcs,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-7S/highresSST-present/r1i1p1f1/Amon/rlutcs/gr/,1950-01-16,2014-12-16,780,0.398,2019-11-16,created,
HighResMIP,MIROC,NICAM16-7S,highresSST-present,r1i1p1f1,Amon,rsut,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-7S/highresSST-present/r1i1p1f1/Amon/rsut/gr/,1950-01-16,2014-12-16,780,0.446,2019-11-16,created,
HighResMIP,MIROC,NICAM16-7S,highresSST-present,r1i1p1f1,Amon,rsutcs,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-7S/highresSST-present/r1i1p1f1/Amon/rsutcs/gr/,1950-01-16,2014-12-16,780,0.401,2019-11-16,created,
HighResMIP,MIROC,NICAM16-7S,highresSST-present,r1i1p1f1,Amon,tas,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-7S/highresSST-present/r1i1p1f1/Amon/tas/gr/,1950-01-16,2014-12-16,780,0.358,2019-11-17,created,
HighResMIP,MIROC,NICAM16-7S,highresSST-present,r1i1p1f1,CF3hr,psl,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-7S/highresSST-present/r1i1p1f1/CF3hr/psl/gr/,1950-01-01,2014-12-31,189928,86.4,2019-10-25,created,
HighResMIP,MIROC,NICAM16-7S,highresSST-present,r1i1p1f1,Omon,tos,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-7S/highresSST-present/r1i1p1f1/Omon/tos/gr/,1950-01-16,2014-12-16,780,0.282,2019-11-12,created,
HighResMIP,MIROC,NICAM16-7S,highresSST-present,r1i1p1f1,day,pr,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-7S/highresSST-present/r1i1p1f1/day/pr/gr/,1950-01-01,2014-12-31,23741,16.2,2019-10-25,created,
HighResMIP,MIROC,NICAM16-8S,highresSST-present,r1i1p1f1,3hr,pr,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-8S/highresSST-present/r1i1p1f1/3hr/pr/gr/,1950-01-01,2014-12-31,189928,435,2019-10-25,created,
HighResMIP,MIROC,NICAM16-8S,highresSST-present,r1i1p1f1,3hr,tas,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-8S/highresSST-present/r1i1p1f1/3hr/tas/gr/,1950-01-01,1955-12-31,17528,32.9,2019-10-25,created,
HighResMIP,MIROC,NICAM16-8S,highresSST-present,r1i1p1f1,3hr,uas,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-8S/highresSST-present/r1i1p1f1/3hr/uas/gr/,1950-01-01,2014-12-31,189928,340,2019-10-25,created,
HighResMIP,MIROC,NICAM16-8S,highresSST-present,r1i1p1f1,3hr,vas,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-8S/highresSST-present/r1i1p1f1/3hr/vas/gr/,1950-01-01,2014-12-31,189928,345,2019-10-25,created,
HighResMIP,MIROC,NICAM16-8S,highresSST-present,r1i1p1f1,Amon,pr,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-8S/highresSST-present/r1i1p1f1/Amon/pr/gr/,1950-01-16,2014-12-16,780,2.07,2019-11-16,created,
HighResMIP,MIROC,NICAM16-8S,highresSST-present,r1i1p1f1,Amon,rlutcs,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-8S/highresSST-present/r1i1p1f1/Amon/rlutcs/gr/,1950-01-16,2014-12-16,780,1.52,2019-11-16,created,
HighResMIP,MIROC,NICAM16-8S,highresSST-present,r1i1p1f1,Amon,rsut,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-8S/highresSST-present/r1i1p1f1/Amon/rsut/gr/,1950-01-16,2014-12-16,780,1.74,2019-11-16,created,
HighResMIP,MIROC,NICAM16-8S,highresSST-present,r1i1p1f1,Amon,rsutcs,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-8S/highresSST-present/r1i1p1f1/Amon/rsutcs/gr/,1950-01-16,2014-12-16,780,1.52,2019-11-16,created,
HighResMIP,MIROC,NICAM16-8S,highresSST-present,r1i1p1f1,Amon,tas,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-8S/highresSST-present/r1i1p1f1/Amon/tas/gr/,1950-01-16,2014-12-16,780,1.31,2019-11-17,created,
HighResMIP,MIROC,NICAM16-8S,highresSST-present,r1i1p1f1,CF3hr,psl,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-8S/highresSST-present/r1i1p1f1/CF3hr/psl/gr/,1950-01-01,2014-12-31,189928,330,2019-10-25,created,
HighResMIP,MIROC,NICAM16-8S,highresSST-present,r1i1p1f1,day,pr,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-8S/highresSST-present/r1i1p1f1/day/pr/gr/,1950-01-01,2014-12-31,23741,62.7,2019-10-25,created,
HighResMIP,MIROC,NICAM16-9S,highresSST-present,r1i1p1f1,Amon,pr,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-9S/highresSST-present/r1i1p1f1/Amon/pr/gr/,1950-01-16,1960-12-16,132,1.36,2019-11-16,created,
HighResMIP,MIROC,NICAM16-9S,highresSST-present,r1i1p1f1,Amon,rlut,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-9S/highresSST-present/r1i1p1f1/Amon/rlut/gr/,1950-01-16,1960-12-16,132,1.05,2019-11-16,created,
HighResMIP,MIROC,NICAM16-9S,highresSST-present,r1i1p1f1,Amon,rlutcs,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-9S/highresSST-present/r1i1p1f1/Amon/rlutcs/gr/,1950-01-16,1960-12-16,132,0.984,2019-11-16,created,
HighResMIP,MIROC,NICAM16-9S,highresSST-present,r1i1p1f1,Amon,rsut,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-9S/highresSST-present/r1i1p1f1/Amon/rsut/gr/,1950-01-16,1960-12-16,132,1.15,2019-11-16,created,
HighResMIP,MIROC,NICAM16-9S,highresSST-present,r1i1p1f1,Amon,rsutcs,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-9S/highresSST-present/r1i1p1f1/Amon/rsutcs/gr/,1950-01-16,1960-12-16,132,0.99,2019-11-16,created,
HighResMIP,MIROC,NICAM16-9S,highresSST-present,r1i1p1f1,Amon,tas,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-9S/highresSST-present/r1i1p1f1/Amon/tas/gr/,1950-01-16,1960-12-16,132,0.772,2019-11-17,created,
HighResMIP,MIROC,NICAM16-9S,highresSST-present,r1i1p1f1,CF3hr,psl,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-9S/highresSST-present/r1i1p1f1/CF3hr/psl/gr/,1950-01-01,1960-12-31,32144,215,2019-10-25,created,
HighResMIP,MIROC,NICAM16-9S,highresSST-present,r1i1p1f1,day,pr,gr,gs://cmip6/HighResMIP/MIROC/NICAM16-9S/highresSST-present/r1i1p1f1/day/pr/gr/,1950-01-01,1960-12-31,4018,40.8,2019-10-25,created,
