activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,clt,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/clt/gn/,1950-01-16,2050-12-16,1212,2.48,2019-11-14,created,
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/evspsbl/gn/,1950-01-16,2050-12-16,1212,3.02,2019-11-14,created,
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,hfls,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/hfls/gn/,1950-01-16,2050-12-16,1212,2.81,2019-11-14,created,
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,hfss,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/hfss/gn/,1950-01-16,2050-12-16,1212,2.82,2019-11-14,created,
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,hurs,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/hurs/gn/,1950-01-16,2050-12-16,1212,1.64,2019-11-15,created,
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,hus,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/hus/gn/,1950-01-16,2050-12-16,1212,44.2,2019-11-14,created,
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,huss,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/huss/gn/,1950-01-16,2050-12-16,1212,2.67,2019-11-14,created,
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,pr,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/pr/gn/,1950-01-16,2050-12-16,1212,3.06,2019-11-14,created,
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,prsn,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/prsn/gn/,1950-01-16,2050-12-16,1212,1.72,2019-11-14,created,
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,prw,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/prw/gn/,1950-01-16,2050-12-16,1212,2.66,2019-11-14,created,
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,ps,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/ps/gn/,1950-01-16,2050-12-16,1212,2.11,2019-11-14,created,
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,psl,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/psl/gn/,1950-01-16,2050-12-16,1212,1.88,2019-11-14,created,
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,rlds,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/rlds/gn/,1950-01-16,2050-12-16,1212,2.54,2019-11-14,created,
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,rlus,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/rlus/gn/,1950-01-16,2050-12-16,1212,2.49,2019-11-14,created,
HighResMIP,MOHC,HadGEM3-GC31-HM,control-1950,r1i1p1f1,Amon,rlut,gn,gs://cmip6/HighResMIP/MOHC/HadGEM3-GC31-HM/control-1950/r1i1p1f1/Amon/rlut/gn/,1950-01-16,2050-12-16,1212,2.5,2019-11-14,created,
