activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,6hrPlev,psl,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/6hrPlev/psl/gn/,1950-01-01,2014-12-31,94964,14.7,2019-10-25,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,6hrPlevPt,psl,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/6hrPlevPt/psl/gn/,1950-01-01,2014-12-31,94964,14.7,2019-10-25,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,6hrPlevPt,ta,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/6hrPlevPt/ta/gn/,1950-01-01,2014-12-31,94964,105,2019-12-03,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,6hrPlevPt,uas,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/6hrPlevPt/uas/gn/,1950-01-01,2014-12-31,94964,18.8,2019-12-12,updated,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,6hrPlevPt,vas,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/6hrPlevPt/vas/gn/,1950-01-01,2014-12-31,94964,19.3,2019-12-12,updated,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,clt,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/clt/gn/,1950-01-31,2014-12-31,780,0.176,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/evspsbl/gn/,1950-01-31,2014-12-31,780,0.141,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,hfls,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/hfls/gn/,1950-01-31,2014-12-31,780,0.138,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,hfss,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/hfss/gn/,1950-01-31,2014-12-31,780,0.153,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,hurs,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/hurs/gn/,1950-01-31,2014-12-31,780,0.115,2019-11-18,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,hus,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/hus/gn/,1950-01-31,2014-12-31,780,2.16,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,huss,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/huss/gn/,1950-01-31,2014-12-31,780,0.12,2019-12-09,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,pr,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/pr/gn/,1950-01-31,2014-12-31,780,0.185,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,prsn,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/prsn/gn/,1950-01-31,2014-12-31,780,0.0579,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,prw,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/prw/gn/,1950-01-31,2014-12-31,780,0.121,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,ps,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/ps/gn/,1950-01-31,2014-12-31,780,0.125,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,psl,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/psl/gn/,1950-01-31,2014-12-31,780,0.125,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,rlds,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/rlds/gn/,1950-01-31,2014-12-31,780,0.135,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,rlus,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/rlus/gn/,1950-01-31,2014-12-31,780,0.104,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,rlut,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/rlut/gn/,1950-01-31,2014-12-31,780,0.113,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/rlutcs/gn/,1950-01-31,2014-12-31,780,0.111,2019-12-09,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,rsds,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/rsds/gn/,1950-01-31,2014-12-31,780,0.118,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/rsdt/gn/,1950-01-31,2014-12-31,780,0.0291,2019-11-16,created,
HighResMIP,MPI-M,MPI-ESM1-2-HR,highresSST-present,r1i1p1f1,Amon,rsus,gn,gs://cmip6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present/r1i1p1f1/Amon/rsus/gn/,1950-01-31,2014-12-31,780,0.118,2019-11-16,created,
