activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Amon,hfls,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Amon/hfls/gn/,1850-01-15,2015-12-15,1992,0.173,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Amon,hfss,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Amon/hfss/gn/,1850-01-15,2015-12-15,1992,0.172,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Amon,hurs,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Amon/hurs/gn/,1850-01-15,2015-12-15,1992,0.158,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Amon,huss,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Amon/huss/gn/,1850-01-15,2015-12-15,1992,0.165,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Amon,pr,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Amon/pr/gn/,1850-01-15,2015-12-15,1992,0.168,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Amon,prsn,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Amon/prsn/gn/,1850-01-15,2015-12-15,1992,0.136,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Amon,ps,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Amon/ps/gn/,1850-01-15,2015-12-15,1992,0.156,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Amon,rlds,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Amon/rlds/gn/,1850-01-15,2015-12-15,1992,0.159,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Amon,rlus,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Amon/rlus/gn/,1850-01-15,2015-12-15,1992,0.16,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Amon,rsds,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Amon/rsds/gn/,1850-01-15,2015-12-15,1992,0.149,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Amon,rsus,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Amon/rsus/gn/,1850-01-15,2015-12-15,1992,0.154,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Amon,sbl,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Amon/sbl/gn/,1850-01-15,2015-12-15,1992,0.138,2019-11-01,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Amon,tas,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Amon/tas/gn/,1850-01-15,2015-12-15,1992,0.146,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Amon,ts,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Amon/ts/gn/,1850-01-15,2015-12-15,1992,0.147,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,LImon,snm,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/LImon/snm/gn/,1850-01-15,2015-12-15,1992,0,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,LImon,tsn,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/LImon/tsn/gn/,1850-01-15,2015-12-15,1992,0,2019-11-15,created,
LS3MIP,NCAR,CESM2,land-hist,r1i1p1f1,Lmon,tsl,gn,gs://cmip6/LS3MIP/NCAR/CESM2/land-hist/r1i1p1f1/Lmon/tsl/gn/,1850-01-15,2015-12-15,1992,0,2019-11-15,created,
