activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,clt,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/clt/gn/,1850-01-16,1930-12-16,972,0.151,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/evspsbl/gn/,1850-01-16,1930-12-16,972,0.162,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,hfls,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/hfls/gn/,1850-01-16,1930-12-16,972,0.162,2019-10-25,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,hfss,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/hfss/gn/,1850-01-16,1930-12-16,972,0.165,2019-10-25,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,hus,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/hus/gn/,1850-01-16,1930-12-16,972,2.45,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,huss,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/huss/gn/,1850-01-16,1930-12-16,972,0.148,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,pr,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/pr/gn/,1850-01-16,1930-12-16,972,0.164,2019-10-25,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,prsn,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/prsn/gn/,1850-01-16,1930-12-16,972,0.143,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,prw,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/prw/gn/,1850-01-16,1930-12-16,972,0.15,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,ps,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/ps/gn/,1850-01-16,1930-12-16,972,0.121,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,psl,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/psl/gn/,1850-01-16,1930-12-16,972,0.109,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,rlds,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/rlds/gn/,1850-01-16,1930-12-16,972,0.14,2019-10-25,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,rlus,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/rlus/gn/,1850-01-16,1930-12-16,972,0.136,2019-10-25,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,rlut,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/rlut/gn/,1850-01-16,1930-12-16,972,0.139,2019-10-25,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/rlutcs/gn/,1850-01-16,1930-12-16,972,0.13,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,rsds,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/rsds/gn/,1850-01-16,1930-12-16,972,0.142,2019-10-25,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/rsdt/gn/,1850-01-16,1930-12-16,972,0.0959,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,rsus,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/rsus/gn/,1850-01-16,1930-12-16,972,0.147,2019-10-25,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,rsut,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/rsut/gn/,1850-01-16,1930-12-16,972,0.142,2019-10-25,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/rsutcs/gn/,1850-01-16,1930-12-16,972,0.134,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,ta,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/ta/gn/,1850-01-16,1930-12-16,972,2.11,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,tas,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/tas/gn/,1850-01-16,1930-12-16,972,0.119,2019-10-25,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,tasmax,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/tasmax/gn/,1850-01-16,1930-12-16,972,0.119,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,tasmin,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/tasmin/gn/,1850-01-16,1930-12-16,972,0.12,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,tauu,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/tauu/gn/,1850-01-16,1930-12-16,972,0.164,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,tauv,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/tauv/gn/,1850-01-16,1930-12-16,972,0.168,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,ts,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/ts/gn/,1850-01-16,1930-12-16,972,0.12,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,ua,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/ua/gn/,1850-01-16,1930-12-16,972,2.88,2019-10-25,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,uas,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/uas/gn/,1850-01-16,1930-12-16,972,0.162,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,va,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/va/gn/,1850-01-16,1930-12-16,972,3.12,2019-10-25,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,vas,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/vas/gn/,1850-01-16,1930-12-16,972,0.167,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,wap,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/wap/gn/,1850-01-16,1930-12-16,972,3.23,2019-10-25,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Amon,zg,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/zg/gn/,1850-01-16,1930-12-16,972,2.05,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,deforest-globe,r1i1p1f1,Lmon,cVeg,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Lmon/cVeg/gn/,1850-01-16,1930-12-16,972,0.0593,2019-10-25,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,ch4,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/ch4/gn/,2015-01-16,2100-12-16,1032,0.406,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,clt,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/clt/gn/,2015-01-16,2100-12-16,1032,0.16,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,co2,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/co2/gn/,2015-01-16,2100-12-16,1032,1.57,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/evspsbl/gn/,2015-01-16,2100-12-16,1032,0.172,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,hfls,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/hfls/gn/,2015-01-16,2100-12-16,1032,0.172,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,hfss,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/hfss/gn/,2015-01-16,2100-12-16,1032,0.176,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,huss,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/huss/gn/,2015-01-16,2100-12-16,1032,0.157,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,o3,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/o3/gn/,2015-01-16,2100-12-16,1032,2.62,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,pr,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/pr/gn/,2015-01-16,2100-12-16,1032,0.175,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,prsn,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/prsn/gn/,2015-01-16,2100-12-16,1032,0.153,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,prw,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/prw/gn/,2015-01-16,2100-12-16,1032,0.159,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,ps,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/ps/gn/,2015-01-16,2100-12-16,1032,0.129,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,psl,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/psl/gn/,2015-01-16,2100-12-16,1032,0.116,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,rlds,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/rlds/gn/,2015-01-16,2100-12-16,1032,0.149,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,rlus,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/rlus/gn/,2015-01-16,2100-12-16,1032,0.144,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,rlut,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/rlut/gn/,2015-01-16,2100-12-16,1032,0.147,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/rlutcs/gn/,2015-01-16,2100-12-16,1032,0.138,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,rsds,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/rsds/gn/,2015-01-16,2100-12-16,1032,0.152,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/rsdt/gn/,2015-01-16,2100-12-16,1032,0.102,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,rsus,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/rsus/gn/,2015-01-16,2100-12-16,1032,0.156,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,rsut,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/rsut/gn/,2015-01-16,2100-12-16,1032,0.151,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/rsutcs/gn/,2015-01-16,2100-12-16,1032,0.142,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,ta,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/ta/gn/,2015-01-16,2100-12-16,1032,2.23,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,tas,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/tas/gn/,2015-01-16,2100-12-16,1032,0.126,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,tasmax,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/tasmax/gn/,2015-01-16,2100-12-16,1032,0.126,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,tasmin,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/tasmin/gn/,2015-01-16,2100-12-16,1032,0.127,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,tauu,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/tauu/gn/,2015-01-16,2100-12-16,1032,0.175,2019-11-15,created,
LUMIP,BCC,BCC-CSM2-MR,esm-ssp585-ssp126Lu,r1i1p1f1,Amon,tauv,gn,gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/esm-ssp585-ssp126Lu/r1i1p1f1/Amon/tauv/gn/,2015-01-16,2100-12-16,1032,0.179,2019-11-15,created,
