activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,ch4,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/ch4/gr/,1850-01-16,1930-12-16,972,1.29,2019-11-15,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,clt,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/clt/gr/,1850-01-16,1930-12-16,972,0.0956,2019-11-15,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,co2,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/co2/gr/,1850-01-16,1930-12-16,972,0.733,2019-11-15,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,evspsbl,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/evspsbl/gr/,1850-01-16,1930-12-16,972,0.103,2019-11-15,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,hfls,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/hfls/gr/,1850-01-16,1930-12-16,972,0.104,2019-10-25,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,hfss,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/hfss/gr/,1850-01-16,1930-12-16,972,0.104,2019-10-25,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,hurs,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/hurs/gr/,1850-01-16,1930-12-16,972,0.0923,2019-11-15,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,hus,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/hus/gr/,1850-01-16,1930-12-16,972,1.62,2019-11-15,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,huss,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/huss/gr/,1850-01-16,1930-12-16,972,0.0968,2019-11-15,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,o3,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/o3/gr/,1850-01-16,1930-12-16,972,1.59,2019-11-15,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,pr,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/pr/gr/,1850-01-16,1930-12-16,972,0.107,2019-10-25,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,prsn,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/prsn/gr/,1850-01-16,1930-12-16,972,0.106,2019-11-15,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,prw,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/prw/gr/,1850-01-16,1930-12-16,972,0.0972,2019-11-15,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,ps,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/ps/gr/,1850-01-16,1930-12-16,972,0.0821,2019-11-15,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,psl,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/psl/gr/,1850-01-16,1930-12-16,972,0.0704,2019-11-15,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,rlds,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/rlds/gr/,1850-01-16,1930-12-16,972,0.0907,2019-10-25,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,rlus,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/rlus/gr/,1850-01-16,1930-12-16,972,0.0883,2019-10-25,created,
LUMIP,CNRM-CERFACS,CNRM-ESM2-1,deforest-globe,r1i1p1f2,Amon,rlut,gr,gs://cmip6/LUMIP/CNRM-CERFACS/CNRM-ESM2-1/deforest-globe/r1i1p1f2/Amon/rlut/gr/,1850-01-16,1930-12-16,972,0.0911,2019-10-25,created,
