activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
LUMIP,IPSL,IPSL-CM6A-LR,deforest-globe,r1i1p1f1,Amon,clt,gr,gs://cmip6/LUMIP/IPSL/IPSL-CM6A-LR/deforest-globe/r1i1p1f1/Amon/clt/gr/,1850-01-16,1929-12-16,960,0.0612,2019-11-15,created,
LUMIP,IPSL,IPSL-CM6A-LR,deforest-globe,r1i1p1f1,Amon,evspsbl,gr,gs://cmip6/LUMIP/IPSL/IPSL-CM6A-LR/deforest-globe/r1i1p1f1/Amon/evspsbl/gr/,1850-01-16,1929-12-16,960,0.0652,2019-11-15,created,
LUMIP,IPSL,IPSL-CM6A-LR,deforest-globe,r1i1p1f1,Amon,hfls,gr,gs://cmip6/LUMIP/IPSL/IPSL-CM6A-LR/deforest-globe/r1i1p1f1/Amon/hfls/gr/,1850-01-16,1929-12-16,960,0.0659,2019-10-25,created,
LUMIP,IPSL,IPSL-CM6A-LR,deforest-globe,r1i1p1f1,Amon,hfss,gr,gs://cmip6/LUMIP/IPSL/IPSL-CM6A-LR/deforest-globe/r1i1p1f1/Amon/hfss/gr/,1850-01-16,1929-12-16,960,0.0662,2019-10-25,created,
LUMIP,IPSL,IPSL-CM6A-LR,deforest-globe,r1i1p1f1,Amon,hurs,gr,gs://cmip6/LUMIP/IPSL/IPSL-CM6A-LR/deforest-globe/r1i1p1f1/Amon/hurs/gr/,1850-01-16,1929-12-16,960,0.0573,2019-11-15,created,
LUMIP,IPSL,IPSL-CM6A-LR,deforest-globe,r1i1p1f1,Amon,hus,gr,gs://cmip6/LUMIP/IPSL/IPSL-CM6A-LR/deforest-globe/r1i1p1f1/Amon/hus/gr/,1850-01-16,1929-12-16,960,0.949,2019-11-15,created,
LUMIP,IPSL,IPSL-CM6A-LR,deforest-globe,r1i1p1f1,Amon,huss,gr,gs://cmip6/LUMIP/IPSL/IPSL-CM6A-LR/deforest-globe/r1i1p1f1/Amon/huss/gr/,1850-01-16,1929-12-16,960,0.0611,2019-11-15,created,
LUMIP,IPSL,IPSL-CM6A-LR,deforest-globe,r1i1p1f1,Amon,o3,gr,gs://cmip6/LUMIP/IPSL/IPSL-CM6A-LR/deforest-globe/r1i1p1f1/Amon/o3/gr/,1850-01-16,1929-12-16,960,1.02,2019-11-15,created,
LUMIP,IPSL,IPSL-CM6A-LR,deforest-globe,r1i1p1f1,Amon,pr,gr,gs://cmip6/LUMIP/IPSL/IPSL-CM6A-LR/deforest-globe/r1i1p1f1/Amon/pr/gr/,1850-01-16,1929-12-16,960,0.0673,2019-10-25,created,
LUMIP,IPSL,IPSL-CM6A-LR,deforest-globe,r1i1p1f1,Amon,prsn,gr,gs://cmip6/LUMIP/IPSL/IPSL-CM6A-LR/deforest-globe/r1i1p1f1/Amon/prsn/gr/,1850-01-16,1929-12-16,960,0.0364,2019-11-15,created,
