activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,clt,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/clt/gn/,1850-01-15,1929-12-15,960,0.158,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,co2,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/co2/gn/,1850-01-15,1929-12-15,1920,3.43,2019-12-09,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/evspsbl/gn/,1850-01-15,1929-12-15,960,0.172,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,hfls,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/hfls/gn/,1850-01-15,1929-12-15,960,0.172,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,hfss,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/hfss/gn/,1850-01-15,1929-12-15,960,0.174,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,hus,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/hus/gn/,1850-01-15,1929-12-15,960,2.57,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,huss,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/huss/gn/,1850-01-15,1929-12-15,960,0.159,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,pr,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/pr/gn/,1850-01-15,1929-12-15,960,0.178,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,prsn,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/prsn/gn/,1850-01-15,1929-12-15,960,0.064,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,prw,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/prw/gn/,1850-01-15,1929-12-15,960,0.161,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,ps,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/ps/gn/,1850-01-15,1929-12-15,960,0.13,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,psl,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/psl/gn/,1850-01-15,1929-12-15,960,0.117,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,rlds,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/rlds/gn/,1850-01-15,1929-12-15,960,0.151,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,rlus,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/rlus/gn/,1850-01-15,1929-12-15,960,0.146,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,rlut,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/rlut/gn/,1850-01-15,1929-12-15,960,0.148,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/rlutcs/gn/,1850-01-15,1929-12-15,960,0.14,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,rsds,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/rsds/gn/,1850-01-15,1929-12-15,960,0.151,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/rsdt/gn/,1850-01-15,1929-12-15,960,0.105,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,rsus,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/rsus/gn/,1850-01-15,1929-12-15,960,0.156,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,rsut,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/rsut/gn/,1850-01-15,1929-12-15,960,0.151,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/rsutcs/gn/,1850-01-15,1929-12-15,960,0.144,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,ta,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/ta/gn/,1850-01-15,1929-12-15,960,2.15,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,tas,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/tas/gn/,1850-01-15,1929-12-15,960,0.128,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,tauu,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/tauu/gn/,1850-01-15,1929-12-15,960,0.178,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,tauv,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/tauv/gn/,1850-01-15,1929-12-15,960,0.182,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,ts,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/ts/gn/,1850-01-15,1929-12-15,960,0.129,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,ua,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/ua/gn/,1850-01-15,1929-12-15,960,2.94,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,va,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/va/gn/,1850-01-15,1929-12-15,960,3.2,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,wap,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/wap/gn/,1850-01-15,1929-12-15,960,3.31,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Amon,zg,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Amon/zg/gn/,1850-01-15,1929-12-15,960,2.08,2019-11-15,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Lmon,cVeg,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Lmon/cVeg/gn/,1850-01-15,1929-12-15,960,0.0613,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Lmon,treeFrac,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Lmon/treeFrac/gn/,1850-01-16,1929-12-16,960,0.0536,2019-10-25,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00206,2019-11-04,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Ofx,areacello,gr,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Ofx/areacello/gr/,NA,NA,NA,0.000103,2019-11-04,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Ofx,deptho,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Ofx/deptho/gn/,NA,NA,NA,0.00211,2019-11-04,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Ofx,deptho,gr,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Ofx/deptho/gr/,NA,NA,NA,7.69e-05,2019-11-04,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Ofx,sftof,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.00193,2019-11-04,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Ofx,volcello,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Ofx/volcello/gn/,NA,NA,NA,0.0114,2019-11-04,created,
LUMIP,NCAR,CESM2,deforest-globe,r1i1p1f1,Ofx,volcello,gr,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r1i1p1f1/Ofx/volcello/gr/,NA,NA,NA,0.00286,2019-11-04,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,clt,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/clt/gn/,1850-01-15,1929-12-15,960,0.158,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,co2,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/co2/gn/,1850-01-15,1929-12-15,960,1.72,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,evspsbl,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/evspsbl/gn/,1850-01-15,1929-12-15,960,0.172,2019-11-30,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,hfls,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/hfls/gn/,1850-01-15,1929-12-15,960,0.172,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,hfss,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/hfss/gn/,1850-01-15,1929-12-15,960,0.174,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,hus,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/hus/gn/,1850-01-15,1929-12-15,960,2.57,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,huss,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/huss/gn/,1850-01-15,1929-12-15,960,0.159,2019-11-30,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,pr,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/pr/gn/,1850-01-15,1929-12-15,960,0.174,2020-02-08,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,prsn,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/prsn/gn/,1850-01-15,1929-12-15,960,0.0639,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,prw,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/prw/gn/,1850-01-15,1929-12-15,960,0.16,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,ps,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/ps/gn/,1850-01-15,1929-12-15,960,0.129,2019-11-30,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,psl,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/psl/gn/,1850-01-15,1929-12-15,960,0.117,2019-11-30,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,rlds,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/rlds/gn/,1850-01-15,1929-12-15,960,0.151,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,rlus,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/rlus/gn/,1850-01-15,1929-12-15,960,0.145,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,rlut,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/rlut/gn/,1850-01-15,1929-12-15,960,0.148,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,rlutcs,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/rlutcs/gn/,1850-01-15,1929-12-15,960,0.14,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,rsds,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/rsds/gn/,1850-01-15,1929-12-15,960,0.15,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,rsdt,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/rsdt/gn/,1850-01-15,1929-12-15,960,0.105,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,rsus,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/rsus/gn/,1850-01-15,1929-12-15,960,0.155,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,rsut,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/rsut/gn/,1850-01-15,1929-12-15,960,0.151,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,rsutcs,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/rsutcs/gn/,1850-01-15,1929-12-15,960,0.143,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,ta,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/ta/gn/,1850-01-15,1929-12-15,960,2.15,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,tas,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/tas/gn/,1850-01-15,1929-12-15,960,0.127,2019-11-30,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,tauu,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/tauu/gn/,1850-01-15,1929-12-15,960,0.178,2019-11-30,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,tauv,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/tauv/gn/,1850-01-15,1929-12-15,960,0.182,2019-11-30,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,ts,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/ts/gn/,1850-01-15,1929-12-15,960,0.128,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,ua,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/ua/gn/,1850-01-15,1929-12-15,960,2.94,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,va,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/va/gn/,1850-01-15,1929-12-15,960,3.2,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,wap,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/wap/gn/,1850-01-15,1929-12-15,960,3.31,2020-02-08,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Amon,zg,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Amon/zg/gn/,1850-01-15,1929-12-15,960,2.08,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Lmon,cVeg,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Lmon/cVeg/gn/,1850-01-15,1929-12-15,960,0.0611,2020-02-08,created,
LUMIP,NCAR,CESM2,deforest-globe,r2i1p1f1,Lmon,treeFrac,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r2i1p1f1/Lmon/treeFrac/gn/,1850-01-16,1929-12-16,960,0.0537,2020-02-08,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,clt,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/clt/gn/,1850-01-15,1929-12-15,960,0.158,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,co2,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/co2/gn/,1850-01-15,1929-12-15,960,1.71,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,evspsbl,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/evspsbl/gn/,1850-01-15,1929-12-15,960,0.172,2019-11-30,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,hfls,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/hfls/gn/,1850-01-15,1929-12-15,960,0.172,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,hfss,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/hfss/gn/,1850-01-15,1929-12-15,960,0.174,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,hus,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/hus/gn/,1850-01-15,1929-12-15,960,2.58,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,huss,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/huss/gn/,1850-01-15,1929-12-15,960,0.159,2019-11-30,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,pr,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/pr/gn/,1850-01-15,1929-12-15,960,0.174,2020-02-10,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,prsn,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/prsn/gn/,1850-01-15,1929-12-15,960,0.0639,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,prw,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/prw/gn/,1850-01-15,1929-12-15,960,0.16,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,ps,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/ps/gn/,1850-01-15,1929-12-15,960,0.129,2019-11-30,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,psl,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/psl/gn/,1850-01-15,1929-12-15,960,0.117,2019-11-30,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,rlds,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/rlds/gn/,1850-01-15,1929-12-15,960,0.151,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,rlus,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/rlus/gn/,1850-01-15,1929-12-15,960,0.145,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,rlut,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/rlut/gn/,1850-01-15,1929-12-15,960,0.148,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,rlutcs,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/rlutcs/gn/,1850-01-15,1929-12-15,960,0.14,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,rsds,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/rsds/gn/,1850-01-15,1929-12-15,960,0.15,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,rsdt,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/rsdt/gn/,1850-01-15,1929-12-15,960,0.105,2019-12-13,created,
LUMIP,NCAR,CESM2,deforest-globe,r3i1p1f1,Amon,rsus,gn,gs://cmip6/LUMIP/NCAR/CESM2/deforest-globe/r3i1p1f1/Amon/rsus/gn/,1850-01-15,1929-12-15,960,0.155,2019-12-13,created,
