activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
OMIP,CNRM-CERFACS,CNRM-CM6-1,omip1,r1i1p1f2,Ofx,areacello,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-CM6-1/omip1/r1i1p1f2/Ofx/areacello/gn/,NA,NA,NA,0.00143,2019-10-25,created,
OMIP,CNRM-CERFACS,CNRM-CM6-1,omip1,r1i1p1f2,Ofx,basin,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-CM6-1/omip1/r1i1p1f2/Ofx/basin/gn/,NA,NA,NA,0.00135,2019-10-25,created,
OMIP,CNRM-CERFACS,CNRM-CM6-1,omip1,r1i1p1f2,Ofx,deptho,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-CM6-1/omip1/r1i1p1f2/Ofx/deptho/gn/,NA,NA,NA,0.0103,2019-11-04,created,
OMIP,CNRM-CERFACS,CNRM-CM6-1,omip1,r1i1p1f2,Omon,hfds,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-CM6-1/omip1/r1i1p1f2/Omon/hfds/gn/,1700-01-16,2008-12-16,3708,0.897,2019-10-25,created,
OMIP,CNRM-CERFACS,CNRM-CM6-1,omip1,r1i1p1f2,Omon,mlotst,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-CM6-1/omip1/r1i1p1f2/Omon/mlotst/gn/,1700-01-16,2008-12-16,3708,0.861,2019-10-25,created,
OMIP,CNRM-CERFACS,CNRM-CM6-1,omip1,r1i1p1f2,Omon,obvfsq,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-CM6-1/omip1/r1i1p1f2/Omon/obvfsq/gn/,1700-01-16,2008-12-16,3708,53.4,2019-10-25,created,
OMIP,CNRM-CERFACS,CNRM-CM6-1,omip1,r1i1p1f2,Omon,so,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-CM6-1/omip1/r1i1p1f2/Omon/so/gn/,1700-01-16,2008-12-16,3708,39.1,2019-10-25,created,
OMIP,CNRM-CERFACS,CNRM-CM6-1,omip1,r1i1p1f2,Omon,tauuo,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-CM6-1/omip1/r1i1p1f2/Omon/tauuo/gn/,1700-01-16,2008-12-16,3708,0.901,2019-10-25,created,
OMIP,CNRM-CERFACS,CNRM-CM6-1,omip1,r1i1p1f2,Omon,tauvo,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-CM6-1/omip1/r1i1p1f2/Omon/tauvo/gn/,1700-01-16,2008-12-16,3708,0.924,2019-10-25,created,
OMIP,CNRM-CERFACS,CNRM-CM6-1,omip1,r1i1p1f2,Omon,thetao,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-CM6-1/omip1/r1i1p1f2/Omon/thetao/gn/,1700-01-16,2008-12-16,3708,50,2019-10-25,created,
OMIP,CNRM-CERFACS,CNRM-CM6-1,omip1,r1i1p1f2,Omon,tos,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-CM6-1/omip1/r1i1p1f2/Omon/tos/gn/,1700-01-16,2008-12-16,3708,0.818,2019-10-25,created,
OMIP,CNRM-CERFACS,CNRM-CM6-1,omip1,r1i1p1f2,Omon,uo,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-CM6-1/omip1/r1i1p1f2/Omon/uo/gn/,1700-01-16,2008-12-16,3708,56.4,2019-10-25,created,
OMIP,CNRM-CERFACS,CNRM-CM6-1,omip1,r1i1p1f2,Omon,vo,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-CM6-1/omip1/r1i1p1f2/Omon/vo/gn/,1700-01-16,2008-12-16,3708,59,2019-10-25,created,
OMIP,CNRM-CERFACS,CNRM-CM6-1,omip1,r1i1p1f2,Omon,wo,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-CM6-1/omip1/r1i1p1f2/Omon/wo/gn/,1700-01-16,2008-12-16,3708,60.1,2019-10-25,created,
OMIP,CNRM-CERFACS,CNRM-ESM2-1,omip1,r1i1p1f2,Ofx,areacello,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-ESM2-1/omip1/r1i1p1f2/Ofx/areacello/gn/,NA,NA,NA,0.00154,2019-10-25,created,
OMIP,CNRM-CERFACS,CNRM-ESM2-1,omip1,r1i1p1f2,Ofx,basin,gn,gs://cmip6/OMIP/CNRM-CERFACS/CNRM-ESM2-1/omip1/r1i1p1f2/Ofx/basin/gn/,NA,NA,NA,0.00145,2019-10-25,created,
