activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00172,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Ofx,basin,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Ofx/basin/gn/,NA,NA,NA,0.00163,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,agessc,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/agessc/gn/,1700-01-16,2009-12-16,3720,51,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,chl,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/chl/gn/,1700-01-16,2009-12-16,3720,50.2,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,dissic,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/dissic/gn/,1700-01-16,2009-12-16,3720,42.3,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,dpco2,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/dpco2/gn/,1700-01-16,2009-12-16,3720,0.9,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,fgco2,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/fgco2/gn/,1700-01-16,2009-12-16,3720,0.907,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,fgo2,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/fgo2/gn/,1700-01-16,2009-12-16,3720,0.902,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,hfds,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/hfds/gn/,1700-01-16,2009-12-16,3720,0.9,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,intdic,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/intdic/gn/,1700-01-16,2009-12-16,3720,0.897,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,intpp,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/intpp/gn/,1700-01-16,2009-12-16,3720,0.86,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,masscello,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/masscello/gn/,1700-01-16,2009-12-16,3720,33.4,2019-11-13,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,masso,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/masso/gn/,1700-01-16,2009-12-16,3720,3.29e-05,2019-11-13,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,mlotst,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/mlotst/gn/,1700-01-16,2009-12-16,3720,0.869,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,msftbarot,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/msftbarot/gn/,1700-01-16,2009-12-16,3720,0.806,2019-11-13,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,no3,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/no3/gn/,1700-01-16,2009-12-16,3720,49.6,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,o2,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/o2/gn/,1700-01-16,2009-12-16,3720,48,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,obvfsq,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/obvfsq/gn/,1700-01-16,2009-12-16,3720,53.8,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,ph,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/ph/gn/,1700-01-16,2009-12-16,3720,40.4,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,phos,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/phos/gn/,1700-01-16,2009-12-16,3720,0.644,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,po4,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/po4/gn/,1700-01-16,2009-12-16,3720,49,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,pp,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/pp/gn/,1700-01-16,2009-12-16,3720,35.7,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,so,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/so/gn/,1700-01-16,2009-12-16,3720,39.3,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,spco2,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/spco2/gn/,1700-01-16,2009-12-16,3720,0.8,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,talk,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/talk/gn/,1700-01-16,2009-12-16,3720,40.7,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,tauuo,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/tauuo/gn/,1700-01-16,2009-12-16,3720,0.905,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,tauvo,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/tauvo/gn/,1700-01-16,2009-12-16,3720,0.928,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,thetao,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/thetao/gn/,1700-01-16,2009-12-16,3720,50.7,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,thkcello,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/thkcello/gn/,1700-01-16,2009-12-16,3720,33.3,2019-11-13,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,tos,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/tos/gn/,1700-01-16,2009-12-16,3720,0.825,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,umo,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/umo/gn/,1700-01-16,2009-12-16,3720,56.8,2019-11-13,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,uo,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/uo/gn/,1700-01-16,2009-12-16,3720,56.7,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,vmo,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/vmo/gn/,1700-01-16,2009-12-16,3720,59.3,2019-11-13,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,vo,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/vo/gn/,1700-01-16,2009-12-16,3720,59.4,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,volo,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/volo/gn/,1700-01-16,2009-12-16,3720,3.29e-05,2019-11-13,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f1,Omon,wo,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f1/Omon/wo/gn/,1700-01-16,2009-12-16,3720,60.5,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f2,Ofx,areacello,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f2/Ofx/areacello/gn/,NA,NA,NA,0.00172,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f2,Ofx,basin,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f2/Ofx/basin/gn/,NA,NA,NA,0.00164,2019-10-25,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f2,Omon,agessc,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f2/Omon/agessc/gn/,1700-01-16,2009-12-16,3720,51,2020-02-07,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f2,Omon,chl,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f2/Omon/chl/gn/,1700-01-16,2009-12-16,3720,50.2,2020-02-07,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f2,Omon,dissic,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f2/Omon/dissic/gn/,1700-01-16,2009-12-16,3720,42.4,2020-02-07,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f2,Omon,dpco2,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f2/Omon/dpco2/gn/,1700-01-16,2009-12-16,3720,0.899,2020-02-07,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f2,Omon,fgco2,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f2/Omon/fgco2/gn/,1700-01-16,2009-12-16,3720,0.906,2020-02-07,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f2,Omon,fgo2,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f2/Omon/fgo2/gn/,1700-01-16,2009-12-16,3720,0.901,2020-02-07,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f2,Omon,hfds,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f2/Omon/hfds/gn/,1700-01-16,2009-12-16,3720,0.9,2020-02-07,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f2,Omon,intdic,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f2/Omon/intdic/gn/,1700-01-16,2009-12-16,3720,0.897,2020-02-07,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f2,Omon,intpp,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f2/Omon/intpp/gn/,1700-01-16,2009-12-16,3720,0.86,2020-02-07,created,
OMIP,IPSL,IPSL-CM6A-LR,omip1,r1i1p1f2,Omon,masscello,gn,gs://cmip6/OMIP/IPSL/IPSL-CM6A-LR/omip1/r1i1p1f2/Omon/masscello/gn/,1700-01-16,2009-12-16,3720,33.4,2019-11-13,created,
