activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00197,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Ofx,areacello,gr,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Ofx/areacello/gr/,NA,NA,NA,0.000103,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Ofx,sftof,gn,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Ofx/sftof/gn/,NA,NA,NA,0.00185,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Ofx,volcello,gn,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Ofx/volcello/gn/,NA,NA,NA,0.0108,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Ofx,volcello,gr,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Ofx/volcello/gr/,NA,NA,NA,0.00286,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,agessc,gn,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/agessc/gn/,0001-01-15,0310-12-15,3720,52.7,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,agessc,gr,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/agessc/gr/,0001-01-15,0310-12-15,3720,13.2,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,chl,gn,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/chl/gn/,0001-01-15,0310-12-15,3720,16.7,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,chl,gr,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/chl/gr/,0001-01-15,0310-12-15,3720,4.29,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,dissic,gn,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/dissic/gn/,0001-01-15,0310-12-15,3720,44.9,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,dissic,gr,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/dissic/gr/,0001-01-15,0310-12-15,3720,11.5,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,dpco2,gn,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/dpco2/gn/,0001-01-15,0310-12-15,3720,1.16,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,dpco2,gr,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/dpco2/gr/,0001-01-15,0310-12-15,3720,0.562,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,fgco2,gn,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/fgco2/gn/,0001-01-15,0310-12-15,3720,1.17,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,fgco2,gr,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/fgco2/gr/,0001-01-15,0310-12-15,3720,0.571,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,fgo2,gn,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/fgo2/gn/,0001-01-15,0310-12-15,3720,1.17,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,fgo2,gr,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/fgo2/gr/,0001-01-15,0310-12-15,3720,0.566,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,hfds,gn,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/hfds/gn/,0001-01-15,0310-12-15,3720,1.16,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,hfds,gr,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/hfds/gr/,0001-01-15,0310-12-15,3720,0.564,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,intdic,gn,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/intdic/gn/,0001-01-15,0310-12-15,3720,1.08,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,intdic,gr,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/intdic/gr/,0001-01-15,0310-12-15,3720,0.556,2019-10-25,created,
OMIP,NCAR,CESM2,omip1,r1i1p1f1,Omon,intpp,gn,gs://cmip6/OMIP/NCAR/CESM2/omip1/r1i1p1f1/Omon/intpp/gn/,0001-01-15,0310-12-15,3720,1.12,2019-10-25,created,
