activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
PMIP,IPSL,IPSL-CM6A-LR,lig127k,r1i1p1f1,Amon,pr,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/lig127k/r1i1p1f1/Amon/pr/gr/,1850-01-16,2399-12-16,6600,0.464,2019-11-01,created,
PMIP,IPSL,IPSL-CM6A-LR,lig127k,r1i1p1f1,Amon,ts,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/lig127k/r1i1p1f1/Amon/ts/gr/,1850-01-16,2399-12-16,6600,0.348,2019-11-01,created,
PMIP,IPSL,IPSL-CM6A-LR,lig127k,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/lig127k/r1i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00172,2019-11-03,created,
PMIP,IPSL,IPSL-CM6A-LR,lig127k,r1i1p1f1,Ofx,basin,gn,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/lig127k/r1i1p1f1/Ofx/basin/gn/,NA,NA,NA,0.00163,2019-11-03,created,
PMIP,IPSL,IPSL-CM6A-LR,lig127k,r1i1p1f1,fx,areacella,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/lig127k/r1i1p1f1/fx/areacella/gr/,NA,NA,NA,1.59e-05,2019-11-03,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f1,Amon,pr,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f1/Amon/pr/gr/,1850-01-16,2399-12-16,6600,0.463,2019-11-01,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f1,Amon,tas,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f1/Amon/tas/gr/,1850-01-16,2399-12-16,6600,0.344,2019-11-01,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f1,Amon,ts,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f1/Amon/ts/gr/,1850-01-16,2399-12-16,6600,0.348,2019-11-01,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f1/Ofx/areacello/gn/,NA,NA,NA,0.00172,2019-11-03,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f1,Ofx,basin,gn,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f1/Ofx/basin/gn/,NA,NA,NA,0.00163,2019-11-03,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f1,Omon,tos,gn,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f1/Omon/tos/gn/,1850-01-16,2399-12-16,6600,1.48,2019-11-13,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f1,fx,areacella,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f1/fx/areacella/gr/,NA,NA,NA,1.6e-05,2019-11-03,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f2,Amon,pr,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f2/Amon/pr/gr/,1850-01-16,2049-12-16,2400,0.169,2019-11-01,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f2,Amon,tas,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f2/Amon/tas/gr/,1850-01-16,2049-12-16,2400,0.125,2019-11-01,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f2,Amon,ts,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f2/Amon/ts/gr/,1850-01-16,2049-12-16,2400,0.127,2019-11-01,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f2,Ofx,areacello,gn,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f2/Ofx/areacello/gn/,NA,NA,NA,0.00172,2019-11-03,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f2,Ofx,basin,gn,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f2/Ofx/basin/gn/,NA,NA,NA,0.00163,2019-11-03,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f2,Omon,tos,gn,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f2/Omon/tos/gn/,1850-01-16,2049-12-16,2400,0.54,2019-11-13,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f2,fx,areacella,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f2/fx/areacella/gr/,NA,NA,NA,1.67e-05,2019-11-03,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f3,Amon,pr,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f3/Amon/pr/gr/,1850-01-16,2049-12-16,2400,0.169,2019-11-01,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f3,Amon,tas,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f3/Amon/tas/gr/,1850-01-16,2049-12-16,2400,0.125,2019-11-01,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f3,Amon,ts,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f3/Amon/ts/gr/,1850-01-16,2049-12-16,2400,0.127,2019-11-01,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f3,Ofx,areacello,gn,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f3/Ofx/areacello/gn/,NA,NA,NA,0.00172,2019-11-03,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f3,Ofx,basin,gn,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f3/Ofx/basin/gn/,NA,NA,NA,0.00163,2019-11-03,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f3,Omon,tos,gn,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f3/Omon/tos/gn/,1850-01-16,2049-12-16,2400,0.54,2019-11-13,created,
PMIP,IPSL,IPSL-CM6A-LR,midHolocene,r1i1p1f3,fx,areacella,gr,gs://cmip6/PMIP/IPSL/IPSL-CM6A-LR/midHolocene/r1i1p1f3/fx/areacella/gr/,NA,NA,NA,1.67e-05,2019-11-03,created,
