activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
RFMIP,CCCma,CanESM5,piClim-4xCO2,r1i1p2f1,Amon,hus,gn,gs://cmip6/RFMIP/CCCma/CanESM5/piClim-4xCO2/r1i1p2f1/Amon/hus/gn/,1850-01-16,1899-12-16,600,0.269,2019-11-15,created,
RFMIP,CCCma,CanESM5,piClim-4xCO2,r1i1p2f1,Amon,rsdscs,gn,gs://cmip6/RFMIP/CCCma/CanESM5/piClim-4xCO2/r1i1p2f1/Amon/rsdscs/gn/,1850-01-16,1899-12-16,600,0.013,2019-11-15,created,
RFMIP,CCCma,CanESM5,piClim-4xCO2,r1i1p2f1,Amon,rsdt,gn,gs://cmip6/RFMIP/CCCma/CanESM5/piClim-4xCO2/r1i1p2f1/Amon/rsdt/gn/,1850-01-16,1899-12-16,600,0.0105,2019-11-15,created,
RFMIP,CCCma,CanESM5,piClim-4xCO2,r1i1p2f1,Amon,ta,gn,gs://cmip6/RFMIP/CCCma/CanESM5/piClim-4xCO2/r1i1p2f1/Amon/ta/gn/,1850-01-16,1899-12-16,600,0.223,2019-11-15,created,
RFMIP,CCCma,CanESM5,piClim-4xCO2,r1i1p2f1,Amon,ts,gn,gs://cmip6/RFMIP/CCCma/CanESM5/piClim-4xCO2/r1i1p2f1/Amon/ts/gn/,1850-01-16,1899-12-16,600,0.0126,2019-11-15,created,
RFMIP,CCCma,CanESM5,piClim-4xCO2,r1i1p2f1,fx,areacella,gn,gs://cmip6/RFMIP/CCCma/CanESM5/piClim-4xCO2/r1i1p2f1/fx/areacella/gn/,NA,NA,NA,1.61e-05,2019-11-11,created,
RFMIP,CCCma,CanESM5,piClim-aer,r1i1p2f1,AERmon,od550aer,gn,gs://cmip6/RFMIP/CCCma/CanESM5/piClim-aer/r1i1p2f1/AERmon/od550aer/gn/,1850-01-16,1899-12-16,600,0.0156,2020-02-23,created,
RFMIP,CCCma,CanESM5,piClim-aer,r1i1p2f1,Amon,rlut,gn,gs://cmip6/RFMIP/CCCma/CanESM5/piClim-aer/r1i1p2f1/Amon/rlut/gn/,1850-01-16,1899-12-16,600,0.0146,2020-02-24,created,
RFMIP,CCCma,CanESM5,piClim-aer,r1i1p2f1,Amon,rsdt,gn,gs://cmip6/RFMIP/CCCma/CanESM5/piClim-aer/r1i1p2f1/Amon/rsdt/gn/,1850-01-16,1899-12-16,600,0.0105,2020-02-24,created,
RFMIP,CCCma,CanESM5,piClim-aer,r1i1p2f1,Amon,rsut,gn,gs://cmip6/RFMIP/CCCma/CanESM5/piClim-aer/r1i1p2f1/Amon/rsut/gn/,1850-01-16,1899-12-16,600,0.0146,2020-02-24,created,
