activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-aer,r1i1p1f2,AERmon,od550aer,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-aer/r1i1p1f2/AERmon/od550aer/gr/,1850-01-16,1879-12-16,360,0.0368,2020-02-23,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-aer,r1i1p1f2,AERmon,rlutaf,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-aer/r1i1p1f2/AERmon/rlutaf/gr/,1850-01-16,1879-12-16,360,0.0338,2020-02-23,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-aer,r1i1p1f2,AERmon,rlutcsaf,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-aer/r1i1p1f2/AERmon/rlutcsaf/gr/,1850-01-16,1879-12-16,360,0.0316,2020-02-23,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-aer,r1i1p1f2,AERmon,rsutaf,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-aer/r1i1p1f2/AERmon/rsutaf/gr/,1850-01-16,1879-12-16,360,0.0342,2020-02-23,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-aer,r1i1p1f2,AERmon,rsutcsaf,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-aer/r1i1p1f2/AERmon/rsutcsaf/gr/,1850-01-16,1879-12-16,360,0.031,2020-02-23,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,AERmon,od550aer,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/AERmon/od550aer/gr/,1850-01-16,1879-12-16,360,0.0371,2020-02-23,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,AERmon,rlutaf,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/AERmon/rlutaf/gr/,1850-01-16,1879-12-16,360,0.0338,2020-02-23,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,AERmon,rlutcsaf,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/AERmon/rlutcsaf/gr/,1850-01-16,1879-12-16,360,0.0316,2020-02-23,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,AERmon,rsutaf,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/AERmon/rsutaf/gr/,1850-01-16,1879-12-16,360,0.0342,2020-02-23,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,AERmon,rsutcsaf,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/AERmon/rsutcsaf/gr/,1850-01-16,1879-12-16,360,0.031,2020-02-23,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,clt,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/clt/gr/,1850-01-16,1879-12-16,360,0.0354,2019-11-02,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,evspsbl,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/evspsbl/gr/,1850-01-16,1879-12-16,360,0.0382,2019-11-02,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,hfls,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/hfls/gr/,1850-01-16,1879-12-16,360,0.0385,2019-11-02,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,hfss,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/hfss/gr/,1850-01-16,1879-12-16,360,0.0387,2019-11-02,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,hurs,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/hurs/gr/,1850-01-16,1879-12-16,360,0.0341,2019-11-02,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,hus,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/hus/gr/,1850-01-16,1879-12-16,360,0.602,2019-11-02,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,huss,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/huss/gr/,1850-01-16,1879-12-16,360,0.0358,2019-11-02,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,o3,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/o3/gr/,1850-01-16,1879-12-16,360,0.582,2019-11-02,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,pr,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/pr/gr/,1850-01-16,1879-12-16,360,0.0395,2019-11-02,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,prsn,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/prsn/gr/,1850-01-16,1879-12-16,360,0.0393,2019-11-02,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,prw,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/prw/gr/,1850-01-16,1879-12-16,360,0.036,2019-11-02,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,ps,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/ps/gr/,1850-01-16,1879-12-16,360,0.0304,2019-11-02,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,psl,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/psl/gr/,1850-01-16,1879-12-16,360,0.0261,2019-11-02,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,rlds,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/rlds/gr/,1850-01-16,1879-12-16,360,0.0336,2019-11-02,created,
RFMIP,CNRM-CERFACS,CNRM-CM6-1,piClim-control,r1i1p1f2,Amon,rlus,gr,gs://cmip6/RFMIP/CNRM-CERFACS/CNRM-CM6-1/piClim-control/r1i1p1f2/Amon/rlus/gr/,1850-01-16,1879-12-16,360,0.0324,2019-11-02,created,
