activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-aer,r1i1p1f1,Amon,rlut,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-aer/r1i1p1f1/Amon/rlut/gn/,1950-01-16,1980-12-16,372,0.0142,2020-02-24,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-aer,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-aer/r1i1p1f1/Amon/rsdt/gn/,1950-01-16,1980-12-16,372,0.00454,2020-02-24,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-aer,r1i1p1f1,Amon,rsut,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-aer/r1i1p1f1/Amon/rsut/gn/,1950-01-16,1980-12-16,372,0.014,2020-02-24,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-aer,r1i1p3f1,AERmon,mmrbc,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-aer/r1i1p3f1/AERmon/mmrbc/gn/,1950-01-16,1990-12-16,492,0.786,2020-02-24,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-aer,r1i1p3f1,AERmon,mmrdust,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-aer/r1i1p3f1/AERmon/mmrdust/gn/,1950-01-16,1990-12-16,492,0.807,2020-02-24,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-aer,r1i1p3f1,AERmon,mmroa,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-aer/r1i1p3f1/AERmon/mmroa/gn/,1950-01-16,1990-12-16,492,0.808,2020-02-24,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-aer,r1i1p3f1,AERmon,mmrso4,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-aer/r1i1p3f1/AERmon/mmrso4/gn/,1950-01-16,1990-12-16,492,0.789,2020-02-24,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-aer,r1i1p3f1,AERmon,mmrss,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-aer/r1i1p3f1/AERmon/mmrss/gn/,1950-01-16,1990-12-16,492,0.819,2020-02-25,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-aer,r1i1p3f1,AERmon,od550aer,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-aer/r1i1p3f1/AERmon/od550aer/gn/,1950-01-16,1990-12-16,492,0.0204,2020-02-23,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,clt,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/clt/gn/,1950-01-16,1980-12-16,372,0.0147,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,evspsbl,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/evspsbl/gn/,1950-01-16,1980-12-16,372,0.0158,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,hfls,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/hfls/gn/,1950-01-16,1980-12-16,372,0.016,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,hfss,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/hfss/gn/,1950-01-16,1980-12-16,372,0.0162,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,hurs,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/hurs/gn/,1950-01-16,1980-12-16,372,0.0133,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,hus,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/hus/gn/,1950-01-16,1980-12-16,372,0.246,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,huss,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/huss/gn/,1950-01-16,1980-12-16,372,0.0147,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,pr,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/pr/gn/,1950-01-16,1980-12-16,372,0.0163,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,prsn,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/prsn/gn/,1950-01-16,1980-12-16,372,0.00802,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,prw,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/prw/gn/,1950-01-16,1980-12-16,372,0.0148,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,ps,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/ps/gn/,1950-01-16,1980-12-16,372,0.0121,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,psl,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/psl/gn/,1950-01-16,1980-12-16,372,0.0111,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,rlds,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/rlds/gn/,1950-01-16,1980-12-16,372,0.0141,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,rlus,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/rlus/gn/,1950-01-16,1980-12-16,372,0.0135,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,rlut,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/rlut/gn/,1950-01-16,1980-12-16,372,0.0142,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,rlutcs,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/rlutcs/gn/,1950-01-16,1980-12-16,372,0.0133,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,rsds,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/rsds/gn/,1950-01-16,1980-12-16,372,0.0138,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/rsdt/gn/,1950-01-16,1980-12-16,372,0.00454,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,rsus,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/rsus/gn/,1950-01-16,1980-12-16,372,0.0143,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,rsut,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/rsut/gn/,1950-01-16,1980-12-16,372,0.014,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,rsutcs,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/rsutcs/gn/,1950-01-16,1980-12-16,372,0.0137,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,ta,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/ta/gn/,1950-01-16,1980-12-16,372,0.211,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,tas,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/tas/gn/,1950-01-16,1980-12-16,372,0.0121,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,tasmax,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/tasmax/gn/,1950-01-16,1980-12-16,372,0.0121,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,tasmin,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/tasmin/gn/,1950-01-16,1980-12-16,372,0.0122,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,tauu,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/tauu/gn/,1950-01-16,1980-12-16,372,0.0165,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,tauv,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/tauv/gn/,1950-01-16,1980-12-16,372,0.0169,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,ts,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/ts/gn/,1950-01-16,1980-12-16,372,0.0121,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,ua,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/ua/gn/,1950-01-16,1980-12-16,372,0.283,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,uas,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/uas/gn/,1950-01-16,1980-12-16,372,0.0163,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,va,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/va/gn/,1950-01-16,1980-12-16,372,0.305,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,vas,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/vas/gn/,1950-01-16,1980-12-16,372,0.0167,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p1f1,Amon,zg,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p1f1/Amon/zg/gn/,1950-01-16,1980-12-16,372,0.208,2019-11-02,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p3f1,AERmon,mmrbc,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p3f1/AERmon/mmrbc/gn/,1950-01-16,1990-12-16,492,0.788,2020-02-24,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p3f1,AERmon,mmrdust,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p3f1/AERmon/mmrdust/gn/,1950-01-16,1990-12-16,492,0.807,2020-02-24,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p3f1,AERmon,mmroa,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p3f1/AERmon/mmroa/gn/,1950-01-16,1990-12-16,492,0.814,2020-02-24,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p3f1,AERmon,mmrso4,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p3f1/AERmon/mmrso4/gn/,1950-01-16,1990-12-16,492,0.787,2020-02-24,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p3f1,AERmon,mmrss,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p3f1/AERmon/mmrss/gn/,1950-01-16,1990-12-16,492,0.819,2020-02-25,created,
RFMIP,NASA-GISS,GISS-E2-1-G,piClim-control,r1i1p3f1,AERmon,od550aer,gn,gs://cmip6/RFMIP/NASA-GISS/GISS-E2-1-G/piClim-control/r1i1p3f1/AERmon/od550aer/gn/,1950-01-16,1990-12-16,492,0.0205,2020-02-23,created,
