activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
RFMIP,NCAR,CESM2-WACCM,piClim-control,r1i2p1f1,AERmon,mmrbc,gn,gs://cmip6/RFMIP/NCAR/CESM2-WACCM/piClim-control/r1i2p1f1/AERmon/mmrbc/gn/,0001-01-15,0030-12-15,360,4.23,2020-02-24,created,
RFMIP,NCAR,CESM2-WACCM,piClim-control,r1i2p1f1,AERmon,mmrdust,gn,gs://cmip6/RFMIP/NCAR/CESM2-WACCM/piClim-control/r1i2p1f1/AERmon/mmrdust/gn/,0001-01-15,0030-12-15,360,4.19,2020-02-24,created,
RFMIP,NCAR,CESM2-WACCM,piClim-control,r1i2p1f1,AERmon,mmroa,gn,gs://cmip6/RFMIP/NCAR/CESM2-WACCM/piClim-control/r1i2p1f1/AERmon/mmroa/gn/,0001-01-15,0030-12-15,360,4.25,2020-02-24,created,
RFMIP,NCAR,CESM2-WACCM,piClim-control,r1i2p1f1,AERmon,mmrso4,gn,gs://cmip6/RFMIP/NCAR/CESM2-WACCM/piClim-control/r1i2p1f1/AERmon/mmrso4/gn/,0001-01-15,0030-12-15,360,3.55,2020-02-24,created,
RFMIP,NCAR,CESM2-WACCM,piClim-control,r1i2p1f1,AERmon,mmrss,gn,gs://cmip6/RFMIP/NCAR/CESM2-WACCM/piClim-control/r1i2p1f1/AERmon/mmrss/gn/,0001-01-15,0030-12-15,360,4.16,2020-02-25,created,
RFMIP,NCAR,CESM2-WACCM,piClim-control,r1i2p1f1,AERmon,od550aer,gn,gs://cmip6/RFMIP/NCAR/CESM2-WACCM/piClim-control/r1i2p1f1/AERmon/od550aer/gn/,0001-01-15,0030-12-15,360,0.062,2020-02-23,created,
RFMIP,NCAR,CESM2-WACCM,piClim-control,r1i2p1f1,Amon,rlut,gn,gs://cmip6/RFMIP/NCAR/CESM2-WACCM/piClim-control/r1i2p1f1/Amon/rlut/gn/,0001-01-15,0030-12-15,360,0.0558,2020-02-24,created,
RFMIP,NCAR,CESM2-WACCM,piClim-control,r1i2p1f1,Amon,rsdt,gn,gs://cmip6/RFMIP/NCAR/CESM2-WACCM/piClim-control/r1i2p1f1/Amon/rsdt/gn/,0001-01-15,0030-12-15,360,0.0393,2020-02-24,created,
RFMIP,NCAR,CESM2-WACCM,piClim-control,r1i2p1f1,Amon,rsut,gn,gs://cmip6/RFMIP/NCAR/CESM2-WACCM/piClim-control/r1i2p1f1/Amon/rsut/gn/,0001-01-15,0030-12-15,360,0.0569,2020-02-24,created,
RFMIP,NCAR,CESM2,piClim-aer,r1i1p1f1,AERmon,mmrbc,gn,gs://cmip6/RFMIP/NCAR/CESM2/piClim-aer/r1i1p1f1/AERmon/mmrbc/gn/,0001-01-15,0030-12-15,360,1.89,2020-02-24,created,
