activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
RFMIP,NCC,NorESM2-LM,piClim-aer,r1i1p1f1,AERmon,mmrbc,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-aer/r1i1p1f1/AERmon/mmrbc/gn/,0001-01-16,0030-12-16,360,0.494,2020-02-24,created,
RFMIP,NCC,NorESM2-LM,piClim-aer,r1i1p1f1,AERmon,mmrdust,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-aer/r1i1p1f1/AERmon/mmrdust/gn/,0001-01-16,0030-12-16,360,0.519,2020-02-24,created,
RFMIP,NCC,NorESM2-LM,piClim-aer,r1i1p1f1,AERmon,mmroa,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-aer/r1i1p1f1/AERmon/mmroa/gn/,0001-01-16,0030-12-16,360,0.496,2020-02-24,created,
RFMIP,NCC,NorESM2-LM,piClim-aer,r1i1p1f1,AERmon,mmrso4,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-aer/r1i1p1f1/AERmon/mmrso4/gn/,0001-01-16,0030-12-16,360,0.494,2020-02-24,created,
RFMIP,NCC,NorESM2-LM,piClim-aer,r1i1p1f1,AERmon,mmrss,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-aer/r1i1p1f1/AERmon/mmrss/gn/,0001-01-16,0030-12-16,360,0.513,2020-02-25,created,
RFMIP,NCC,NorESM2-LM,piClim-aer,r1i1p1f1,AERmon,od550aer,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-aer/r1i1p1f1/AERmon/od550aer/gn/,0001-01-16,0030-12-16,360,0.0159,2020-02-23,created,
RFMIP,NCC,NorESM2-LM,piClim-aer,r1i1p1f1,Amon,rlut,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-aer/r1i1p1f1/Amon/rlut/gn/,0001-01-16,0030-12-16,360,0.0145,2020-02-24,created,
RFMIP,NCC,NorESM2-LM,piClim-aer,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-aer/r1i1p1f1/Amon/rsdt/gn/,0001-01-16,0030-12-16,360,0.0101,2020-02-24,created,
RFMIP,NCC,NorESM2-LM,piClim-aer,r1i1p1f1,Amon,rsut,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-aer/r1i1p1f1/Amon/rsut/gn/,0001-01-16,0030-12-16,360,0.0145,2020-02-24,created,
RFMIP,NCC,NorESM2-LM,piClim-control,r1i1p1f1,AERmon,mmrbc,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-control/r1i1p1f1/AERmon/mmrbc/gn/,0001-01-16,0030-12-16,360,0.496,2020-02-24,created,
RFMIP,NCC,NorESM2-LM,piClim-control,r1i1p1f1,AERmon,mmrdust,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-control/r1i1p1f1/AERmon/mmrdust/gn/,0001-01-16,0030-12-16,360,0.519,2020-02-24,created,
RFMIP,NCC,NorESM2-LM,piClim-control,r1i1p1f1,AERmon,mmroa,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-control/r1i1p1f1/AERmon/mmroa/gn/,0001-01-16,0030-12-16,360,0.495,2020-02-24,created,
RFMIP,NCC,NorESM2-LM,piClim-control,r1i1p1f1,AERmon,mmrso4,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-control/r1i1p1f1/AERmon/mmrso4/gn/,0001-01-16,0030-12-16,360,0.489,2020-02-24,created,
RFMIP,NCC,NorESM2-LM,piClim-control,r1i1p1f1,AERmon,mmrss,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-control/r1i1p1f1/AERmon/mmrss/gn/,0001-01-16,0030-12-16,360,0.513,2020-02-25,created,
RFMIP,NCC,NorESM2-LM,piClim-control,r1i1p1f1,AERmon,od550aer,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-control/r1i1p1f1/AERmon/od550aer/gn/,0001-01-16,0030-12-16,360,0.016,2020-02-23,created,
RFMIP,NCC,NorESM2-LM,piClim-control,r1i1p1f1,Amon,rlut,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-control/r1i1p1f1/Amon/rlut/gn/,0001-01-16,0030-12-16,360,0.0145,2020-02-24,created,
RFMIP,NCC,NorESM2-LM,piClim-control,r1i1p1f1,Amon,rsdt,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-control/r1i1p1f1/Amon/rsdt/gn/,0001-01-16,0030-12-16,360,0.0101,2020-02-24,created,
RFMIP,NCC,NorESM2-LM,piClim-control,r1i1p1f1,Amon,rsut,gn,gs://cmip6/RFMIP/NCC/NorESM2-LM/piClim-control/r1i1p1f1/Amon/rsut/gn/,0001-01-16,0030-12-16,360,0.0145,2020-02-24,created,
