activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,date_start,date_stop,time_len,sizeG,date,status,dcpp_init_year
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-aer,r1i1p1f1,AERmon,mmrbc,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-aer/r1i1p1f1/AERmon/mmrbc/gr1/,0001-01-16,0030-12-16,360,1.77,2020-02-24,created,
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-aer,r1i1p1f1,AERmon,mmrdust,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-aer/r1i1p1f1/AERmon/mmrdust/gr1/,0001-01-16,0030-12-16,360,1.9,2020-02-24,created,
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-aer,r1i1p1f1,AERmon,mmroa,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-aer/r1i1p1f1/AERmon/mmroa/gr1/,0001-01-16,0030-12-16,360,1.73,2020-02-24,created,
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-aer,r1i1p1f1,AERmon,mmrso4,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-aer/r1i1p1f1/AERmon/mmrso4/gr1/,0001-01-16,0030-12-16,360,1.72,2020-02-24,created,
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-aer,r1i1p1f1,AERmon,mmrss,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-aer/r1i1p1f1/AERmon/mmrss/gr1/,0001-01-16,0030-12-16,360,1.91,2020-02-25,created,
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-aer,r1i1p1f1,AERmon,od550aer,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-aer/r1i1p1f1/AERmon/od550aer/gr1/,0001-01-16,0030-12-16,360,0.0581,2020-02-23,created,
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-aer,r1i1p1f1,AERmon,rlutaf,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-aer/r1i1p1f1/AERmon/rlutaf/gr1/,0001-01-16,0030-12-16,360,0.0524,2020-02-23,created,
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-aer,r1i1p1f1,AERmon,rlutcsaf,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-aer/r1i1p1f1/AERmon/rlutcsaf/gr1/,0001-01-16,0030-12-16,360,0.0493,2020-02-23,created,
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-aer,r1i1p1f1,AERmon,rsutaf,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-aer/r1i1p1f1/AERmon/rsutaf/gr1/,0001-01-16,0030-12-16,360,0.054,2020-02-23,created,
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-aer,r1i1p1f1,AERmon,rsutcsaf,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-aer/r1i1p1f1/AERmon/rsutcsaf/gr1/,0001-01-16,0030-12-16,360,0.0483,2020-02-23,created,
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-aer,r1i1p1f1,Amon,rsdt,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-aer/r1i1p1f1/Amon/rsdt/gr1/,0001-01-16,0030-12-16,360,0.0388,2020-02-24,created,
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-control,r1i1p1f1,AERmon,mmrbc,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-control/r1i1p1f1/AERmon/mmrbc/gr1/,0001-01-16,0030-12-16,360,1.76,2020-02-24,created,
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-control,r1i1p1f1,AERmon,mmrdust,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-control/r1i1p1f1/AERmon/mmrdust/gr1/,0001-01-16,0030-12-16,360,1.9,2020-02-24,created,
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-control,r1i1p1f1,AERmon,mmroa,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-control/r1i1p1f1/AERmon/mmroa/gr1/,0001-01-16,0030-12-16,360,1.71,2020-02-24,created,
RFMIP,NOAA-GFDL,GFDL-CM4,piClim-control,r1i1p1f1,AERmon,mmrso4,gr1,gs://cmip6/RFMIP/NOAA-GFDL/GFDL-CM4/piClim-control/r1i1p1f1/AERmon/mmrso4/gr1/,0001-01-16,0030-12-16,360,1.69,2020-02-24,created,
